name,scenario,seed,kind,method,weight,update_hours,anticipate,raw_pv,known_price,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,solver_calls,timeout_count,fallback_count,incumbent_count,gap_certified_count,final_soc,daily_cvar90,worst_day_cost,worst_date,cache_key
legacy_rebased,4-2,42,legacy,deterministic,0.0,[],True,False,False,19387571.973833915,19387571.973833915,727997.2775658141,40970.0,6900993.487679324,6211074.751843058,1486461.0205967957,12272617.819185281,0.0,0.0,4341103.785298122,16613721.604483403,0.0,32.353186041815206,334.0,0.0,0.0,0.0,334.0,1200.0,102959.27394869321,165888.6008962643,2025-07-03,1344bf94b6ba9ed3
periodic,4-2,42,periodic,deterministic,0.0,[],True,False,False,19721148.51481773,19721148.51481773,546224.9727677967,29930.0,7610753.947477711,6849859.165661605,1567289.2108027567,12534992.67731664,0.0,0.0,3300813.2705853344,15835805.947901975,0.0,31.61380632792134,334.0,0.0,0.0,0.0,334.0,1200.0,95478.62755307718,178087.76012606782,2025-07-06,a0953d3b4a0ce63a
yesterday,4-2,42,yesterday,deterministic,0.0,[],True,False,False,19355241.95712608,19355241.95712608,1992046.89163815,57080.0,6906182.481896736,6215744.846638729,2717661.718539562,12072879.040910603,0.0,0.0,11048721.919633314,23121600.960543916,0.0,31.160771199967712,334.0,0.0,0.0,0.0,334.0,1200.0,224681.95815403276,294890.30343279056,2025-12-21,e9a067aa915e0309
weekly,4-2,42,weekly,deterministic,0.0,[],True,False,False,19679584.845710415,19679584.845710415,653238.4215433075,32640.0,7516150.961535719,6764716.478313814,1642199.289065152,12496826.477413064,0.0,0.0,3969776.051876362,16466602.529289424,0.0,30.673319252673537,334.0,0.0,0.0,0.0,334.0,1200.0,101200.42410994318,154225.2045294066,2025-06-01,83c0a90944fc825e
known_price,4-2,42,mlp,risk,0.0,[],True,False,True,19633689.727266714,19633689.727266714,606180.3382350602,35980.0,7646083.565963861,6881637.736108978,1536234.740680226,12248889.36739331,0.0,0.0,3602657.3855089396,15851546.752902249,0.0,940.1790760818403,334.0,334.0,0.0,334.0,0.0,1219.0645183710412,93015.93762122779,158492.6923087156,2025-07-06,ca31e70b2467d608
updates_0_6,3,42,mlp,risk,0.0,[6],True,False,False,19415592.05938735,19519832.64104253,549068.6655522876,35620.0,6334494.898864284,5701334.159181544,1496551.0719454098,11656540.806818552,192326.4915498468,4456.732382477176,3267599.4660531315,15120923.49680401,0.0,1776.8335290437099,668.0,668.0,0.0,668.0,0.0,1203.2531892556894,80642.37305177898,131334.76860115211,2025-07-06,1acfaf536d6e5435
updates_0_6_12,3,42,mlp,risk,0.0,"[6, 12]",True,False,False,19410969.58055728,19549566.276201196,505799.6444663361,36320.0,6335147.146136323,5701924.26797269,1482953.5475372283,11665849.657218339,257254.5853903429,3247.6700714018098,2968685.9464887036,14895037.859168788,0.0,2584.5839430408087,1002.0,1002.0,0.0,1002.0,0.0,1200.0,77958.8550118351,130747.22498826613,2025-07-06,2d529c50020ba6b5
new_deterministic,4-3,42,mlp,deterministic,0.0,"[6, 12, 18]",True,False,False,19471069.4457532,20038152.32951769,176842.05830354604,22370.0,7274380.205501398,6547248.361792925,1548673.0491460934,12291924.666333452,832836.8824688654,5912.087230427626,895777.1919820235,14026450.828014769,0.0,86.27099480235483,1336.0,0.0,0.0,0.0,1336.0,1200.0,74420.3692160734,104052.15268846642,2025-07-06,c96d3b1a9acba030
legacy_rebased,4-3,42,legacy,deterministic,0.0,"[6, 12, 18]",True,False,False,19332314.023827124,19943076.236257993,225579.3691622996,25970.0,7111557.220749199,6400707.675515947,1518616.5652203718,12205250.125084165,898485.833467468,5926.777155137324,1139531.8696318634,14249194.605338637,0.0,85.90824062109459,1336.0,0.0,0.0,0.0,1336.0,1200.0,77647.30344501443,101552.88009645826,2025-07-06,5478a3917c4f7159
periodic,4-3,42,periodic,deterministic,0.0,"[6, 12, 18]",True,False,False,19883673.059401,20397477.113118913,163610.48912250483,17820.0,7755312.868514536,6980087.758504748,1846672.997264965,12597038.769748766,731210.9565172624,16479.050749023616,826134.0773532744,14170862.854368327,0.0,78.93086333130486,1336.0,0.0,0.0,0.0,1336.0,1200.0,76139.25488275787,98423.29054643279,2025-07-06,dce87df46036f66f
yesterday,4-3,42,yesterday,deterministic,0.0,"[6, 12, 18]",True,False,False,19514965.756681696,20506700.36538542,1132274.582680847,44350.0,7111408.9400697425,6400574.222904434,2988950.735934294,12132918.444457876,1602320.4630244854,14806.968993841625,5697614.601221258,19447660.47769746,0.0,79.37247603444848,1336.0,0.0,0.0,0.0,1336.0,1200.0,168619.98701736383,222594.53569590807,2025-12-14,46272df7597f09b3
weekly,4-3,42,weekly,deterministic,0.0,"[6, 12, 18]",True,False,False,19883673.059401,20397477.113118913,163610.48912250483,17820.0,7755312.868514536,6980087.758504748,1846672.997264965,12597038.769748766,731210.9565172624,16479.050749023616,826134.0773532744,14170862.854368327,0.0,78.71053233428393,1336.0,0.0,0.0,0.0,1336.0,1200.0,76139.25488275787,98423.29054643279,2025-07-06,540e19939f24aeae
primary,3,2026,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19447454.18432691,19729988.389890477,333372.48997697176,38170.0,6346808.227244349,5712419.240969915,1489782.3986263457,11700359.903286124,538587.6742867739,1073.7249297323533,1772858.422890112,14012879.725392744,0.0,3345.7313452486414,1336.0,1335.0,0.0,1336.0,0.0,1200.0,69198.95109717114,106463.7718575101,2025-07-06,7e31a46ae0df9f6d
primary,3,3407,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19356461.01612015,19666696.752901956,344396.0536167985,39350.0,6327250.476093165,5694817.264933848,1439470.1003927724,11647744.68362566,592653.6327131909,1216.6939055712576,1843868.1677306278,14085483.17797505,0.0,3348.517455877736,1336.0,1335.0,0.0,1336.0,0.0,1200.0,69225.44887977635,104919.67268596248,2025-07-06,a61a1d24c26e30a1
raw_forecast,3,42,mlp,risk,0.0,"[6, 12, 18]",True,True,False,19668815.322437346,19956786.37775614,298827.03458657593,35410.0,6314934.709169567,5683733.074702609,1685222.2829090953,11861283.276564013,551145.9479466835,769.1581525144647,1578714.2389882156,13991912.621651428,0.0,3350.3259464928415,1336.0,1334.0,0.0,1336.0,0.0,1200.0,68272.83036718662,109479.5262633381,2025-07-06,9aa9f849181d3430
primary,3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19422206.04017596,19722263.38135165,329778.1349384204,38150.0,6329181.639486106,5696555.311987494,1480225.6938247918,11689414.734288473,572139.8932243899,1101.8064224510772,1742406.3419404435,14005062.775875758,0.0,3355.8206974655623,1336.0,1336.0,0.0,1336.0,0.0,1200.0,69501.19787399146,110828.22604086946,2025-07-06,3c81861a0e254915
risk_zero,3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19422206.04017596,19722263.38135165,329778.1349384204,38150.0,6329181.639486106,5696555.311987494,1480225.6938247918,11689414.734288473,572139.8932243899,1101.8064224510772,1742406.3419404435,14005062.775875758,0.0,3355.8206974655623,1336.0,1336.0,0.0,1336.0,0.0,1200.0,69501.19787399146,110828.22604086946,2025-07-06,3c81861a0e254915
primary,4-3,2026,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19523097.87749981,19809720.375487246,327072.8232481195,33120.0,7030946.838033216,6328158.331071562,1494815.1968070422,12392258.188150072,555832.7352295851,964.5883029379036,1783638.868766313,14732694.380448911,0.0,3355.828125376953,1336.0,1334.0,0.0,1336.0,0.0,1200.0,79845.28277248295,124776.03990888892,2025-07-06,64a5879e1400da2f
primary,4-3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19499877.068847686,19797632.484700866,329083.1511440838,33540.0,7051688.563505234,6346825.883996377,1482663.461369427,12374774.038644567,582179.8409206001,905.3522344189321,1777065.893125631,14734925.124925215,0.0,3356.185959791299,1336.0,1335.0,0.0,1336.0,0.0,1200.0,80214.86419805605,126344.46669884543,2025-07-06,6b53bb95cd240737
risk_zero,4-3,42,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19499877.068847686,19797632.484700866,329083.1511440838,33540.0,7051688.563505234,6346825.883996377,1482663.461369427,12374774.038644567,582179.8409206001,905.3522344189321,1777065.893125631,14734925.124925215,0.0,3356.185959791299,1336.0,1335.0,0.0,1336.0,0.0,1200.0,80214.86419805605,126344.46669884543,2025-07-06,6b53bb95cd240737
updates_0,4-3,42,mlp,risk,0.0,[],True,False,False,19567460.064316932,19567460.064316932,589345.1852868241,31830.0,7074734.8521034345,6367567.543734757,1510448.4462684097,12389772.316171285,0.0,0.0,3632133.0216991473,16021905.33787043,0.0,952.9762672033394,334.0,334.0,0.0,334.0,0.0,1200.0,93280.1259131514,175268.22646763737,2025-07-06,8cb65acf4096b4b3
primary,4-3,3407,mlp,risk,0.0,"[6, 12, 18]",True,False,False,19428617.8189987,19742538.176068466,340073.351422983,35210.0,7019186.587817708,6317574.105877604,1441809.5505846809,12333767.45299782,615765.8151441739,1373.909792205488,1848875.0941499942,14799782.272084195,0.0,3340.465535456082,1336.0,1336.0,0.0,1336.0,0.0,1200.0,79669.46243724613,121148.50223223824,2025-07-06,a1a575ec5994fe84
