previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp004,exp004 历史季节,exp006,exp006 正式·树DP,planned_kwh,kWh,21007720.4459155,21702244.435096,694523.989180502,3.30604165724957,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 历史季节,exp006,exp006 正式·树DP,emergency_kwh,kWh,162942.389089906,197559.782603584,34617.3935136783,21.2451736512699,True,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 全年探索,exp006,exp006 正式·树DP,total_cost,元,13572926.4785818,14066257.4772568,,,False,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 全年探索,exp006,exp006 正式·树DP,planned_cost,元,12774482.5882529,13215791.4492587,,,False,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 全年探索,exp006,exp006 正式·树DP,emergency_cost,元,798443.890328896,850466.027998076,,,False,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 全年探索,exp006,exp006 正式·树DP,planned_kwh,kWh,21070735.9394918,21702244.435096,,,False,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp004,exp004 全年探索,exp006,exp006 正式·树DP,emergency_kwh,kWh,145611.632424135,197559.782603584,,,False,data/results/exp004/dispatch_metrics.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 原登记（不可比）,exp006,exp006 正式·树DP,total_cost,元,16258308.2173546,14066257.4772568,,,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 原登记（不可比）,exp006,exp006 正式·树DP,planned_cost,元,12025380.5613548,13215791.4492587,,,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 原登记（不可比）,exp006,exp006 正式·树DP,emergency_cost,元,4232927.65599983,850466.027998076,,,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 原登记（不可比）,exp006,exp006 正式·树DP,planned_kwh,kWh,19836870.4998036,21702244.435096,,,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 原登记（不可比）,exp006,exp006 正式·树DP,emergency_kwh,kWh,728394.121759774,197559.782603584,,,False,data/results/exp003/baseline/exp001_original_q2_costs.csv,data/results/exp006/primary/dispatch_2.npz,42,2025-02-01/2025-12-31,,
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_mae,kW,180.254622402266,195.457563261662,15.2029408593957,8.43414757235354,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_rmse,kW,247.45161352437,258.311774693521,10.8601611691509,4.38880192150428,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_wape_pct,%,3.90433946618678,4.23363721849061,0.329297752303834,8.43414757235355,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp001,exp001 午夜重评分,exp006,exp006 正式·树DP,load_bias,kW,-10.8077646780008,101.162869419802,111.970634097803,1036.02028202667,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_mae,kW,163.650380454001,195.457563261662,31.8071828076606,19.4360579666364,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_rmse,kW,220.779862383218,258.311774693521,37.5319123103029,16.9996991143861,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_wape_pct,%,3.54468934304015,4.23363721849061,0.688947875450467,19.4360579666364,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp002,exp002 午夜重评分,exp006,exp006 正式·树DP,load_bias,kW,-8.04972661594129,101.162869419802,109.212596035743,1356.72428700204,True,data/results/exp003/baseline/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 正式,exp006,exp006 正式·树DP,load_mae,kW,176.795720743519,195.457563261662,18.6618425181429,10.5555962778172,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 正式,exp006,exp006 正式·树DP,load_rmse,kW,244.28661485194,258.311774693521,14.0251598415813,5.74127233703815,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 正式,exp006,exp006 正式·树DP,load_wape_pct,%,3.82941918910358,4.23363721849061,0.404218029387034,10.5555962778172,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp003,exp003 正式,exp006,exp006 正式·树DP,load_bias,kW,1.94946921897172,101.162869419802,99.2134002008301,5089.25194793082,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_mae,kW,158.43160821033,195.457563261662,37.0259550513312,23.3703081535197,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_rmse,kW,212.488680693235,258.311774693521,45.8230940002859,21.5649576489393,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_wape_pct,%,3.43165003140168,4.23363721849061,0.801987187088929,23.3703081535197,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_bias,kW,-5.63748783582971,101.162869419802,106.800357255631,1894.4671876159,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_mae,kW,195.457563261662,195.457563261662,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_rmse,kW,258.311774693521,258.311774693521,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_wape_pct,%,4.23363721849061,4.23363721849061,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_bias,kW,101.162869419802,101.162869419802,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_mae,kW,198.844678752039,195.457563261662,-3.38711549037782,-1.70339760240785,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_rmse,kW,259.6564387442,258.311774693521,-1.34466405067832,-0.517862779441034,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_wape_pct,%,4.30700259747159,4.23363721849061,-0.0733653789809745,-1.70339760240784,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
exp004,exp004 历史季节,exp006,exp006 正式·树DP,load_bias,kW,104.936843559672,101.162869419802,-3.77397413986981,-3.59642429851034,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_mae,kW,201.751852335123,195.457563261662,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_rmse,kW,259.01501184141,258.311774693521,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,kW
exp004,exp004 全年探索,exp006,exp006 正式·树DP,load_wape_pct,%,4.36997236992024,4.23363721849061,,,False,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,all,百分点
