date,total_cost_current,total_cost_baseline,difference_yuan
2025-03-26,42038.0805707054,40055.4231098935,1982.65746081194
2025-03-27,42190.8129811453,37959.1755080743,4231.63747307092
2025-03-28,16503.1544532808,15185.8152081647,1317.33924511613
2025-03-29,15529.466577964,14479.220178356,1050.24639960794
2025-03-30,40973.0966508238,35967.5033007191,5005.59335010475
2025-03-31,40221.4215807505,36882.6066332387,3338.81494751182
2025-04-01,41623.6171349613,38485.6057137979,3138.01142116341
2025-04-02,46047.7685658024,44210.93925153,1836.8293142724
2025-04-03,42156.708336387,41340.2433585094,816.464977877622
2025-04-04,15459.0999202161,14328.8556025427,1130.24431767341
2025-04-05,15493.0117286326,13910.4224318763,1582.5892967563
2025-04-06,41093.5628110003,38065.1253732977,3028.43743770267
2025-04-07,39501.0526753778,36300.4995042823,3200.5531710955
2025-04-08,41200.2256963507,38490.8797378031,2709.34595854755
2025-04-09,40125.5971241567,37401.3663844792,2724.23073967742
2025-04-10,41208.6378172754,39364.6795059088,1843.95831136666
2025-04-11,15450.0193626045,14073.9270668295,1376.09229577502
2025-04-12,14497.4029813529,13653.1317399006,844.271241452378
2025-04-13,39287.423117928,35975.0746022033,3312.34851572472
2025-04-14,38064.8613809314,35845.898710685,2218.96267024639
2025-04-15,38321.956883699,34896.7387925729,3425.21809112606
2025-04-16,37929.3044417796,34902.8120690781,3026.49237270156
2025-04-17,38280.0926897308,36868.2535169637,1411.83917276717
2025-04-18,14961.0590235616,13618.3590657265,1342.69995783518
2025-04-19,14169.2467613135,12723.4430999141,1445.80366139937
2025-04-20,37427.7054980854,34822.2242796948,2605.48121839057
2025-04-21,37848.7515185564,35226.4594377386,2622.29208081782
2025-04-22,36728.1687716052,32418.4865668406,4309.68220476457
2025-04-23,36873.6500157639,35161.3445306717,1712.30548509221
2025-04-24,36047.8454836897,34213.5425058782,1834.30297781149
2025-04-25,13377.624372841,12462.8876324676,914.736740373322
2025-04-26,14420.9672853609,12180.6020487986,2240.36523656234
2025-04-27,36130.1840844532,32573.7682641642,3556.41582028906
2025-04-28,38813.3611950795,47039.487391811,-8226.12619673141
2025-04-29,38205.0182492475,36799.0512726241,1405.96697662344
2025-04-30,37125.5883089856,33420.9351045922,3704.65320439339
2025-05-01,47787.0964656452,48654.2755788362,-867.179113191021
2025-05-02,22305.8287893893,23220.0325687031,-914.203779313812
2025-05-03,19834.2134976997,19773.8385792387,60.3749184610315
2025-05-04,43895.0320084253,45433.5558684248,-1538.5238599995
2025-05-05,47438.1441448877,46336.8382710331,1101.30587385459
2025-05-06,42423.2733691088,45268.0644449709,-2844.79107586207
2025-05-07,45071.9977316356,50585.3425554352,-5513.34482379959
2025-05-08,41384.5684142568,37869.3750986068,3515.19331565
2025-05-09,16720.9731252082,14393.0738952787,2327.89922992951
2025-05-10,16804.0426647446,14598.3769675539,2205.66569719067
2025-05-11,40604.590898869,39955.2816251503,649.309273718754
2025-05-12,39908.8989888532,38382.7798912801,1526.11909757306
2025-05-13,39061.8599887282,36051.8879404992,3009.97204822899
2025-05-14,39376.146754844,36806.7058351145,2569.4409197295
2025-05-15,40873.4896581922,36647.7593537892,4225.73030440306
2025-05-16,16479.0213736068,14112.3550145427,2366.6663590641
2025-05-17,16107.4963245615,15349.6690471226,757.827277438899
2025-05-18,41369.1798555349,37641.8251425521,3727.35471298278
2025-05-19,38887.4855498011,36360.6412097248,2526.84434007624
2025-05-20,39354.7765155581,38593.8235803174,760.952935240697
2025-05-21,39555.0602942625,37182.1574132944,2372.90288096815
2025-05-22,38178.180609937,36112.728949105,2065.451660832
2025-05-23,16440.9732743215,13586.8305330449,2854.14274127665
2025-05-24,16392.7325410435,13894.9724910495,2497.76004999401
2025-05-25,38158.4585546183,35953.0244851569,2205.43406946136
2025-05-26,39488.4068635651,41686.2992094563,-2197.89234589122
2025-05-27,38655.768091641,37059.3961055086,1596.37198613241
