day,date,total_cost,emergency_cost,initial_soc,final_soc,mip_gap,mip_seconds,planned_changes,next_day_pending_mode_hold
58,2025-02-28,17366.205748245673,35.87482566922957,1312.594426620472,2276.9341805863464,0.0016439168415003699,3.206133999978192,8,0
59,2025-03-01,17528.944531520803,1718.999930467819,2276.9341805863464,1457.5124140914443,3.0216711501258115e-05,1.2528410000959411,8,0
60,2025-03-02,68029.13917930328,24964.65088029459,1457.5124140914443,1200.0,0.0033808954489182442,5.006945624947548,8,0
61,2025-03-03,58941.77667453263,14060.218505871948,1200.0,2422.8721116304305,0.0016698450503344693,1.836973625002429,7,0
62,2025-03-04,45839.19472753089,87.84923082974714,2422.8721116304305,2397.2012396420364,0.00017341679282586192,0.853536625043489,8,0
63,2025-03-05,45535.87967388051,360.05099550052796,2397.2012396420364,2322.8530650002185,0.001596905325961362,1.4604020840488374,8,0
64,2025-03-06,43660.33131603472,417.4605284813673,2322.8530650002185,2086.3714702924017,0.0017622779858378387,0.6300360829336569,8,0
65,2025-03-07,16398.931344103592,0.0,2086.3714702924017,2475.833365668921,0.0005502661209533668,1.563209208077751,8,0
66,2025-03-08,16171.816306779849,985.13682249318,2475.833365668921,1850.4793085675606,0.0013494877843485585,0.6240975830005482,7,0
67,2025-03-09,43209.08599920236,17.214315383242905,1850.4793085675606,2430.771515575185,0.001974981467604466,2.7185512089636177,7,0
68,2025-03-10,50745.21841406811,8859.863888011889,2430.771515575185,1734.9542752048917,0.0013718138734207335,0.7811470419401303,8,0
69,2025-03-11,43797.62125212993,223.28682242390283,1734.9542752048917,2726.717875324287,0.001996950107909101,0.8037114999024197,8,0
70,2025-03-12,41948.88594230139,73.25427519223874,2726.717875324287,2262.4830937877905,0.0017468994638205955,0.7692943330621347,8,0
71,2025-03-13,51781.096373562286,10421.811797163959,2262.4830937877905,1548.9634963110675,0.0010972168732580959,0.7034076669951901,7,0
72,2025-03-14,15728.14879505083,0.0,1548.9634963110675,2397.000930564329,0.00044268809176578914,1.2397152500925586,8,0
73,2025-03-15,16082.24520327013,36.4002087653325,2397.000930564329,2249.7694335764068,0.0005726737131892852,0.8930631669936702,8,0
74,2025-03-16,41888.12757772981,557.3530027984106,2249.7694335764068,1650.130230650187,0.0019998154286249847,4.046191583038308,8,0
75,2025-03-17,43279.33094193374,0.0,1650.130230650187,3335.4779579072347,0.0007195336985404116,0.8134602500358596,7,0
76,2025-03-18,41837.8242032869,1441.5380499077983,3335.4779579072347,3183.235049200694,7.307850376822267e-05,0.6332227500388399,8,0
77,2025-03-19,39745.975714856235,0.0,3183.235049200694,2801.821686116804,0.0015154408109909374,1.0042675000149757,8,0
78,2025-03-20,39746.32829607265,43.84797375723305,2801.821686116804,1942.5100211258537,0.0013592597365506478,1.2218040409497917,8,0
79,2025-03-21,15095.661179411636,0.0,1942.5100211258537,1817.9229426304314,0.0001861377070997567,0.8458441669354215,7,0
80,2025-03-22,15272.632910819699,0.19668147140199238,1817.9229426304314,2576.1606080748893,5.399712147544146e-05,0.49034154100809246,8,0
81,2025-03-23,39716.25431954786,88.57295556545174,2576.1606080748893,2567.4302919329425,0.0019980538293040235,3.4039200840052217,7,0
82,2025-03-24,39442.45524303817,816.8219044095049,2567.4302919329425,2004.665574452583,0.0017328537085182889,0.48165575007442385,7,0
83,2025-03-25,40071.26877452081,848.0061589954635,2004.665574452583,1849.377523601896,0.0005683701342166311,1.0342347089899704,8,0
84,2025-03-26,39881.44828675989,8.257287584808635,1849.377523601896,3304.9497725537076,0.0019930174347690347,4.116509165964089,7,0
85,2025-03-27,39011.11086199389,181.25922463029372,3304.9497725537076,2926.0415500349245,0.0018119496371473234,1.4582432500319555,8,0
86,2025-03-28,14499.407908739191,263.2320892044393,2926.0415500349245,2169.9185965396755,0.0003455531920240195,0.37969387497287244,7,0
87,2025-03-29,14240.69917060589,0.0,2169.9185965396755,1790.968772900391,0.001998645730925706,2.6799890000838786,8,0
88,2025-03-30,39224.128832733695,0.0,1790.968772900391,2752.3138957385822,0.0015830769888051765,2.003383458009921,7,0
89,2025-03-31,37989.57187461744,261.70473111940765,2752.3138957385822,2847.562814491197,0.00042450126794457677,0.8513049160828814,8,0
90,2025-04-01,54642.09828964793,19077.803837866253,2847.562814491197,1852.3491154890544,0.0018752802721883517,0.8478200410027057,7,0
91,2025-04-02,45106.59021283079,7531.933450054008,1852.3491154890544,1537.8259806001802,0.0015575682673789311,0.8186365420697257,8,0
92,2025-04-03,39005.35471817998,0.0,1537.8259806001802,1401.5165673729575,0.0019694373969867734,2.2631867500022054,8,0
93,2025-04-04,13911.733117186932,0.0,1401.5165673729575,2225.577150637034,0.00018540244009433599,0.6894272910431027,8,0
94,2025-04-05,14970.369740183085,1779.8040591323365,2225.577150637034,1663.8361194381382,0.0014373779025778457,0.6504858749685809,8,0
95,2025-04-06,37556.6536695103,0.0,1663.8361194381382,1759.0023346868988,0.0016415724399918591,0.3805229999125004,8,0
96,2025-04-07,36650.142119502045,20.389682095231766,1759.0023346868988,2055.3670633422316,0.0007136458472125922,0.9218906669411808,8,0
97,2025-04-08,37013.50954055009,263.5208755878065,2055.3670633422316,1568.3071929878186,0.00043860036196564955,0.8191707499790937,8,0
98,2025-04-09,37467.811829000464,133.6216465174708,1568.3071929878186,1341.149324997114,0.0018017679153931078,0.7151674999622628,8,0
99,2025-04-10,37277.6307180622,35.38140526660549,1341.149324997114,1442.9071446959101,0.0019971434200780607,2.221184791997075,8,0
100,2025-04-11,13607.407350342794,0.0,1442.9071446959101,2109.78824248996,0.0016287770705300292,1.0962337909732014,8,0
101,2025-04-12,13111.57792640845,0.31731130537542024,2109.78824248996,1846.915579190551,0.010533786755323129,5.006200458970852,8,0
102,2025-04-13,35698.25852027805,48.38687107874449,1846.915579190551,2173.627042278411,0.0018959788772679263,0.9986017919145525,8,0
103,2025-04-14,34920.5374154328,80.71422657933485,2173.627042278411,1527.6885462898406,0.0019999994201269264,1.9713778749573976,8,0
104,2025-04-15,35910.212068518274,51.64009599801878,1527.6885462898406,2697.7648787956414,0.001937915808954254,1.897010917076841,7,0
105,2025-04-16,35327.31680279301,9.542338852778062,2697.7648787956414,2501.3044254553965,0.00094032412246467,0.6603622500551865,8,0
106,2025-04-17,35253.33025378323,0.0,2501.3044254553965,2503.3100004321154,0.00022265956579214932,0.5209727090550587,8,0
107,2025-04-18,12150.87506808306,0.0,2503.3100004321154,2009.8175137557184,0.00011871677427265967,0.6373175829648972,7,0
108,2025-04-19,12572.316370357126,162.22268856578674,2009.8175137557184,2069.533180305583,0.00013950082080493121,0.48767379205673933,8,0
109,2025-04-20,34649.92145472421,0.0,2069.533180305583,2038.8279644080644,0.00010398011385457359,0.6033711669733748,8,0
110,2025-04-21,34310.43806349735,30.753343320404277,2038.8279644080644,1898.9265341797193,0.000283727414927989,1.376593165914528,8,0
111,2025-04-22,34234.075887540515,403.0967232744252,1898.9265341797193,2263.8114189645084,0.00012745937968357222,0.7539102089358494,8,0
112,2025-04-23,33889.59643374714,0.0,2263.8114189645084,1960.8467299478614,0.0004767965848796281,0.6271692089503631,8,0
113,2025-04-24,33821.13730075308,0.0,1960.8467299478614,1969.2717419108874,0.0019988148788443443,3.627562624984421,8,0
114,2025-04-25,11781.784220734793,0.0,1969.2717419108874,1660.8059467895237,0.00027609377337378216,0.39470649999566376,8,0
115,2025-04-26,13625.998270042559,1925.0569076451143,1660.8059467895237,1602.808356386426,0.00034646655654382906,3.3742248750058934,8,0
116,2025-04-27,33705.16498592869,959.797998444747,1602.808356386426,1811.3316260494441,0.0003225368894461302,0.5826747079845518,8,0
117,2025-04-28,53598.80411354038,21037.29313507457,1811.3316260494441,1200.0,0.004108441811697182,5.010260957991704,8,0
118,2025-04-29,34793.99872128508,24.312618533676364,1200.0,2422.266066172165,0.0006859187034579699,0.668504083994776,8,0
119,2025-04-30,33235.64387800573,125.34590560205561,2422.266066172165,1566.8597148759318,0.00017221873809404755,0.42865545907989144,8,0
120,2025-05-01,45565.108271285906,13281.996402287246,1566.8597148759318,1200.0,0.0008227109070333552,0.5074393328977749,8,0
121,2025-05-02,19674.70448769615,5977.032793834416,1200.0,1709.6167436360033,0.0017981091942007217,0.9542810829589143,8,0
