scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory,label,date
2,0,12,monthly,net_load,pv_generating,kW,2097,698597.3940905712,377441001.2085768,393005.8357081475,5724641.100099999,333.1413419602152,424.2533912812336,12.20333959588083,187.413369436408,oracle_season,2026,oracle_season_seed_2026,True,exp004 全年探索,2025-12-01
2,0,2,monthly,load,all,kW,4032,662310.2358820016,172455999.8587697,422150.55536899966,18212126.7901,164.26345135962342,206.813503818774,3.636644108155613,104.70003853397807,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,2,monthly,load,pv_generating,kW,2036,346087.5786584216,91819993.98237877,200085.21542600216,11041710.0541,169.98407596189665,212.3634358158257,3.134365754604402,98.27368144695588,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,2,monthly,pv,all,kW,4032,592085.4160899494,377024137.5430597,-373645.5716019251,7928848.7577,146.84658137151524,305.79073010933234,7.467482785756928,-92.67003263936635,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,2,monthly,pv,pv_generating,kW,2036,589236.310646649,376960689.8498106,-376494.6770452256,7928848.7577,289.40879697772544,430.28791124862505,7.431549379402901,-184.9188001204448,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,2,monthly,net_load,all,kW,4032,1096454.3207757736,621970153.226574,795796.1269709248,11949435.2218,271.9380755892296,392.75752130583703,9.175783628463485,197.37007117334443,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,2,monthly,net_load,pv_generating,kW,2036,781522.2082907967,541905767.2745769,576579.8924712278,4779018.4858,383.8517722449886,515.9088758778212,16.353194920943505,283.1924815674007,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-02-01
2,0,3,monthly,load,all,kW,4464,708774.8455540453,181398869.5557701,440589.578708328,19443840.3155,158.7757270506374,201.58359923647384,3.6452410329097025,98.6983823271344,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,3,monthly,load,pv_generating,kW,2426,396939.19063154503,107422805.36988588,235422.32823693412,12447297.5511,163.6187925109419,210.42767013137592,3.1889588001089155,97.0413554150594,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,3,monthly,pv,all,kW,4464,947121.1567209804,792581873.0038593,-537793.3755698744,10285934.3167,212.16871790344547,421.366470823011,9.207925381977766,-120.4734264269432,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,3,monthly,pv,pv_generating,kW,2426,946730.707931514,792579160.2332782,-538183.824359341,10285934.3167,390.24349049114346,571.578555068227,9.204129433282734,-221.83999355290229,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,3,monthly,net_load,all,kW,4464,1467502.458991706,1068707703.4840178,978382.9542782024,12562015.0946,328.7415902759198,489.29116848218655,11.682062534875772,219.17180875407763,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,3,monthly,net_load,pv_generating,kW,2426,1155883.1670298656,994819033.622812,773606.1525962751,5565472.3302,476.4563755275621,640.3636106485704,20.76882425158563,318.8813489679617,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-03-01
2,0,4,monthly,load,all,kW,4320,748960.89065442,193774976.1056493,613295.197441564,18977659.7719,173.370576540375,211.7907423448305,3.9465397717973514,141.96648088925093,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,4,monthly,load,pv_generating,kW,2526,426854.8677532599,108687315.71102516,340199.08122626605,12832349.4944,168.98450821585905,207.43056886355936,3.3263968374578496,134.6789711901291,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,4,monthly,pv,all,kW,4320,1102368.3513606763,1029474050.3641522,-826461.4165069123,11671282.1779,255.17785911126768,488.16408954882706,9.445134943682977,-191.3105130803038,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,4,monthly,pv,pv_generating,kW,2526,1102221.3607763357,1029472698.5700092,-826608.4070912533,11671282.1779,436.3504991196895,638.3968622023743,9.443875522634798,-327.24006614855637,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,4,monthly,net_load,all,kW,4320,1699687.7736244246,1457065366.261173,1439756.6139484765,12041832.4582,393.4462438945427,580.7612673013704,14.114859839849425,333.2769939695547,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,4,monthly,net_load,pv_generating,kW,2526,1377673.1944439542,1372014218.924781,1166807.4883175194,5896522.1807,545.3971474441623,736.9917613276006,23.364165388086523,461.9190373386854,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-04-01
2,0,5,monthly,load,all,kW,4464,933808.5137488669,292910915.53726953,684170.1265502614,19649089.488,209.1864950154271,256.1566796318176,4.752426387589908,153.26391723796178,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,5,monthly,load,pv_generating,kW,2747,547073.9059141437,162907092.57855558,430506.9438096864,13593091.3839,199.1532238493424,243.5233821078717,4.0246467154786565,156.7189456897293,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,5,monthly,pv,all,kW,4464,1098291.0229336226,932530190.5391796,-634912.6397032194,12528226.6982,246.03293524498713,457.0559399999553,8.766532162859251,-142.22953398369611,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,5,monthly,pv,pv_generating,kW,2747,1080345.4271180443,931817407.3551582,-652858.2355187975,12528226.6982,393.2819174073696,582.4197316795781,8.623290854668712,-237.66226265700675,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,5,monthly,net_load,all,kW,4464,1788120.249240164,1447753184.1502032,1319082.7662534807,12329827.1922,400.56457196240234,569.4887791411678,14.502395056853274,295.49345122165784,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,5,monthly,net_load,pv_generating,kW,2747,1408140.3677083035,1321602217.2802565,1083365.179328484,6273829.088099999,512.6102539891896,693.6191094377081,22.44467211227063,394.38120834673606,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-05-01
2,0,6,monthly,load,all,kW,4320,935321.5170096403,321280118.7976566,341086.5312693968,20737609.7592,216.50961041889823,272.709365203742,4.510266746603697,78.95521557161962,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,6,monthly,load,pv_generating,kW,2765,560006.0624087122,181889704.73825255,245260.7294810155,14541332.1321,202.5338381224999,256.48176352886406,3.85113315149785,88.70189131320633,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,6,monthly,pv,all,kW,4320,1001585.8372338573,846817436.9022284,-406514.5708599892,10237650.7621,231.84857343376325,442.7443447842997,9.783356167430023,-94.10059510647898,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,6,monthly,pv,pv_generating,kW,2765,1001567.3622518636,846817363.7548821,-406533.04584198305,10237650.7621,362.2305107601677,553.410391149739,9.783175706282998,-147.02822634429768,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,6,monthly,net_load,all,kW,4320,1691524.7085488488,1295064643.7939382,747601.102129386,12512603.2655,391.5566454974187,547.5248691700751,13.51856742084003,173.05581067809862,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,6,monthly,net_load,pv_generating,kW,2765,1316226.8350811345,1155685754.4993963,651793.7753229985,6316325.6384,476.03140509263454,646.5056314252178,20.83848918553462,235.730117657504,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-06-01
2,0,7,monthly,load,all,kW,4464,1210465.785049684,508962638.05248207,61261.10049662154,23825522.6407,271.161690199302,337.66096588018615,5.080542422107892,13.723364806590848,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,7,monthly,load,pv_generating,kW,2784,740948.8739101238,310671229.5599306,-12092.79250469248,16157122.530900002,266.14542884702723,334.05340483889375,4.585896235502837,-4.34367546863954,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,7,monthly,pv,all,kW,4464,1139049.8497844632,1009681284.3241287,-866278.5492859934,12156607.0836,255.1634968155159,475.587093397143,9.369800652034815,-194.05881480421,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,7,monthly,pv,pv_generating,kW,2784,1139018.025607451,1009681108.0304312,-866310.3734630055,12156607.0836,409.130037933711,602.2232242221648,9.369538867008837,-311.1747031117118,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,7,monthly,net_load,all,kW,4464,1829811.2902679376,1364976575.4901638,927539.6497826152,14558102.5933,409.9039628736419,552.9686451024457,12.569023185137205,207.7821796108009,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,7,monthly,net_load,pv_generating,kW,2784,1360295.7688505254,1166689572.8034513,854217.5809583131,6889702.4835,488.6119859376887,647.3557989707127,19.743897100176216,306.8310276430722,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-07-01
2,0,8,monthly,load,all,kW,4464,1003766.5305496769,346973702.0641246,702519.1545219544,22521670.3527,224.85809376112832,278.7957743505573,4.45689202812322,157.37436257212238,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-08-01
2,0,8,monthly,load,pv_generating,kW,2668,599078.7463683051,204197730.2590812,424820.2663196988,14745514.2869,224.54225875873504,276.65118996075563,4.062786381757673,159.2279858769486,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-08-01
2,0,8,monthly,pv,all,kW,4464,1231269.649137805,1181318990.6246853,-936372.2918194776,13016993.1671,275.8220540183255,514.4243291028462,9.458940581222675,-209.76081805991885,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-08-01
2,0,8,monthly,pv,pv_generating,kW,2668,1227238.2424246378,1181211308.2402775,-940403.6985326452,13016993.1671,459.9843487348718,665.3817506913061,9.427970243745998,-352.4751493750544,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-08-01
2,0,8,monthly,net_load,all,kW,4464,2010240.92223336,1840906617.7521384,1638891.4463414322,14763437.7052,450.3227872386559,642.1755798089013,13.61634710271653,367.1351806320413,oracle_season,3407,oracle_season_seed_3407,True,exp004 全年探索,2025-08-01
