previous_experiment,previous_label,current_experiment,current_label,task,metric,population,previous,current,unit,absolute_change_unit,absolute_change,relative_change_pct,comparable,seed,same_dispatch,previous_source,current_source,period
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,planned_kwh,all,19310623.56978458,21007720.445915528,kWh,kWh,1697096.876130946,8.788410534740065,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,emergency_kwh,all,730041.0880550798,162942.3890899056,kWh,kWh,-567098.6989651741,-77.68038104211305,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,charge_kwh,all,6276030.03677205,6317717.491617825,kWh,kWh,41687.45484577492,0.6642328765401515,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,discharge_kwh,all,5648637.450206511,5685938.603747329,kWh,kWh,37301.15354081802,0.660356658922309,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,daily_cvar90,all,92651.63688211232,68163.43068562927,元,元,-24488.20619648305,-26.43040859347282,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp001,exp001 同口径重算,exp004,exp004 历史季节,dispatch,final_soc,all,1200.0,1429.3239702092117,kWh,kWh,229.32397020921167,19.11033085076764,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,total_cost,all,15128897.452710154,13626145.40599084,元,元,-1502752.0467193127,-9.93299116089992,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,planned_cost,all,11755724.512758028,12727957.705010273,元,元,972233.1922522448,8.270295813729883,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,emergency_cost,all,3373172.939952124,898187.7009805667,元,元,-2474985.2389715575,-73.3726163179373,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,planned_kwh,all,19494424.579403117,21007720.445915528,kWh,kWh,1513295.8665124103,7.76271112978265,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,emergency_kwh,all,579717.6630443097,162942.3890899056,kWh,kWh,-416775.2739544041,-71.89280239725052,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,charge_kwh,all,6316145.326189278,6317717.491617825,kWh,kWh,1572.1654285471886,0.024891216831702062,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,discharge_kwh,all,5684741.210682016,5685938.603747329,kWh,kWh,1197.3930653128773,0.02106328187926821,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,daily_cvar90,all,83083.73793737212,68163.43068562927,元,元,-14920.307251742852,-17.95815597871832,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 正式风险,exp004,exp004 历史季节,dispatch,final_soc,all,1200.0,1429.3239702092117,kWh,kWh,229.32397020921167,19.11033085076764,True,42,False,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,total_cost,all,15352302.279913764,13626145.40599084,元,元,-1726156.8739229236,-11.24363527014021,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,planned_cost,all,11677852.86107377,12727957.705010273,元,元,1050104.843936503,8.992276717553596,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,emergency_cost,all,3674449.4188399934,898187.7009805667,元,元,-2776261.7178594265,-75.55585616785766,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,planned_kwh,all,19421489.42026521,21007720.445915528,kWh,kWh,1586231.0256503187,8.167401538190875,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,emergency_kwh,all,628285.6174340288,162942.3890899056,kWh,kWh,-465343.22834412317,-74.06555481002796,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,charge_kwh,all,6315396.677972004,6317717.491617825,kWh,kWh,2320.8136458210647,0.03674850154569108,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,discharge_kwh,all,5684067.42728647,5685938.603747329,kWh,kWh,1871.1764608584344,0.03291967389190032,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
exp002,exp002 同确定性,exp004,exp004 历史季节,dispatch,daily_cvar90,all,84488.05931153643,68163.43068562927,元,元,-16324.628625907164,-19.32181749578679,True,42,True,data/results/exp003/baseline/exp002_q2_costs.csv,data/results/exp004/dispatch_metrics.csv,2025-02-01/2025-12-31
