name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,lead
no_season,3407,no_season_seed_3407,False,pv,0,4,8016,1407.59010865174,16980.2454839229,1404.56970865174,1.6239,0.175597568444578,1.45543605056896,86679.6051882345,0.175220772037393,exp004 无季节,0–4h
no_season,3407,no_season_seed_3407,False,load,4,8,8016,1447319.5951214,426836716.733748,747298.699610527,32783673.431,180.553841706762,230.755484019142,4.41475723630417,93.225885679956,exp004 无季节,4–8h
no_season,3407,no_season_seed_3407,False,pv,4,8,8016,709367.830908268,245489313.482463,-290739.541659369,7868652.7278,88.49399088177,174.999755304385,9.01511167727694,-36.2699029016179,exp004 无季节,4–8h
no_season,3407,no_season_seed_3407,False,load,8,12,8016,1419725.14031585,419842970.953855,673371.552146674,46507328.0133,177.111419700082,228.857204669143,3.05269126600833,84.0034371440461,exp004 无季节,8–12h
no_season,3407,no_season_seed_3407,False,pv,8,12,8016,4231472.24941067,3836308739.82671,-2554482.42411287,50642302.9044,527.878274627079,691.79580052144,8.35560787470236,-318.672957099909,exp004 无季节,8–12h
no_season,3407,no_season_seed_3407,False,load,12,16,8016,1594501.65852816,570338434.201857,865762.698552587,45186244.1546,198.914877560898,266.739581364856,3.52873244581412,108.00432866175,exp004 无季节,12–16h
no_season,3407,no_season_seed_3407,False,pv,12,16,8016,4110301.9027021,3587955879.66554,-2676851.06207093,49192026.388,512.762213410941,669.028614025904,8.3556263169203,-333.938505747372,exp004 无季节,12–16h
no_season,3407,no_season_seed_3407,False,load,16,20,8016,1757512.98864288,702333508.04227,986107.808676555,38937812.863,219.250622335689,296.00076958362,4.51364075025623,123.017441202165,exp004 无季节,16–20h
no_season,3407,no_season_seed_3407,False,pv,16,20,8016,611801.568969213,188802138.326715,-284255.486878625,6710354.7006,76.3225510191134,153.470391179867,9.11727615403862,-35.4610138321638,exp004 无季节,16–20h
no_season,3407,no_season_seed_3407,False,load,20,24,8016,1771536.75326518,706005303.237847,1005244.34654448,30697741.1341,221.000093970207,296.773506022652,5.77090263914339,125.40473385036,exp004 无季节,20–24h
no_season,3407,no_season_seed_3407,False,pv,20,24,8016,373.558398596517,9194.01071938309,370.319798596517,1.621,0.0466015966313019,1.07096098204965,23044.9351385883,0.0461975796652341,exp004 无季节,20–24h
causal_season,42,causal_season_seed_42,False,load,0,4,8016,1589253.80594196,536188713.501684,860092.642321224,27935677.3395,198.260205332081,258.630643135289,5.68897537950445,107.296986317518,exp004 历史季节,0–4h
causal_season,42,causal_season_seed_42,False,pv,0,4,8016,712.762091616887,8476.86382505884,709.625291616888,1.6239,0.0889174265989131,1.0283447827203,43891.9940647138,0.0885261092336436,exp004 历史季节,0–4h
causal_season,42,causal_season_seed_42,False,load,4,8,8016,1509811.26172996,451794486.578424,849471.34150267,32783673.431,188.349708299645,237.405955373931,4.60537549249222,105.971973740353,exp004 历史季节,4–8h
causal_season,42,causal_season_seed_42,False,pv,4,8,8016,776198.003598385,284128547.244482,-372739.581989707,7868652.7278,96.8310882732516,188.268898253167,9.86443334646187,-46.4994488510114,exp004 历史季节,4–8h
causal_season,42,causal_season_seed_42,False,load,8,12,8016,1480626.44710208,442133478.877279,805970.746666348,46507328.0133,184.708888111538,234.853937832494,3.18364118161908,100.545252827638,exp004 历史季节,8–12h
causal_season,42,causal_season_seed_42,False,pv,8,12,8016,4503129.43429403,4305854124.52582,-2953731.41394174,50642302.9044,561.767643998757,732.910260989979,8.89203131775981,-368.479467807103,exp004 历史季节,8–12h
causal_season,42,causal_season_seed_42,False,load,12,16,8016,1593883.19531771,548083455.463943,837026.765102306,45186244.1546,198.83772396678,261.483621980164,3.5273637478353,104.419506624539,exp004 历史季节,12–16h
