predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp001_tcn,2,0,0,annual,load,all,kW,48096,8827584.328595897,3061586422.262624,-469642.7317646484,222048476.9355,183.54092499575634,252.30088978406914,3.9755212242055182,-9.764694190050076
exp001_tcn,2,0,0,annual,load,pv_generating,kW,26880,4982944.2052335935,1750490992.5864136,-460192.0458984375,142806829.5625,185.37738858755927,255.19097311603954,3.4892898473408005,-17.12023980276925
exp001_tcn,2,0,0,annual,pv,all,kW,48096,8694778.029574968,5552941559.7528305,1164715.759165199,114413339.9657,180.77964965017813,339.7872448332161,7.599444288735541,24.216478691891197
exp001_tcn,2,0,0,annual,pv,pv_generating,kW,26880,8233234.1382071655,5529919998.599446,703171.8677973985,114413339.9657,306.29591287973085,453.5704911301953,7.196043870999141,26.159667700796074
exp001_tcn,2,0,0,annual,net_load,all,kW,48096,14201181.68700117,8714823501.365822,-1634358.4909298471,144333055.96420002,295.26741697856727,425.67173982418825,9.839174811433075,-33.98117288194127
exp001_tcn,2,0,0,annual,net_load,pv_generating,kW,26880,10295129.000413056,7366611446.590019,-1163363.913695836,65091408.59120001,383.0033110272714,523.503090119067,15.816417593711284,-43.279907503565326
exp001_gru_no_calendar,2,0,0,annual,load,all,kW,48096,8961359.378415039,3333166540.2588377,-821348.4571064453,222048476.9355,186.32234236558213,263.2534232617076,4.035767100090539,-17.077271646424762
exp001_gru_no_calendar,2,0,0,annual,load,pv_generating,kW,26880,5057858.878242578,1949053325.1308916,-600773.0983886716,142806829.5625,188.1643927917626,269.27574027012577,3.54174859405375,-22.350189672197605
exp001_gru_no_calendar,2,0,0,annual,pv,all,kW,48096,8364090.946467638,5648015420.295687,819879.7700631013,114413339.9657,173.90408654498583,342.68370792244536,7.3104158562062,17.046735072835606
exp001_gru_no_calendar,2,0,0,annual,pv,pv_generating,kW,26880,8207258.571355192,5646166971.377748,663047.3949506574,114413339.9657,305.3295599462497,458.31305304338207,7.173340603303467,24.666941776438147
exp001_gru_no_calendar,2,0,0,annual,net_load,all,kW,48096,14337414.506766113,9028140914.57608,-1641228.2271695463,144333055.96420002,298.0999356862548,433.2560990441455,9.933562627761672,-34.12400671926036
exp001_gru_no_calendar,2,0,0,annual,net_load,pv_generating,kW,26880,10428531.750085644,7639371909.049472,-1263820.4933393295,65091408.59120001,387.96621094068615,533.1067660397645,16.02136437940832,-47.01713144863577
exp001_gru_one_day,2,0,0,annual,load,all,kW,48096,8668575.770933984,2949416975.8409925,31477.66630664066,222048476.9355,180.2348588434378,247.6359019141886,3.9039113848333247,0.6544757631952899
exp001_gru_one_day,2,0,0,annual,load,pv_generating,kW,26880,4928621.346828906,1755026927.0166707,-134834.7602539062,142806829.5625,183.35644891476585,255.5213891645094,3.4512504492454084,-5.016174116588772
exp001_gru_one_day,2,0,0,annual,pv,all,kW,48096,8621104.887773199,5614250961.4731655,988265.5294757355,114413339.9657,179.24785611637557,341.65787199239077,7.5350521978973095,20.547769658094968
exp001_gru_one_day,2,0,0,annual,pv,pv_generating,kW,26880,8264562.041808594,5600625423.423955,631722.6835111305,114413339.9657,307.46138548395066,456.4609518609536,7.223425209233669,23.501587928241463
exp001_gru_one_day,2,0,0,annual,net_load,all,kW,48096,14168734.670278054,8747375124.051968,-956787.8631690944,144333055.96420002,294.59278672401143,426.46598373202244,9.816694156183063,-19.893293894899667
