predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp002_seed_42,2,0,3,monthly,pv,pv_generating,kW,2426,799058.0982050801,604810350.5297551,-44740.64358842715,10285934.3167,329.3726703236109,499.3030387832962,7.768454217209499,-18.44214492515546
exp002_seed_42,2,0,3,monthly,net_load,all,kW,4464,1180358.880993181,738340343.0705122,7999.3358842006055,12562015.0946,264.41731205044374,406.69254034519315,9.396254280100163,1.791965923880064
exp002_seed_42,2,0,3,monthly,net_load,pv_generating,kW,2426,914292.9822255411,684548689.6281888,39074.518757958416,5565472.3302,376.8726225167111,531.1984186212035,16.427949470960453,16.106561730403303
exp002_seed_42,2,0,4,monthly,load,all,kW,4320,549919.0451222657,109305108.40303108,-148834.88444882812,18977659.7719,127.29607525978372,159.06636485010765,2.897717904799434,-34.45251954833984
exp002_seed_42,2,0,4,monthly,load,pv_generating,kW,2526,325103.7909652344,66033411.70944813,-105297.66798398437,12832349.4944,128.70300513271354,161.6833113062928,2.533470516113271,-41.68553760252746
exp002_seed_42,2,0,4,monthly,pv,all,kW,4320,843193.2296122685,618623667.9636037,-54023.294519537594,11671282.177900001,195.18361796580288,378.4176570136799,7.224512412259946,-12.505392249892962
exp002_seed_42,2,0,4,monthly,pv,pv_generating,kW,2526,840456.6600724858,618564257.3222723,-56759.86405932016,11671282.177900001,332.7223515726389,494.8524646063195,7.2010653779232685,-22.470254972019067
exp002_seed_42,2,0,4,monthly,net_load,all,kW,4320,1177978.164660648,737938104.2964538,-94811.58992929054,12041832.4582,272.6801307084833,413.3025594212781,9.78238294503502,-21.947127298446883
exp002_seed_42,2,0,4,monthly,net_load,pv_generating,kW,2526,952623.2126171992,694466807.0539558,-48537.80392466418,5896522.1807,377.1271625562942,524.3352716155539,16.15567928727963,-19.215282630508383
exp002_seed_42,2,0,5,monthly,load,all,kW,4464,713171.1111742187,192754766.00830716,-216202.36592968748,19649089.487999998,159.76055357845402,207.79757239932061,3.6295377025473026,-48.4324296437472
exp002_seed_42,2,0,5,monthly,load,pv_generating,kW,2747,403657.5578152344,98352298.10124692,-116444.33971054688,13593091.3839,146.9448699727828,189.21820851507334,2.969578783920607,-42.3896395014732
exp002_seed_42,2,0,5,monthly,pv,all,kW,4464,941390.2116358066,674122680.0998713,205854.41469379002,12528226.6982,210.88490404027925,388.6040982589645,7.5141537131592715,46.11434020918235
exp002_seed_42,2,0,5,monthly,pv,pv_generating,kW,2747,935045.9585030759,673928035.6007245,199510.16156105924,12528226.698199999,340.38804459522237,495.31038302988674,7.463514039360568,72.62838061924253
exp002_seed_42,2,0,5,monthly,net_load,all,kW,4464,1405308.767488028,891911064.839389,-422056.78062347753,12329827.192200001,314.8093117132679,446.99090122667263,11.397635551429651,-94.54676985292956
exp002_seed_42,2,0,5,monthly,net_load,pv_generating,kW,2747,1094055.2604343519,796300939.7955946,-315954.5012716062,6273829.088099999,398.2727558916461,538.4052479917096,17.438397588954427,-115.01802012071576
exp002_seed_42,2,0,6,monthly,load,all,kW,4320,880026.270196875,334052277.0363554,-357805.905684375,20737609.7592,203.70978476779513,278.07717630297856,4.243624411952595,-82.82544113064236
exp002_seed_42,2,0,6,monthly,load,pv_generating,kW,2765,509886.9232648437,177506600.4858415,-182684.5510453125,14541332.1321,184.40756718439192,253.37262189970974,3.5064663858359166,-66.07036204170434
exp002_seed_42,2,0,6,monthly,pv,all,kW,4320,996703.2954544885,847141584.5800645,282444.15362546954,10237650.7621,230.71835542927974,442.82907427489795,9.735664153970804,65.38059111700684
