name,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
penalty_multiplier_2,2025-11-12,315,net,144,1,4.6276138864936485,6941101.048308007,21353.756647694958,461442.0557,219.5497451905833,148.28997672010388,61.138107584262016,199.99652660087045,137.20742665049815,-21.1955670125631,1467.3145820222883,1467.3145820222883,968.8031845442767,3737.868198984797,44464.22241426525,386.56541747366487
penalty_multiplier_2,2025-11-13,316,load,144,1,2.048815327379062,2135169.256273736,14478.5813416978,706680.6436,121.76848639807724,100.54570376179028,-25.023145635088017,119.24427513497365,115.5676997040311,-26.4083157675759,600.5554952421124,600.5554952421124,366.1839562029267,626.1578174748245,14201.406462203899,378.2114642681249
penalty_multiplier_2,2025-11-13,316,pv,144,1,6.490470175489872,8350448.830032872,17673.901792252214,272305.4157,240.80952636127043,122.7354291128626,11.732123041311626,240.9548142973126,252.67263262871145,-56.07282107024612,281.57095299147903,281.57095299147903,459.31068112623706,137.64271105647515,57851.585275282916,635.0624269090654
penalty_multiplier_2,2025-11-13,316,net,144,1,6.057658443075149,10736297.615048282,27382.328244763095,452028.2631,273.0524168117253,190.15505725529928,-36.75526867639962,276.7150542973647,293.35433898658664,29.664505302670236,882.126448233591,882.126448233591,610.2435826303059,1350.9497754743234,73206.67255124987,607.9435551289051
penalty_multiplier_2,2025-11-14,317,load,144,1,2.9669142489673868,1720980.388851754,12770.41063375735,430427.3586,109.32178511330393,88.68340717887048,8.164163156641608,107.49799245335853,89.65110882314033,17.699879587953472,195.9399157593986,195.9399157593986,89.48145660390146,66.65356004826427,11884.599140311137,168.54361045711735
penalty_multiplier_2,2025-11-14,317,pv,144,1,5.064371207822833,5216948.373510364,13412.309875428407,264836.62679999997,190.3386669843454,93.14104080158616,81.37662058408823,166.14967323481915,91.89347716644114,3.2625512340992895,1953.0388940181174,1953.0388940181174,1269.1855213182505,6622.154377686652,29606.653771690882,133.3581991324523
penalty_multiplier_2,2025-11-14,317,net,144,1,6.530370931041423,6544131.876061557,21665.03286506112,331758.0746,213.17917405419198,150.45161711848,-73.21245742744661,192.65888879842447,117.6301303415946,14.437328353854177,1757.0989782587185,1757.0989782587185,1239.4213944934506,5360.063922565682,40085.296327861804,224.71949745253946
penalty_multiplier_2,2025-11-15,318,load,144,1,2.879005768363571,1841856.3604306094,12517.97065626315,434801.8609,113.09584063818178,86.93035177960522,-13.25779527788496,115.69711369068666,124.6008096740222,-33.35228094908847,318.187086669239,318.187086669239,308.687638250527,175.7691356303087,12614.900034026701,367.6182212853657
penalty_multiplier_2,2025-11-15,318,pv,144,1,3.4625386993010268,2204300.4372151103,9194.09768518776,265530.5394,123.72405556360061,63.84790059158167,4.541058763329867,123.59311139843254,135.34091772522618,51.73973441680116,108.98541031991681,108.98541031991681,186.97171835982016,20.621214692014984,15287.020710412917,82.53322195709718
penalty_multiplier_2,2025-11-15,318,net,144,1,5.818045387015095,5277646.502757039,19396.18737115666,333379.7879,191.44274061925873,134.69574563303235,-17.798854041214828,194.6624494921512,224.98231815552086,-85.09201536588965,427.1724969891559,427.1724969891559,473.01206867298936,316.7992051804694,36333.523730632296,687.8783266091344
