name,fold_month,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
extra_trees_min_samples_leaf_8,4,2025-04-01,90,load,144,1,2.1521003958528624,2526690.147711966,15232.628534991753,707802.8778,132.46304903296948,105.7821426041094,-42.65980831824621,132.68543458156407,139.150055063628,-54.792386574974884,1023.8353996379092,1023.8353996379092,777.1999926279105,1819.8592457495088,15726.600113361368,488.49223175804804
extra_trees_min_samples_leaf_8,4,2025-04-01,90,pv,144,1,10.63063220484933,42795215.51566279,36840.43131725307,346549.7687,545.1504348677961,255.8363285920352,215.77918141443976,474.2126436149506,203.39256429331246,-0.20503780409364303,5178.700353946554,5178.700353946554,3524.8211087796803,46560.65513188571,250628.34150466148,334.6788438681389
extra_trees_min_samples_leaf_8,4,2025-04-01,90,net,144,1,12.333963024481527,48145247.50182636,49100.87171237087,398094.8509,578.2231373271575,340.9782757803533,-258.43898973268597,512.2454212382387,270.75882366061643,-54.58734877088125,6202.535753584463,6202.535753584463,4229.584401370366,66790.71141405136,267551.28512640944,770.7965099113107
extra_trees_min_samples_leaf_8,4,2025-04-02,91,load,144,1,2.0047049726336477,1969631.9439718372,14191.702965761917,707919.7767,116.952980342168,98.5534928177911,-17.227253559565455,115.77951622235354,121.61682153721115,-7.625829741396956,413.45408542957097,413.45408542957097,463.6042723306707,296.7782652055606,13381.221345709973,327.3476365616087
extra_trees_min_samples_leaf_8,4,2025-04-02,91,pv,144,1,12.060110226180589,38075341.20457424,41644.49699413986,345307.7643,514.2101629668867,289.1978957926379,182.19317576037648,536.5787224559703,568.5022390797017,271.6622920726098,4372.636218249036,4372.636218249036,3525.3558110641484,33194.35329365143,231217.7384047808,162.38118852736253
extra_trees_min_samples_leaf_8,4,2025-04-02,91,net,144,1,12.144892813986747,39312271.86881278,49573.25273512786,408181.8876,522.4958257994666,344.25869954949906,-199.42042931994195,544.1831999514773,572.6185677881377,-279.2881218140067,4786.090303678607,4786.090303678607,3946.288267065076,39768.50763014996,233233.3803477165,1952.4782248797376
extra_trees_min_samples_leaf_8,4,2025-04-03,92,load,144,1,1.9824388399114996,2296869.289291313,14021.923463668925,707306.7366,126.29521438136172,97.37446849770087,-7.3949177126799714,121.91497911759697,129.27292876230993,25.41268089312603,177.4780251043193,177.4780251043193,189.98710722685394,54.68480797730798,15895.796367656809,241.7926231118081
extra_trees_min_samples_leaf_8,4,2025-04-03,92,pv,144,1,7.4807013184522,20745437.951507248,27837.60129918257,372125.555,379.55966768073694,193.31667568876784,-117.51461379005524,360.0077828308495,240.13408287923176,19.15901005567668,2820.3507309613256,2820.3507309613256,1997.0888205622268,13809.68445422584,130255.85687568558,333.788228999794
extra_trees_min_samples_leaf_8,4,2025-04-03,92,net,144,1,7.894980947981354,20860488.74476353,33950.93968586472,430031.93940000003,380.61070028569736,235.7704144851717,110.1196960773753,368.7521977566324,282.971413844062,6.253670837449375,2642.872705857007,2642.872705857007,1836.074532197633,12126.347464173505,132738.15770779544,475.8776743812379
extra_trees_min_samples_leaf_8,4,2025-04-04,93,load,144,1,3.3380399430375425,2315543.673251572,14367.408294471677,430414.5109,126.8075880914875,99.77366871160888,-6.282078247267744,123.41388275695233,101.86632180694478,2.5030284945769257,150.76987793442586,150.76987793442586,153.4766621526135,39.46450710479458,16040.699890475566,222.46352770884013
extra_trees_min_samples_leaf_8,4,2025-04-04,93,pv,144,1,5.7371172172306295,13306314.233625932,22479.729031758077,391829.6974,303.98184149013844,156.10922938720887,-137.9284950254233,325.5182302655943,350.9309908231755,-144.70925644301224,3310.283880610159,3310.283880610159,2160.500924629572,19024.26973997822,73380.69021575742,988.6378065023364
extra_trees_min_samples_leaf_8,4,2025-04-04,93,net,144,1,7.6162030839160995,14747966.851505402,29255.66985185168,384124.0777,320.0256809519941,203.16437397119222,131.64641677815555,344.3266317473464,369.9465820694996,147.21228493758917,3159.514002675733,3159.514002675733,2035.8309023438421,17330.779050527835,85085.65741825967,229.35922802282184
