fold_month,validation_days,test_days,train_start,train_end,validation_start,validation_end,test_start,test_end,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct_vs_val7,mae_kw_change_pct_vs_val7,daily_energy_rmse_kwh_change_pct_vs_val7,cumulative_error_rmse_kwh_change_pct_vs_val7
4,14,7,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-07,pv,1008,7,7.43355640097376,148127541.13338172,191679.5454799289,2578571.2133,383.3430914045031,190.1582792459612,32.79741586127045,383.2776954799971,341.3277413801966,43.88168771134891,3507.693588164274,3148.096519637432,2451.7537796398965,21360.962341056875,125590.96338650439,2698.640164227902,-3.995231262644139,-3.960475987303258,-4.269937275721592,-3.9963117116314395
4,14,7,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-07,net,1008,7,9.045435179127741,167476452.04222012,254397.8931322476,2812445.0409999997,407.6116704062935,252.37886223437263,-41.83037913665797,411.09988103353965,372.3695513885427,-42.3174279324448,3900.05186573184,3531.0574721908247,2704.4340870809456,26406.95235312223,139740.32149828662,5713.93662881387,-4.321676141372621,-3.184048023877617,-5.577543216994297,-5.102964233174189
4,14,14,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-14,load,2016,14,2.293402282205974,31762720.914987333,201547.46108049917,8788142.5184,125.52018926921767,99.97393902802538,-9.333848864405295,125.09711129483577,126.85633523262389,-8.04999285007286,497.60980686098554,412.5795503583512,365.8478278512209,429.8880553545613,15325.42985882566,4620.381201708461,0.8241427035231341,0.9434206297455061,-9.630659401988106,-5.308938367663041
4,14,14,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-14,pv,2016,14,6.52956966970871,230729164.2770387,342003.44150966924,5237763.8774,338.30310406022744,169.64456424090736,12.850468408956427,336.1942398411746,286.0657921403353,28.404123086686972,2844.2713482307922,2422.0267672084346,1968.7980843229057,14044.929691608699,100404.06052517638,4872.61863674479,-2.588896463567225,-3.811806276590224,-2.838301149254341,-2.9503939012027303
4,14,14,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-14,net,2016,14,8.323941752026057,269543509.8288257,469248.14814299275,5637330.992000001,365.6530292667046,232.7619782455321,-22.18431727336173,364.44807648294886,314.8434955305023,-36.454115936759834,3034.1507442565157,2515.258583791431,2104.3750471354083,15982.761699431192,117719.37611248634,10045.13077694489,-2.7129748141072274,-2.242495385207177,-4.910862656005666,-4.570769934504071
4,14,28,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-28,load,4032,28,2.2754879677658315,62794828.418427475,399758.77142932574,17568045.9353,124.79629077451878,99.14652069179706,-4.556340936461332,124.21652496342983,121.24576423834925,-1.221373752631952,447.05961658468937,355.09398154791023,334.0543836058708,346.98316107786366,15227.131030000379,8248.108580892445,0.9227078253353893,0.9310052388562529,-15.905722712487226,-9.666434377806365
4,14,28,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-28,pv,4032,28,6.363739732695985,457402442.09305173,689562.6667954256,10835808.7502,336.8131024697533,171.02248680442102,0.549433288132498,336.0414094449271,303.30918198911195,28.04553463186502,2972.8370408423,2349.251145975058,2062.9969268228388,15343.333457298619,98099.73253800192,10849.547132245005,-2.0366292196998814,-2.6152089258231648,-1.2210283132932487,-1.340556740840504
4,14,28,2025-01-08,2025-03-17,2025-03-18,2025-03-31,2025-04-01,2025-04-28,net,4032,28,8.278115405132105,531380295.06450486,929855.2641889907,11232692.6925,363.02995438924233,230.61886512623778,-5.105774224593832,362.5216325523639,330.05338031394865,-29.26690838449697,3050.919491779012,2380.602162695943,2140.060012633762,16159.912752286642,115630.83503156874,20449.864146413693,-1.8142767860071074,-1.3339568336164787,-2.135342063184642,-1.8690926899831206
4,21,7,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-07,load,1008,7,2.410566737394767,17568069.548103783,105929.55402993507,4394383.7931,132.01757619614946,105.08884328366574,-16.07935122982392,131.55880867519883,127.0527349247273,-6.987974577783007,787.8925726955896,693.0669600634009,566.2525437720296,1077.7338647723527,16350.90655993378,2264.157553456864,5.044897432636386,4.9010437154271,15.118116613714228,22.491656725193067
4,21,7,2025-01-08,2025-03-10,2025-03-11,2025-03-31,2025-04-01,2025-04-07,pv,1008,7,7.399776843759652,147083176.47933236,190808.51554162567,2578571.2133,381.9893318953781,189.29416224367625,33.192151676150125,381.8123186237953,340.16569138904714,38.54770262842509,3510.183046548766,3132.648665242207,2448.1191218425797,21391.293437983295,124524.55624389404,2812.816326995818,-4.334267941571534,-4.39689866592553,-4.201996333530678,-4.138634548902531
