name,factor,factor_value,weight,window,penalty_multiplier,gain,seconds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
penalty_multiplier_1.25,penalty_multiplier,1.25,0.5,28,1.25,0.5,0.6236722499597818,net,48096,334,8.066209321630783,6138702188.574393,11642206.414378878,144333055.96420002,357.25951381064266,242.06184327966727,-9.761767546892402,359.29949818645855,342.6178540409297,-16.58467058435747,3543.6219693083517,2479.946284488625,2254.762865170283,21800.792814869445,105833.56739334736,254848.15173324596,0.027347395913768224,0.01706149612108465,0.023307293673902052,-0.00158491607579192
penalty_multiplier_1.5,penalty_multiplier,1.5,0.5,28,1.5,0.5,0.6257351669482887,load,48096,334,2.9631458531526134,1605293824.7326202,6579620.236302805,222048476.9355,182.69337046912653,136.80181795373431,-3.4549127764629137,185.14411283898392,190.78710501825717,-0.6744943520747507,1963.4115516149923,1130.156758073926,1128.520962763464,6692.682154540264,26684.18545882925,142662.85546680406,-0.16045717471052656,-0.1250426480450484,-0.18510868090554355,-0.2576601013323021
penalty_multiplier_1.5,penalty_multiplier,1.5,0.5,28,1.5,0.5,0.6257351669482887,pv,48096,334,6.446514145582758,4543072797.199583,7375672.145322541,114413339.9657,307.34090693480255,153.3531301006849,6.306681245524299,307.49653263241214,282.75504497454426,16.42546012027502,2886.7479852750926,2062.0585276191873,1977.1564453998974,14467.558907100356,79990.87416840665,128468.6370376987,0.09461542322126704,0.06118894568447608,-0.09079025098263083,-0.06497781444569917
penalty_multiplier_1.5,penalty_multiplier,1.5,0.5,28,1.5,0.5,0.6257351669482887,net,48096,334,8.067608460134787,6141665905.688641,11644225.833738878,144333055.96420002,357.3457444451157,242.10383054180969,-9.761594021987214,359.3892634179044,342.7788929852559,-17.099954472349765,3544.729495757261,2481.039748256252,2254.9972355469085,21814.4222189089,105881.55885412503,255440.5197328798,0.051490690345890044,0.0344101311758882,0.05456865825921309,0.008809377074592284
penalty_multiplier_2,penalty_multiplier,2.0,0.5,28,2.0,0.5,0.628075624932535,load,48096,334,2.9609385869484814,1602014274.851531,6574719.035314619,222048476.9355,182.50665750233574,136.69991340890343,-3.342124139237762,184.92673295763484,190.54785070539646,-0.6509384881888869,1961.6137906240785,1131.4038396394155,1126.9037729909248,6680.431707580844,26628.248325094046,142477.96759608772,-0.26249337447014076,-0.19944013940292882,-0.2765023155096413,-0.40059257427305095
penalty_multiplier_2,penalty_multiplier,2.0,0.5,28,2.0,0.5,0.628075624932535,pv,48096,334,6.451213029166483,4549784273.372387,7381048.294971781,114413339.9657,307.5678403362525,153.46490965926026,6.425305685767979,307.7518735368456,283.1830307098706,17.30951989256036,2885.5947719288633,2062.29013123589,1976.7112180754496,14456.002062123593,80141.97434698293,127714.10583227749,0.16852296703429026,0.1341238477861273,-0.13070251027283986,-0.08748175066674024
penalty_multiplier_2,penalty_multiplier,2.0,0.5,28,2.0,0.5,0.628075624932535,net,48096,334,8.070211393600696,6146773320.345062,11647982.727154939,144333055.96420002,357.4942980816157,242.18194292986814,-9.76742982500574,359.5418902973587,343.0445066831076,-17.960458380749248,3547.199731940317,2483.0803732373975,2255.808223464619,21844.83669839836,105957.33646246871,256422.2995391694,0.09308349790084769,0.06668523663737602,0.12429426526971987,0.044776576852445515
gain_0.25,gain,0.25,0.5,28,1.0,0.25,0.010478792013600469,load,48096,334,3.026177328592987,1690130602.841228,6719580.667508129,222048476.9355,187.45872260446544,139.71184022596742,-5.39597425120302,190.0621671664095,196.23970246852576,-2.5076202474659604,2196.237908362101,1324.22380585584,1241.9064601609148,8374.064149525582,26766.708530972337,147789.63291148448,2.443745579730172,1.9994784634420393,11.651196079458037,9.763717608216238
gain_0.25,gain,0.25,0.5,28,1.0,0.25,0.010478792013600469,pv,48096,334,6.44257200369873,4534488087.700146,7371161.809126838,114413339.9657,307.0503899088877,153.25935231883813,6.179810385627388,307.1617998537445,282.1737961041864,15.282953376879517,2889.3712526872273,2063.79114791263,1978.4419937675234,14493.864992804438,79786.07695039551,129518.8132276826,0.0,0.0,0.0,0.0
gain_0.25,gain,0.25,0.5,28,1.0,0.25,0.010478792013600469,net,48096,334,8.14747686800036,6200529281.457167,11759502.34756121,144333055.96420002,359.0541096497549,244.50063097890074,-11.575784636830408,361.12515388596563,344.49880600612437,-17.790573624345473,3651.307042076908,2591.6994864489266,2295.3986757433668,23145.9081866674,105773.9454697108,259120.79855184825,0.529807525021142,1.0247394348881889,3.0628575667447144,1.8006075520230924
gain_0.4,gain,0.4,0.5,28,1.0,0.4,0.010234666988253593,load,48096,334,2.9845044295067473,1634057394.8217323,6627046.629792266,222048476.9355,184.32284873825452,137.78789566268017,-4.306764263589894,186.86830949522613,192.76024668428906,-1.4184102598528374,2037.6274254003247,1196.596561781736,1162.6110692227435,7208.204036013117,26766.708530972337,144621.69213907007,0.7300314347870707,0.59486349501503,3.587839160794437,2.7553339837017132
gain_0.4,gain,0.4,0.5,28,1.0,0.4,0.010234666988253593,pv,48096,334,6.44257200369873,4534488087.700146,7371161.809126838,114413339.9657,307.0503899088877,153.25935231883813,6.179810385627388,307.1617998537445,282.1737961041864,15.282953376879517,2889.3712526872273,2063.79114791263,1978.4419937675234,14493.864992804438,79786.07695039551,129518.8132276826,0.0,0.0,0.0,0.0
gain_0.4,gain,0.4,0.5,28,1.0,0.4,0.010234666988253593,net,48096,334,8.091044909305424,6153149754.008864,11678052.377036354,144333055.96420002,357.6796756518824,242.80714356778844,-10.48657464921728,359.72969161740906,343.00708254288395,-16.70136363673235,3572.7613445515226,2515.6490919909756,2263.7701194654583,22160.804904725006,105773.9454697108,255955.99331365363,0.1449864589240457,0.3250106703491351,0.8458037985316746,0.39788554163346923
