name,family,parameter,value,default,fold_month,validation_days,test_days,train_start,train_end,validation_start,validation_end,test_start,test_end,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct_vs_val7,mae_kw_change_pct_vs_val7,daily_energy_rmse_kwh_change_pct_vs_val7,cumulative_error_rmse_kwh_change_pct_vs_val7,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,pv,4032,28,5.83463965309275,348722172.63387525,563859.5537573866,9663999.6175,294.0895001284176,139.84611948347882,4.468118085534,291.7162278233445,268.90548809380385,14.980362321058369,3241.7618677766504,2323.8569183337813,2217.619503160038,18244.826401685343,68243.80768409724,9901.877530278021,,,,,0.26193767192428385,0.31577518913044056,0.683094618404656,0.6853981037771684
hgb_learning_rate_0.064,hgb,learning_rate,0.064,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,net,4032,28,7.027788371557722,413108316.58997566,840640.740346466,11961668.3927,320.0897058469398,208.49224710973857,-5.657872351755136,321.71188587001427,308.8785684901817,-15.31430208765475,3660.5838247071833,2637.5221583953107,2283.5132643743927,23263.670030742833,79193.74975843763,19422.704336431376,,,,,0.32523402871265095,0.2699669124002879,1.419927429128598,1.3578088454138992
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,load,4032,28,2.3410276034374964,70136204.87402885,411243.0509550335,17566774.9646,131.88969664781396,101.9948043043238,-1.8625684176519703,139.2106207208687,157.80951503186776,-0.007313632973594373,747.5341561723877,508.65709538787536,413.1291256796516,970.1515879242427,16424.740493928148,10097.713242622895,,,,,0.21630130065861675,-0.171187894612701,1.5739797930229615,-0.2727456817442242
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,pv,4032,28,5.810822651353091,346780670.2720022,561557.8788003661,9663999.6175,293.26968933481726,139.2752675596146,4.673603648173632,291.02427993731084,268.6823237804873,15.834575103137457,3217.98585619555,2314.4362847872467,2202.900469839592,17978.18224075452,68028.92844178571,9802.227737042767,,,,,-0.017554858937374185,-0.09371385119583131,-0.05534408292723336,0.017117667273036652
hgb_learning_rate_0.096,hgb,learning_rate,0.096,0.08,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,net,4032,28,7.049747262808386,415877133.4755995,843267.390100584,11961668.3927,321.1605989630259,209.1436979416131,-6.536172065825599,323.01028612535714,310.4412955222712,-15.841888736111052,3695.078027208578,2674.710258249985,2300.7642780470296,23704.169491596585,79439.96083469297,19564.034762681815,,,,,0.6608824439180205,0.5832685064050436,2.37562184344704,2.1235258541564717
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,load,4032,28,2.3464669801039344,69968327.04659164,412198.5740135036,17566774.9646,131.73175667211208,102.23178918985705,-1.8220463426649018,139.17140101812615,158.21477992099713,-0.8268939909549927,740.9825774680353,551.8230061828724,418.7976128080277,953.2207988041198,16400.034917116427,10251.665023329035,,,,,0.09629071154773072,0.06076430894395024,0.6837597041701393,1.0955980691867317
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,pv,4032,28,5.814868307857068,347320031.1205432,561948.8510294358,9663999.6175,293.4976673404096,139.37223487833228,4.746601158511693,291.3344860108263,268.7919571225865,15.78584462387449,3223.667886347041,2311.0939017489427,2205.054079858784,18041.726808099305,68099.15392616238,9785.83813870784,,,,,0.06016813551597,-0.024156313374246174,0.12112920619797851,0.11489687684151928
extra_trees_min_samples_leaf_8,extra_trees,min_samples_leaf,8.0,10.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,net,4032,28,7.009723711808713,410978445.40369725,838479.90565102,11961668.3927,319.2634929450974,207.95632580630456,-6.568647501176595,321.31035349321735,309.6231477308494,-16.61273861482949,3608.3219304574504,2583.17454743222,2253.392858176731,22604.144364271142,79325.03356323314,19560.468473012337,,,,,0.06627536424839153,0.012226818425986608,-0.028037643093370423,0.020860897110552834
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,load,4032,28,2.351635240419726,70384770.31947255,413106.4706727634,17566774.9646,132.12320105797352,102.45696197241156,-1.626248621343718,139.55676676136716,158.71120198458064,-0.32472616431950957,742.3128556547665,557.7327015864747,418.19709845257324,956.6464855387748,16499.893772266918,10255.142683453463,,,,,0.393729476766036,0.2811552548769525,0.8645161934120571,0.950636980448083
extra_trees_min_samples_leaf_12,extra_trees,min_samples_leaf,12.0,10.0,10,7,28,2025-01-08,2025-09-23,2025-09-24,2025-09-30,2025-10-01,2025-10-28,pv,4032,28,5.8118945523382886,346613310.6103111,561661.4673074755,9663999.6175,293.19891341875444,139.30095915363975,4.689076710903609,291.04579189230145,268.49748782742,15.772602936054811,3223.1596662738284,2313.64378492638,2205.1604511425007,18036.038601205586,67929.56422873269,9808.051389295555,,,,,-0.041684011735632076,-0.07528450771461248,0.10534483590636246,0.11972639562620735
