validation_days,test_days_per_fold,folds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
14,7,3,pv,3024,21,8.241467326168477,535866684.97378784,655077.0244992946,7948548.463199999,420.9567573894747,216.62600016511064,-82.51853198846491,419.62330504024703,378.034658513182,-72.2386879234075,5223.248400908557,4310.732211877949,3520.615234778343,47365.14558610035,129839.44600576072,17084.500351286126
14,7,3,net,3024,21,9.911412149842398,595719705.7637717,902988.1491689967,9110590.2521,443.84373060460644,298.6071921855148,22.348595627344814,445.9586534988241,430.3747077992309,37.20594973331423,5301.062927357958,4604.098052256308,3356.269993324079,48786.92388855717,148210.3333084573,16509.920782057383
14,14,3,load,6048,42,3.3244076775713722,289281387.0687053,941551.9365603924,28322396.886299998,218.70280559256304,155.67988369054106,-17.930234317250164,220.6120460156764,231.87822519667307,-10.1958691793692,3106.1491341668416,1608.33273621525,1765.7923107087552,16750.282020287188,31080.63515377124,22740.226749935337
14,14,3,pv,6048,42,7.031192427554431,813206896.2973962,1119879.4297878332,15927304.5266,366.68625856239123,185.16524963423169,-39.87028107186404,361.4343419748366,308.6237233390981,-27.83990608927882,4102.527472477332,3168.195281103952,2778.0811313830895,29220.020247276458,105238.79197120835,23254.256949565246
14,14,3,net,6048,42,9.169062989471875,995692301.210925,1673001.749638761,18246158.3213,405.74827610232364,276.62065966249355,21.940046754613864,401.8911693016436,370.19764444613475,17.64403690990963,4263.149042559786,3496.8483392697867,2702.953950628378,31552.84680395559,133078.81675605188,30722.702799514565
14,28,3,load,12096,84,3.0525624404303655,473982374.430217,1723945.9022189798,56475369.001,197.9521426914821,142.52198265699238,-0.7778511554408918,199.41253078132644,205.91459288549714,6.814393600023204,2426.9146757042695,1205.8827234408302,1393.06230609733,10225.54660268882,28959.504193460078,36221.76780441657
14,28,3,pv,12096,84,6.501281609484834,1352268305.0682328,2049245.9543918986,31520645.889300004,334.3570966462816,169.41517480091755,-6.963537271074772,331.6097459100658,296.96582829903247,8.189062802294188,3391.920178344743,2526.2083342395667,2311.223819118053,19974.171000455262,91820.49707727562,36908.50691931227
14,28,3,net,12096,84,8.554086010820246,1728765278.094243,3105401.710265713,36303138.714499995,378.04815816950804,256.729638745512,6.185686115633875,376.779849627164,352.4784151616986,-1.3746692022709819,3548.7407536812993,2693.191508853009,2299.6594362145274,21863.821070900198,121056.58882445724,62440.808405955286
21,7,3,load,3024,21,3.590871019667174,167342091.50139764,508972.7275692799,14174074.3341,235.2402882615171,168.3110871591534,-58.605055746189294,238.68885560370796,251.98308698338613,-39.22109925784525,3858.0511326525925,2231.4378801225394,2214.754862678135,25841.247469031165,29496.745752330484,14174.369882155792
21,7,3,pv,3024,21,8.144407376723851,526871054.32632273,647362.1673793311,7948548.463199999,417.4084881831967,214.07479080004333,-83.39345475961912,414.7725685702776,369.9211833541542,-68.5112885423981,5134.847235097954,4238.661893292184,3463.939625333028,45775.44466630747,128454.40134107442,16629.36005297535
21,7,3,net,3024,21,9.961324107836278,596823447.1228514,907535.4231486192,9110590.2521,444.2547141367089,300.11092035337936,24.78839901342983,445.8459146672349,427.2562189593069,29.290189284552863,5366.360424326356,4572.9154881490185,3402.5863232590928,49996.22257600026,147366.02845668868,16957.969359466017
21,14,3,load,6048,42,3.3924826934110386,298852505.949042,960832.4127269143,28322396.886299998,222.2913481086373,158.86779310960884,-16.693479583901645,224.60754149514642,237.00659771826287,-11.598121767001906,3176.4333863225606,1800.2298703552674,1808.5176991125982,17516.89072525106,31896.5527187043,23369.17103713879
21,14,3,pv,6048,42,6.998980386990986,806600874.2547302,1114748.9199930616,15927304.5266,365.1938480712705,184.31695105705384,-41.22731426740881,359.1389774446764,303.7080964161283,-25.778002051042296,4060.4595225217486,3175.590829198011,2750.2566644704452,28623.839468815197,104742.70720028704,22753.296363386176
21,14,3,net,6048,42,9.273904812888082,1008883991.8532996,1692131.35472622,18246158.3213,408.42726321931957,279.7836234666369,24.533834683507155,404.4295200099184,371.5492500216819,14.179880284040387,4361.954302114897,3576.365689866058,2753.3585244326723,33032.37037107405,133780.4589697493,31423.137157037152
21,28,3,load,12096,84,3.108737275133357,490424434.28560597,1755670.8474031962,56475369.001,201.35627150042635,145.1447459824071,1.4806458705904328,203.06753432490692,210.39189430718125,8.00689115293996,2533.8378476669454,1342.596532732798,1450.065085797638,11146.413608106695,29397.934464446702,36553.11749360765
21,28,3,pv,12096,84,6.476808585567476,1341578065.2959526,2041531.8991845045,31520645.889300004,333.03285878089247,168.77743875533272,-7.231735141091627,329.9638147932759,295.602344423744,11.039565612982909,3352.1441175588316,2514.819512450357,2284.575979907725,19508.455182090755,91402.4298456831,36042.87570705858
21,28,3,net,12096,84,8.63170198445696,1744786932.1599422,3133578.744839659,36303138.714499995,379.7959338935998,259.05908935513054,8.71238101168206,378.4527011613522,354.6620008145209,-3.0326744600429483,3617.005023501499,2738.628610121458,2326.2374051905012,22713.064826449798,121531.88657566183,63426.54511159342
