name,month,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
gain_0.25,12,net,4464,31,5.143420128480976,247658101.99838445,757276.9862757816,14723218.5464,235.5397323201124,169.64090194349947,6.562806226691148,233.4741384462707,213.47720482479673,11.221206584856134,2191.917994224515,1616.1115769478736,1615.180173245186,8341.153634384063,47137.81186704614,13141.169918930513
gain_0.4,2,load,4032,28,2.722381229872039,97550915.1158292,495803.5212941795,18212126.7901,155.54476968368206,122.96714317811991,-11.087039857629218,153.61010826877614,147.28035468449642,-20.570006994286192,1543.8710891480284,969.7660376908686,984.9852369845067,4138.0867012276385,20056.08867472206,11357.606167431304
gain_0.4,2,pv,4032,28,5.90168394652403,225167680.9115437,467935.59427735093,7928848.7577,236.31580344157274,116.05545492989854,-34.99078792032738,230.78890813522978,192.83840227072412,-0.5281299823055987,2079.6159418738184,1694.1309295905753,1442.8272214613467,7508.337614055088,48336.821342180956,8183.228648680779
gain_0.4,2,net,4032,28,6.436973086295251,303307803.5059954,769181.9291915512,11949435.2218,274.2720359042575,190.769327676476,23.903748062698153,268.88715331840297,240.60210551831614,-20.0418770119806,2495.264262625491,1975.2705893910445,1687.2642460725776,10809.62454919433,64415.52512987198,16159.373848364892
gain_0.4,3,load,4464,31,2.6299291219152257,94745253.9865467,511359.2188760278,19443840.3155,145.68560412025042,114.55179634319619,-21.56747275916484,146.44128893507283,139.61475303572558,-18.867690933254952,944.5773333537778,760.0467660275322,693.2455630390954,1549.004060218288,19675.29118766404,12019.325487378037
gain_0.4,3,pv,4464,31,6.824531570646421,445890686.0135788,701966.8347791458,10285934.3167,316.0473166553531,157.25063503117065,-12.974371331718718,313.323903954166,285.3852903975188,9.729850041525033,2979.1430482010464,2404.4348129102814,2053.621763136104,15408.495315355252,84477.41104969376,12060.92963994584
gain_0.4,3,net,4464,31,7.961085145358745,527783698.1947306,1000072.7176539239,12562015.0946,343.84751734888476,224.0306267145887,-8.593101427446122,341.4383683451371,314.6665044874826,-28.597540974779978,2981.0170573029013,2318.2336504422096,1991.2512009768648,15427.88662487995,102803.22856211168,21583.92660226821
gain_0.4,4,load,4320,30,2.2098532444681975,64794113.449158475,419378.430193468,18977659.7719,122.4689241093037,97.07834032256204,-6.447049862791026,121.76797532887187,118.1320650296272,-2.292289715928521,503.4870738767489,391.64888755419327,351.48594231660223,440.10283604335206,14558.534536447034,8710.397946755611
gain_0.4,4,pv,4320,30,6.520392445794717,502652784.16270286,761013.4014551768,11671282.177900001,341.1082103215544,176.16050959610573,5.827327455117721,339.29977431335305,303.98405202512396,2.102352698197809,2954.766345844676,2283.786687539727,2059.454422423364,15157.368330792186,101197.44281798162,14442.05011473335
gain_0.4,4,net,4320,30,8.378032328411548,580022963.943784,1008868.6162811511,12041832.4582,366.42130804169545,233.53440191693312,-12.274377317908748,364.50503168473045,328.0143834711589,-4.394642414126326,3050.641296064824,2282.774254645471,2139.4407688313718,16156.965828569566,118107.60915841744,19752.737965791544
gain_0.4,5,load,4464,31,2.8509050965576623,122737163.06226844,560176.8936405678,19649089.487999998,165.8158140785638,125.48765538543185,-7.599398730801015,177.32991204203984,203.7619412787487,-22.147917106448407,946.6023014216663,743.5730819178101,449.0477216408385,1555.6526337791586,25939.231564757676,16453.882988446614
gain_0.4,5,pv,4464,31,6.562430547467976,516327530.19687575,822156.1758987154,12528226.6982,340.09523564633474,184.1747705866298,38.592136728700346,341.2430493406346,309.11596588318395,41.942712485128084,3009.311606436688,2123.9508026653402,2061.47054576328,15722.146431657227,99942.62287767875,12317.77713748197
gain_0.4,5,net,4464,31,9.508144523194275,640799250.7176718,1172337.788894483,12329827.192200001,378.87757817900797,262.6204724225992,-46.19153545950137,384.8954184407702,364.3483989441213,-64.09062959157647,3420.8728158946865,2389.31916687274,2140.9088196386947,20316.61601133202,123231.60323545826,31331.051282380326
gain_0.4,6,load,4320,30,3.6975635430421576,229044473.21899974,766786.2981545317,20737609.7592,230.25975329153718,177.496828276512,12.41891532518804,239.06594371265766,261.39738944538675,38.95808665353331,2906.2062710374603,2112.4883953022368,1539.0652456952246,14663.2550170442,38356.29896883537,14858.545733226676
gain_0.4,6,pv,4320,30,8.843827104588726,709233011.7025273,905400.132971734,10237650.7621,405.1842892616567,209.58336411382732,23.617411767143352,409.08560777560024,378.2875083690659,13.626342756349674,4303.825372175079,3114.6832268935127,2888.9498730794767,32157.834781558948,132016.47348291497,17185.044243929628
gain_0.4,6,net,4320,30,11.315366340169943,967417016.3458519,1415846.898183392,12512603.2655,473.2220664277316,327.7423375424518,-11.198496441955319,483.0706152033075,475.01662716091977,25.331743897183635,6065.616690281233,4389.788477194325,3662.834746700577,63874.489294128914,160064.63486000343,29123.049404456775
gain_0.4,7,load,4464,31,4.138785823517737,361568395.0204102,986087.3534323004,23825522.6407,284.5988479612041,220.8977046219311,-0.3729880503227454,284.70589579132303,288.25066061879346,9.465892373652094,4020.1210636782075,2718.08972030988,2276.96339013983,28057.93987262015,52938.56438822443,20044.98696839067
gain_0.4,7,pv,4464,31,7.09673199014614,588838786.597774,862721.8238182128,12156607.0836,363.1918643513957,193.26205730694733,-25.32488129180711,358.13892884909535,313.5220343501023,-14.92978638218228,3746.4032643638343,2719.5918103760464,2524.9027505131257,24367.252463951383,107541.07786709118,17359.525192372115
gain_0.4,7,net,4464,31,9.896383937818008,833210462.2376059,1440725.726694408,14558102.5933,432.0313521157153,322.74321834552154,24.951893241484346,428.3671428555463,402.3879951134982,24.395678755834385,3524.6575327362457,2632.3847602843534,2237.658286581484,21568.074172004097,165083.01503892915,25814.114954860797
gain_0.4,8,load,4464,31,3.136900865657714,175695405.66659403,706482.4722544231,22521670.3527,198.38923811503548,158.262202565955,25.357418745225726,196.7845028812683,194.13015135508962,34.377606290527496,1327.7309783247574,964.5235022926079,865.5975779869282,3060.5374145889205,36297.75238527534,11130.389867747252
gain_0.4,8,pv,4464,31,6.166490228945913,493692134.21625936,802691.6117517787,13016993.167100001,332.5569366106678,179.81442915586442,5.6812173979826355,338.2304884512295,330.08547164965677,33.22652254272486,2927.191627227918,2241.392688968416,2024.843236381966,14875.782677974357,95718.33340989737,13764.722693636568
gain_0.4,8,net,4464,31,8.518603460994708,705407548.1951708,1257638.7153169648,14763437.7052,397.519061386476,281.7291028935853,19.676201347243087,401.2453487606503,386.85506861618177,1.1510837478026474,3544.097094939987,2721.465144872415,2412.0391162660762,21806.63926798968,136214.76489759516,25461.16461563059
gain_0.4,9,load,4320,30,3.784354988411826,224907777.71700504,741549.3958129117,19595133.0698,228.17095692186606,171.6549527344703,-28.677614400506492,233.20585138027312,243.69673572224616,-23.184160465394925,3293.181219715639,2512.826836336288,1632.800077162965,18828.198864388516,33233.78671825154,18391.867486376737
gain_0.4,9,pv,4320,30,6.102373783120047,399017655.5799686,687422.0244741683,11264829.8663,303.9164326766795,159.1254686282797,59.023911661027896,313.02453743234787,314.3736780220829,72.90543470536946,2550.7493101084747,2046.866928769158,1783.2610380400197,11295.697991352183,81069.50005956646,8586.206823947574
gain_0.4,9,net,4320,30,9.58039898535442,676706641.502273,1244757.9804816467,12992757.2159,395.78410264095237,288.1384214077886,-87.70152606153441,407.7991671817256,418.1022791773464,-96.0895951707644,4844.89699175366,3694.6426517233162,2781.6260103729105,40751.78274427719,115893.27315902672,36930.997305976314
gain_0.4,10,load,4464,31,2.3282653599036207,75520145.16555715,451802.1051579182,19405095.0093,130.06765640688835,101.21014900491,-1.8811071787399485,137.0368491140728,154.79182827758123,-1.2961178364135701,713.4434192906907,541.2111542283631,386.9975471076555,883.6831814742924,16033.912061706073,11141.734077739457
gain_0.4,10,pv,4464,31,5.903772976203715,382937030.0042074,623101.525303733,10554293.4631,292.88800736386145,139.58367502323767,11.695481809171959,289.8317734758507,266.6583621154442,19.40620693711534,3223.4600160563855,2392.5246591510827,2205.7321957254508,18039.40013040666,67743.98472716668,10490.757860167469
gain_0.4,10,net,4464,31,7.037939020956743,454336002.75166476,929408.3383007913,13205688.988400001,319.0262973395612,208.20079263010558,-13.576588987911908,320.2989722352516,307.23236715406006,-20.702324773528908,3598.524544878456,2661.1392337996363,2263.5861215962796,22481.5605904387,79296.21780375141,21917.573909345825
gain_0.4,11,load,4320,30,2.214171495961769,61851340.20946589,414907.8446026377,18738740.217699997,119.65550494357663,96.04348254690687,-2.0749768466662015,119.56846380475325,116.49445460881056,-3.9291247310316675,442.78931897252806,371.0256577249492,297.6741961169736,340.38607811832503,13977.053785183964,8796.276369433863
gain_0.4,11,pv,4320,30,4.962470190025457,158053686.0063339,397538.8107773544,8010905.7698,191.2759822621624,92.02287286512833,9.868484591762899,187.70754731950575,167.05982462140847,10.777702267373346,1306.4970287395608,957.5833846539049,923.0345258191601,2963.427927266147,33623.07346308892,6987.795170407695
gain_0.4,11,net,4320,30,5.431069115731765,221434655.1521026,689427.3911935878,12694137.6827,226.4023454515206,159.5896738874046,-11.943461438429104,223.25026512083772,205.5563744096673,-14.706826998405017,1396.743479314026,1120.6406215222862,982.0184215874228,3386.965880219185,47871.05614573049,14937.394543313652
gain_0.4,12,load,4464,31,2.734759731447384,125642412.20989755,572713.0963732998,20941989.5206,167.76680738430736,128.29594452806896,-6.342915719169265,165.3602601057674,157.3450147221124,-7.479004503745901,1804.2741743431275,1074.8173646504351,1357.686290328461,5651.745305905514,22493.956354017773,11716.679046143856
gain_0.4,12,pv,4464,31,5.019614145949586,112677102.30837345,339213.87361946795,6757767.9032,158.87506525381085,75.98877097210304,-14.647497302098254,157.63803713675966,135.48691865133787,-20.441986444839873,890.5406988151963,691.7494368511977,633.815097375812,1376.8450282053088,23864.441331197344,8140.7757023796485
gain_0.4,12,net,4464,31,5.092543267503042,242723711.4620137,749786.2748444525,14723218.5464,233.18145568919672,167.96287518916947,8.304581582928991,231.4032322683068,212.28091098202913,12.962981941093972,2041.521231906523,1480.1625620987977,1520.1971724444825,7235.779410286681,47137.81186704614,12944.60888126473
gain_0.6,2,load,4032,28,2.7633112481704885,100894933.08162627,503257.74812190427,18212126.7901,158.18832103261488,124.81590975245642,-7.272830971282645,156.35950072198204,150.40066355177538,-16.755798107939597,1691.524398926556,1051.7091761850293,1063.0547582475608,4967.456236395567,20056.08867472206,11198.573517400457
gain_0.6,2,pv,4032,28,5.90168394652403,225167680.9115437,467935.59427735093,7928848.7577,236.31580344157274,116.05545492989854,-34.99078792032738,230.78890813522978,192.83840227072412,-0.5281299823055987,2079.6159418738184,1694.1309295905753,1442.8272214613467,7508.337614055088,48336.821342180956,8183.228648680779
gain_0.6,2,net,4032,28,6.484782566964086,306363697.5082464,774894.8921139527,11949435.2218,275.65024922513413,192.1862331631827,27.717956949044723,270.27178358262006,242.39645285697327,-16.227668125634,2581.259387657853,2038.2442008239566,1731.358168121956,11567.534768006588,64415.52512987198,15957.386466935886
gain_0.6,3,load,4464,31,2.6185402297982687,93539464.16275582,509144.78087910207,19443840.3155,144.75559070393055,114.05573048366982,-14.218928812970367,145.48193071706675,138.767567517477,-11.519146987060477,858.2776677572245,661.7399962132978,637.2843721552337,1278.8898523798275,19675.29118766404,11304.416249403288
gain_0.6,3,pv,4464,31,6.824531570646421,445890686.0135788,701966.8347791458,10285934.3167,316.0473166553531,157.25063503117065,-12.974371331718718,313.323903954166,285.3852903975188,9.729850041525033,2979.1430482010464,2404.4348129102814,2053.621763136104,15408.495315355252,84477.41104969376,12060.92963994584
gain_0.6,3,net,4464,31,7.964568185520493,528753834.8734234,1000510.2576847937,12562015.0946,344.16339101041586,224.12864195447887,-1.2445574812516491,341.6571105673316,314.633057346916,-21.248997028585503,3001.939643332922,2338.703975401785,2000.3979439505472,15645.211149676721,102803.22856211168,20891.80424105453
gain_0.6,4,load,4320,30,2.2153037123393258,65055028.09734132,420412.80144202744,18977659.7719,122.71525692346478,97.31777811158042,-4.634029061685858,121.99073223720572,118.38195615570669,-0.47926891482336614,536.9244391147453,411.1425497027095,367.3999760297819,500.49974534493714,14558.534536447036,8563.12698710445
gain_0.6,4,pv,4320,30,6.520392445794717,502652784.16270286,761013.4014551768,11671282.177900001,341.1082103215544,176.16050959610573,5.827327455117721,339.29977431335305,303.98405202512396,2.102352698197809,2954.766345844676,2283.786687539727,2059.454422423364,15157.368330792186,101197.44281798162,14442.05011473335
gain_0.6,4,net,4320,30,8.38178590133626,580690804.2489696,1009320.6152439411,12041832.4582,366.6321966906677,233.63903130646784,-10.46135651680358,364.7103675164114,328.2248220249475,-2.5816216130211758,3065.2010849666653,2302.1374572676286,2146.861045841975,16311.558491806984,118107.60915841744,19592.84297216232
gain_0.6,5,load,4464,31,2.848656098840917,121761488.0167824,559734.9860666214,19649089.487999998,165.15543890582373,125.3886617532754,-4.875041902117198,176.2651752133605,201.96063860100338,-19.423560277764572,877.5889486545141,700.4324742801244,474.37729361029494,1337.0874354175962,25939.231564757676,16108.58529627761
gain_0.6,5,pv,4464,31,6.562430547467976,516327530.19687575,822156.1758987154,12528226.6982,340.09523564633474,184.1747705866298,38.592136728700346,341.2430493406346,309.11596588318395,41.942712485128084,3009.311606436688,2123.9508026653402,2061.47054576328,15722.146431657227,99942.62287767875,12317.77713748197
