family,level,replicate_id,n_days,total_cost_yuan,cost_change_pct,emergency_cost_yuan,emergency_kwh,peak_emergency_kw,throughput_kwh,reversals,final_soc_kwh,balance_error_kwh,soc_error_kwh,simultaneous_slots,emergency_charge_slots,min_soc_kwh,max_soc_kwh,max_power_kw,physics_passed
capacity,1.0,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
capacity,1.05,-1,334,13093218.269783076,-0.8238435606711558,458284.0638791472,86632.18269544558,5293.094612056285,11393119.718903333,2533,1260.0,0.0,9.094947017729282e-13,0,0,1260.0,11340.0,5000.0,True
capacity,1.1,-1,334,13027933.537441317,-1.3183506172569692,392999.33153738827,76142.99436901535,5293.094612056285,11415381.860010196,2533,1443.318321070595,0.0,9.094947017729282e-13,0,0,1320.0000000000002,11880.000000000002,5000.0,True
power,0.9,-1,334,13430818.858363483,1.733352699039159,795884.6524595544,143712.75962118,5293.094612056285,11272627.96856632,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,4500.0,True
power,0.95,-1,334,13253506.00370963,0.39027515694713966,618571.7978057005,113772.5210135349,5293.094612056285,11335835.138960237,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,4750.0,True
power,1.0,-1,334,13201981.947942168,2.220446049250313e-14,567047.7420382388,105253.93276485713,5293.094612056285,11353818.825263001,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
power,1.05,-1,334,13189060.97192088,-0.09787148681338342,554126.7660169508,103265.13489031483,5293.094612056285,11358017.398553703,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5250.0,True
power,1.1,-1,334,13184347.120828269,-0.1335771188252899,549412.9149243403,102571.36607916467,5293.094612056285,11359482.021599462,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5500.0,True
efficiency,0.85,-1,334,13585809.46761854,2.907347708774921,950875.2617146112,174067.14055745222,5293.094612056285,11555560.781327624,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
efficiency,0.875,-1,334,13351666.67803369,1.1338049899004554,716732.4721297622,131611.25448066927,5293.094612056285,11468073.167139849,2533,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
