scenario,variant,seed,known_price,corrected,update_schedule,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,initial_soc,final_soc,days
3,gru_one_day,2026,False,True,0+6+12+18,19873220.183495514,20575065.2343255,220786.97222143476,26560,6529003.666312503,5294925.916238961,1622584.9615067232,12079465.530653479,850425.060121961,0.0,1127031.650264771,14056922.241040211,0,3.354704239172861,8347.718362037042,1200.0,334
3,gru_one_day,3407,False,True,0+6+12+18,19814480.903334215,20479048.43222999,221017.9450139817,29360,6524610.829326831,5291247.093126293,1527513.1460767647,12025461.197120223,849112.7831745066,0.0,1079675.746540864,13954249.726835594,0,3.118290505721234,8347.718362037042,1334.027949192346,334
3,gru_one_day,42,False,True,0+6+12+18,19670968.296254426,20432082.249908783,242829.75502879854,30250,6521444.159436857,5288554.192848993,1502832.5433830516,11946474.10674352,944776.9637270978,0.0,1217644.0553238213,14108895.12579444,0,3.0724942052038386,8347.718362037042,1476.1364674381512,334
3,gru_one_day,mean,False,True,0+6+12+18,19803783.363270067,20466073.65244388,226364.08092234386,30190,6542843.282635495,5306079.813653992,1516484.769418051,12023008.253558595,820357.2153545427,0.0,1121196.801466097,13964562.270379234,0,3.0737210400402546,8347.718362037042,1262.4353406586376,334
3,mlp,2026,False,True,0+6+12+18,20272639.149356227,22841934.355390385,972870.5120205265,41750,5431788.706881654,4403106.965377219,4846933.630939808,12521285.937790405,2999375.935377703,1.1199547245155372e-11,5267539.471436853,20788201.34460496,0,3.290966199361719,8347.718362037042,4616.481914171731,334
3,mlp,3407,False,True,0+6+12+18,7426236.223592606,18370504.245100148,3016396.0575413196,108340,5271115.643762642,4273119.204388209,2449714.3683003667,4113158.285018538,13601853.625859259,0.0,8839290.642494205,26554302.553372003,0,3.1721005926374346,8347.718362037042,4441.5706504054515,334
3,mlp,42,False,True,0+6+12+18,7077820.252693931,12637392.137226535,7510980.920449706,230660,4142667.5902466113,3361993.6946255886,1428509.6670885505,3910172.922972724,7885428.285599586,0.0,27052095.039292663,38847696.24786498,0,3.158697662060149,8347.718362037042,1200.0,334
3,mlp,mean,False,True,0+6+12+18,11512382.641793473,16935968.443084277,3549479.1703828927,157080,5329544.278087799,4323363.811776951,1540077.6521896566,6508628.478287938,7256330.814354011,0.0,13914608.693199461,27679567.98584141,0,3.167917947866954,8347.718362037042,1200.0,334
3,selected,mean,False,True,0,19776590.218946114,19776590.218946114,731948.0103453964,45900,6374472.1442232905,5169755.383346699,1364631.973448254,11991346.48064363,0.0,0.0,4276037.949845794,16267384.430489425,0,0.9593393362592906,8347.718362037042,1200.0,334
3,selected,mean,False,True,0+6,19769193.543587204,20215044.367017407,433971.2347636959,37200,6533568.358389464,5298623.3168212995,1474881.06524627,11988165.972208733,444419.9594997509,0.0,2455330.1082638935,14887916.039972376,0,2.0194565808633342,8347.718362037042,1200.0,334
3,selected,mean,False,True,0+6+12,19763146.23877274,20236204.830136646,390176.9638067797,35460,6574268.732943219,5331590.620209841,1444514.1862433816,11985562.530516371,478026.51168234274,0.0,2182208.2307987968,14645797.27299751,0,2.6527633698424324,8347.718362037042,1200.0,334
3,selected,mean,False,True,0+6+12+18,19756228.85462288,20380349.08487494,244945.00043633173,32800,6566786.730458315,5325530.19819707,1444848.0580833575,11982586.366516737,782307.2080179575,0.0,1192271.2655587245,13957164.840093419,0,3.492004709201865,8347.718362037042,1200.0,334
3,tcn,2026,False,True,0+6+12+18,19805689.981460217,20418169.350441642,251725.25427459454,31980,6570332.101444964,5328401.948696255,1488774.9570008593,12004993.324085098,788101.2773186684,0.0,1215188.3045978486,14008282.906001614,0,3.428691047942266,8347.718362037042,1200.0,334
