scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,alpha_load,alpha_pv,predictor_id
2,0,0,annual,net_load,all,kW,48096,13245859.215322647,7873159878.755345,-750797.1052542283,144333055.96420002,275.40459113694794,404.5945755933182,9.177287300428333,-15.610385588286517,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
2,0,0,annual,net_load,pv_generating,kW,26880,9884585.064080387,6907524632.401008,-707128.6431829375,65091408.59120001,367.73009911013344,506.9283606314974,15.185698509244933,-26.306869166031902,uncalibrated,42,uncalibrated_seed_42,1.0,1.0,uncalibrated_seed_42
2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.37052093687511733,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261974,375.1748780379844,7.7914208813010575,0.7610180167451466,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363014,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,primary,42,primary_seed_42,0.0,0.0,primary_seed_42
2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.37052093687511733,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261974,375.1748780379844,7.7914208813010575,0.7610180167451466,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363014,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,primary,2026,primary_seed_2026,0.0,0.0,primary_seed_2026
2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.37052093687511733,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261974,375.1748780379844,7.7914208813010575,0.7610180167451466,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363014,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,primary,3407,primary_seed_3407,0.0,0.0,primary_seed_3407
