predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,experiment,source,seed,exploratory,name,case_id,alpha_load,alpha_pv,period_label
uncalibrated_seed_42,2,0,0,annual,pv,all,kW,48096,8204928.249598557,5543508857.12518,479656.4903021632,114413339.9657,170.59481556883227,339.4985262973294,7.1713038462633065,9.97289775245682,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0,2025-02-01—12-31，334日全部十分钟
uncalibrated_seed_42,2,0,0,annual,net_load,all,kW,48096,13245859.215322647,7873159878.755345,-750797.1052542283,144333055.96420002,275.40459113694794,404.5945755933182,9.177287300428333,-15.610385588286515,exp003 未校准,exp003,data/results/exp003/forecast_annual.csv,42,False,uncalibrated,uncalibrated_seed_42,1.0,1.0,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,load,all,kW,48096,9400726.962632872,3209204298.777941,4865529.367614788,222048476.9355,195.4575632616615,258.3117746935212,4.233637218490613,101.1628694198018,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,pv,all,kW,48096,10216542.024260243,8646471185.873417,-6521622.830910889,114413339.9657,212.41978593355464,423.9991342452028,8.929502475256,-135.59595040982387,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,net_load,all,kW,48096,17281430.16443876,13248292996.045303,11387152.198525678,144333055.96420002,359.3111727469802,524.8382547955927,11.973300259592094,236.7588198296257,exp004 无季节,exp004,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,load,all,kW,48096,9563633.669258084,3242702837.456779,5047042.427845965,222048476.9355,198.84467875203933,259.65643874419953,4.3070025974715875,104.9368435596716,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,pv,all,kW,48096,10179211.751146138,8629944264.828342,-6439035.887208229,114413339.9657,211.6436242337437,423.59372308001866,8.896874922275467,-133.87882333683112,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,net_load,all,kW,48096,17309723.116704896,13209535646.27544,11486078.315054191,144333055.96420002,359.8994327325536,524.0699958748378,11.992902804606556,238.81566689650265,exp004 历史季节,exp004,data/results/exp004/forecast_annual.csv,42,False,causal_season,causal_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,load,all,kW,48096,9703457.089910066,3226701787.772354,5602943.387533587,222048476.9355,201.7518523351228,259.0150118414097,4.36997236992024,116.49499724579148,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,pv,all,kW,48096,10129362.797872048,8633194586.00444,-6469334.861580165,114413339.9657,210.60717726779873,423.6734852425439,8.853305742939355,-134.50879203218906,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,net_load,all,kW,48096,17461192.083089765,13363439796.839016,12072278.249113752,144333055.96420002,363.0487375891917,527.1141215838684,12.097846862897985,251.00378927798053,exp004 全年探索,exp004,data/results/exp004/forecast_annual.csv,42,True,oracle_season,oracle_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,load,all,kW,48096,9400726.962632872,3209204298.777941,4865529.367614788,222048476.9355,195.4575632616615,258.3117746935212,4.233637218490613,101.1628694198018,exp005 周转惩罚·同一冻结预测,exp005,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,pv,all,kW,48096,10216542.024260243,8646471185.873417,-6521622.830910889,114413339.9657,212.41978593355464,423.9991342452028,8.929502475256,-135.59595040982387,exp005 周转惩罚·同一冻结预测,exp005,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
,2,0,0,annual,net_load,all,kW,48096,17281430.16443876,13248292996.045303,11387152.198525678,144333055.96420002,359.3111727469802,524.8382547955927,11.973300259592094,236.7588198296257,exp005 周转惩罚·同一冻结预测,exp005,data/results/exp004/forecast_annual.csv,42,False,no_season,no_season_seed_42,,,2025-02-01—12-31，334日全部十分钟
