n,mae,rmse,wape_pct,bias,absolute_error_sum,squared_error_sum,actual_abs_sum,variant,seed,month,target,lead,population,unit
2038,1009.3965712240007,1240.4067326802588,25.906194581482684,-965.9526344822502,2057150.2121545135,3135684861.731213,7940765.694800001,mlp,42,2,pv,12–18h,generating,千瓦
4032,550.6744885681671,916.1635551205903,27.86266948070274,-545.8890517246341,2220319.5379068498,3384282020.0361943,7968796.8859,mlp,42,2,pv,18–24h,all,千瓦
2040,1088.391930346495,1288.006900031031,27.862669480702742,-1078.9336551733945,2220319.5379068498,3384282020.0361943,7968796.885899999,mlp,42,2,pv,18–24h,generating,千瓦
16128,0.1211819703449338,0.1518648608982069,15.758048231796476,-0.04645173247537616,1954.4228177230923,371.95903141498854,12402.696,mlp,42,2,price,all,all,元/千瓦时
4032,0.13878638776027605,0.16697489086597883,18.03424962718663,-0.0512767551137589,559.586715449433,112.41463637257274,3102.911,mlp,42,2,price,0–6h,all,元/千瓦时
4032,0.10236311080888624,0.1350750753303896,13.304401406677304,-0.026982803100962488,412.72806278142934,73.56495273325802,3102.1919,mlp,42,2,price,6–12h,all,元/千瓦时
4032,0.11131145205995778,0.1410609539425769,14.47727599628416,-0.0497009152604607,448.80777470574975,80.22951307602926,3100.0843999999997,mlp,42,2,price,12–18h,all,元/千瓦时
4032,0.13226693075061519,0.16194956319830303,17.217070763561715,-0.057846456426322565,533.3002647864804,105.74992923312847,3097.5086999999994,mlp,42,2,price,18–24h,all,元/千瓦时
16128,404.08417617150883,642.1509380852441,20.51504955418871,-101.52616568517077,6517069.593294094,6650507038.432465,31767262.253399998,mlp,42,2,pv_corrected,all,all,千瓦
8150,634.75159688871,846.3944507105188,16.284769752512446,-365.79853727871676,5173225.5146429865,5838526064.47752,31767262.253399998,mlp,42,2,pv_corrected,all,generating,千瓦
4032,414.9461408185007,579.2052103798547,21.100955396020403,-151.58404539863392,1673062.8397801947,1352650020.5480847,7928848.7577,mlp,42,2,pv_corrected,0–6h,all,千瓦
2036,608.6040497466636,758.8171777816067,15.627966721913488,-513.3260636263653,1239117.845284207,1172335944.927557,7928848.7577,mlp,42,2,pv_corrected,0–6h,generating,千瓦
4032,352.29550720901875,565.2506591174184,17.915023252354388,-143.09052951628965,1420455.4850667636,1288257496.3749495,7928850.914999999,mlp,42,2,pv_corrected,6–12h,all,千瓦
2036,630.6370831688714,779.1044693028579,16.193734944653354,-350.4024551790871,1283977.101331822,1235859684.0425324,7928850.915,mlp,42,2,pv_corrected,6–12h,generating,千瓦
4032,361.2628928114622,642.4122504145951,18.34347013625747,-63.016807666174834,1456611.9838158158,1663980189.9144254,7940765.6948,mlp,42,2,pv_corrected,12–18h,all,千瓦
2038,651.402548852619,873.8822596218262,16.7182667967522,-187.99674080676888,1327558.3945616377,1556359875.103404,7940765.694800001,mlp,42,2,pv_corrected,12–18h,generating,千瓦
4032,487.83216384705366,762.7259181963359,24.683014422310414,-48.41328015958469,1966939.2846313203,2345619331.5950046,7968796.8859,mlp,42,2,pv_corrected,18–24h,all,千瓦
2040,648.3196928751569,958.4430185493009,16.59688648615804,-411.5536552791401,1322572.17346532,1873970560.4040267,7968796.885899999,mlp,42,2,pv_corrected,18–24h,generating,千瓦
16128,874.1436311212449,1054.2951304205376,19.367148942306034,642.8502461680094,14098188.482723437,17926888444.874977,72794341.2049,mlp,2026,2,load,all,all,千瓦
4032,923.0217626797147,1094.216480955433,20.434866229613892,621.8446099871924,3721623.7471246095,4827552739.40819,18212126.7901,mlp,2026,2,load,0–6h,all,千瓦
4032,839.6179039085752,1024.421638838877,18.597365189398936,628.1755555683438,3385339.388559375,4231340846.6972046,18203328.0203,mlp,2026,2,load,6–12h,all,千瓦
4032,861.8119707481748,1014.1615021976816,19.10162478084991,682.2761534771631,3474825.8660566406,4147006963.8407083,18191258.104599997,mlp,2026,2,load,12–18h,all,千瓦
4032,872.1228871485149,1082.072055945515,19.33401884475255,639.1046656393384,3516399.480982812,4720987894.928877,18187628.2899,mlp,2026,2,load,18–24h,all,千瓦
16128,400.26629389451756,603.71272727315,20.321218543911062,39.04891207790089,6455494.787930779,5878156952.450519,31767262.253399998,mlp,2026,2,pv,all,all,千瓦
8150,583.8720279263106,766.2675854589241,14.9794369739562,-130.93949771030205,4758557.027599432,4785403002.079154,31767262.253399998,mlp,2026,2,pv,all,generating,千瓦
