variant,seed,target,population,n,absolute_error_sum,squared_error_sum,actual_abs_sum,mae,rmse,wape_pct,model_label,target_label
tcn,2026,load,all,192168,37098529.14638828,13962135331.212326,887487989.598,193.0525849589332,269.5475485962157,4.180172529793059,因果卷积网络,小区负载
tcn,2026,price,all,192168,8662.079111074936,705.6619355978902,145615.9419,0.04507555426020428,0.06059793301292753,5.948578842434377,因果卷积网络,电价
tcn,2026,pv,all,192168,33973335.423040405,21970985439.704098,457271934.1543,176.78976428458643,338.1304114960838,7.429569340587735,因果卷积网络,光伏历史预测
tcn,2026,pv,generating,107413,32624165.5256145,21848659156.917686,457271934.1543,303.726416035438,451.007715598383,7.134521733976775,因果卷积网络,光伏历史预测
tcn,2026,pv_corrected,all,192168,31004426.70683959,17077591702.947208,457271934.1543,161.3402164087652,298.10741452159164,6.780303882892053,因果卷积网络,光伏预报修正
tcn,2026,pv_corrected,generating,107413,28962886.433443394,16874182280.09678,457271934.1543,269.6404199998454,396.3537256929405,6.333843008976421,因果卷积网络,光伏预报修正
tcn,3407,load,all,192168,35092685.38569062,11948067067.442663,887487989.598,182.61461526211764,249.34937888955196,3.954158906599552,因果卷积网络,小区负载
tcn,3407,price,all,192168,8429.874555416229,664.7589144249212,145615.9419,0.043867212831565236,0.05881546702070844,5.789115151420264,因果卷积网络,电价
tcn,3407,pv,all,192168,34971329.222611256,22355099669.62676,457271934.1543,181.9831044846762,341.0733368878491,7.647818860190679,因果卷积网络,光伏历史预测
tcn,3407,pv,generating,107413,33271581.72495099,22226949073.464462,457271934.1543,309.7537702601267,454.8953568891144,7.276104050970241,因果卷积网络,光伏历史预测
tcn,3407,pv_corrected,all,192168,33170376.20460888,20864065389.941715,457271934.1543,172.61134114217185,329.502665745496,7.253971592626982,因果卷积网络,光伏预报修正
tcn,3407,pv_corrected,generating,107413,31118518.40892494,20611583376.336544,457271934.1543,289.70905206003874,438.05360073010223,6.805254397796571,因果卷积网络,光伏预报修正
tcn,42,load,all,192168,35720210.04510274,12621779877.681145,887487989.598,185.8801155504701,256.282980351129,4.0248668673570105,因果卷积网络,小区负载
tcn,42,price,all,192168,8277.732525311232,639.7765270226015,145615.9419,0.04307549917421856,0.05769970807814182,5.684633438690295,因果卷积网络,电价
tcn,42,pv,all,192168,36512531.81648375,24562049284.511387,457271934.1543,190.0031837583976,357.5129388703569,7.9848617615274655,因果卷积网络,光伏历史预测
tcn,42,pv,generating,107413,34896199.45904029,24432529572.92225,457271934.1543,324.87873403629254,476.93126501470834,7.631388863517056,因果卷积网络,光伏历史预测
tcn,42,pv_corrected,all,192168,29975112.621706408,17196539446.278015,457271934.1543,155.98389233226348,299.1437923200282,6.555204984785209,因果卷积网络,光伏预报修正
tcn,42,pv_corrected,generating,107413,28573577.9855053,17077480868.440205,457271934.1543,266.0160128243816,398.734193769672,6.2487058249814975,因果卷积网络,光伏预报修正
tcn,mean,load,all,192168,35364071.25513555,12299339505.464848,887487989.598,184.02684762882245,252.9882551605964,3.98473800993681,因果卷积网络,小区负载
tcn,mean,price,all,192168,8274.465537098127,643.0861334460305,145615.9419,0.04305849848621064,0.05784875777492823,5.682389873754699,因果卷积网络,电价
tcn,mean,pv,all,192168,34428009.0351766,22208394194.76864,457271934.1543,179.15578574568397,339.9523468312411,7.529001118087285,因果卷积网络,光伏历史预测
tcn,mean,pv,generating,107413,32872925.784340687,22137837416.420235,457271934.1543,306.0423392358531,453.9825642701902,7.188922680141611,因果卷积网络,光伏历史预测
tcn,mean,pv_corrected,all,192168,30560210.57030858,17515753673.8809,457271934.1543,159.0286133503423,301.90748434770984,6.683159032453644,因果卷积网络,光伏预报修正
tcn,mean,pv_corrected,generating,107413,28728566.335909944,17392221420.861744,457271934.1543,267.4589326795634,402.3917839412625,6.282599956422406,因果卷积网络,光伏预报修正
weekly,baseline,load,all,192168,33965042.0968,11466742136.442854,887487989.598,176.74660763914906,244.2752621342239,3.8270987883661314,历史周同期,小区负载
weekly,baseline,price,all,192168,9059.6491,820.17416957,145615.9419,0.04714442102743433,0.06532997750875386,6.221605259554345,历史周同期,电价
weekly,baseline,pv,all,192168,41283819.8207,33923052465.69794,457271934.1543,214.83191697212854,420.152475698441,9.028286395282977,历史周同期,光伏历史预测
weekly,baseline,pv,generating,107413,41259270.5771,33921775627.185238,457271934.1543,384.11803577872325,561.9670671045745,9.0229177641105,历史周同期,光伏历史预测
yesterday,baseline,load,all,192168,125006289.0115,244941917701.61514,887487989.598,650.5052298587694,1128.9924086633378,14.085406278920273,昨日同期,小区负载
yesterday,baseline,price,all,192168,16209.8906,2948.577616,145615.9419,0.08435270492485741,0.12386988860370174,11.131947771990479,昨日同期,电价
yesterday,baseline,pv,all,192168,35636325.2482,27071162877.8003,457271934.1543,185.44359751987844,375.3296906174179,7.793245678658909,昨日同期,光伏历史预测
yesterday,baseline,pv,generating,107413,35635895.3958,27071160672.67709,457271934.1543,331.76519970394645,502.02461878975026,7.793151674988907,昨日同期,光伏历史预测
