predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,policy_label,experiment,name,seed,order,case_id,alpha_load,alpha_pv,target_label,month_label
exp001_selected,2,0,4,monthly,net_load,all,kW,4320,1147407.9012536025,692226030.4764717,-70992.6042826953,12041832.4582,265.60368084574134,400.2967737251186,9.52851574074396,-16.433473213586876,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,4月
exp001_selected,2,0,5,monthly,net_load,all,kW,4464,1377293.174289978,865954633.7268782,-336998.2097257046,12329827.1922,308.5334171796545,440.4387052417368,11.170417499129837,-75.49243049410946,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,5月
exp001_selected,2,0,6,monthly,net_load,all,kW,4320,1649003.638774521,1326086385.4537508,-761178.1799384902,12512603.2655,381.71380527187983,554.043717658866,13.17874149595382,-176.1986527635394,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,6月
exp001_selected,2,0,7,monthly,net_load,all,kW,4464,1633653.2826649426,1077581804.4139502,-340777.46345320874,14558102.5933,365.9617568693867,491.3184032684119,11.221608531710652,-76.33903751191951,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,7月
exp001_selected,2,0,8,monthly,net_load,all,kW,4464,1494784.132691423,1004082460.2307245,660362.0113156264,14763437.7052,334.8530763197632,474.2666618466248,10.124905611685062,147.93055809041812,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,8月
exp001_selected,2,0,9,monthly,net_load,all,kW,4320,1451756.4245747188,946570427.8194368,293955.3680571419,12992757.2159,336.05472791081456,468.09563655112504,11.17358233091679,68.04522408730136,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,9月
exp001_selected,2,0,10,monthly,net_load,all,kW,4464,1055495.1114760323,533397536.5406081,7769.359967607772,13205688.9884,236.4460375170324,345.6713691667358,7.992730348285419,1.7404480214175115,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,10月
exp001_selected,2,0,11,monthly,net_load,all,kW,4320,826415.0764829612,304028500.7450442,-219019.11956536767,12694137.6827,191.29978622290767,265.28657667710314,6.51021043839179,-50.69887026976104,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,11月
exp001_selected,2,0,12,monthly,net_load,all,kW,4464,1025625.4252864196,465608619.7439373,-548343.2454204671,14723218.5464,229.75479957133055,322.959759436125,6.96604089692873,-122.8367485260903,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,12月
exp001_selected,2,0,2,monthly,net_load,pv_generating,kW,2036,868581.383506241,641565696.049916,88808.07176653609,4779018.4858,426.6116814863659,561.3473547428331,18.174890640977335,43.618895759595326,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,2月
exp001_selected,2,0,3,monthly,net_load,pv_generating,kW,2426,889124.0732932803,641694089.3131715,73642.87750834644,5565472.3302,366.49796920580394,514.3024832086786,15.975716355081204,30.355679104841897,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,3月
exp001_selected,2,0,4,monthly,net_load,pv_generating,kW,2526,924431.4886223596,649472007.3161819,8677.697532062164,5896522.1807,365.96654339760863,507.0648961560735,15.677571631090116,3.4353513586944433,v1旧预测·v2重算,exp001,selected,ensemble,0.0,,,,净负载,4月
