predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,policy_label,experiment,name,seed,order,case_id,alpha_load,alpha_pv,target_label,month_label
uncalibrated_seed_42,2,0,0,annual,load,pv_generating,kW,26880,4258260.920229032,1205010738.1697094,-270521.0904403955,142806829.5625,158.41744494899672,211.72923400678357,2.98183282499482,-10.064028662217096,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,负载,0月
uncalibrated_seed_42,2,0,0,annual,net_load,all,kW,48096,13245859.215322647,7873159878.755345,-750797.1052542283,144333055.96420002,275.40459113694794,404.5945755933182,9.177287300428333,-15.610385588286515,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,净负载,0月
uncalibrated_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,9884585.064080387,6907524632.401008,-707128.6431829375,65091408.59120001,367.73009911013344,506.9283606314974,15.185698509244933,-26.306869166031905,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,净负载,0月
uncalibrated_seed_42,2,0,0,annual,pv,all,kW,48096,8204928.249598557,5543508857.12518,479656.4903021632,114413339.9657,170.59481556883227,339.4985262973294,7.1713038462633065,9.97289775245682,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,光伏,0月
uncalibrated_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8161879.312038937,5542299623.21223,436607.55274254194,114413339.9657,303.6413434538295,454.07790293624595,7.133678043561868,16.242840503814804,Q2独立·未校准,exp003,uncalibrated,42,5.0,uncalibrated_seed_42,1.0,1.0,光伏,0月
primary_seed_2026,2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,负载,0月
primary_seed_2026,2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.3705209368751173,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,负载,0月
primary_seed_2026,2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,净负载,0月
primary_seed_2026,2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363017,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,净负载,0月
primary_seed_2026,2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261977,375.1748780379844,7.7914208813010575,0.7610180167451466,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,光伏,0月
primary_seed_2026,2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,Q2独立·费用校准 · 2026,exp003,primary,2026,6.0,primary_seed_2026,0.0,0.0,光伏,0月
primary_seed_3407,2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,负载,0月
primary_seed_3407,2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.3705209368751173,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,负载,0月
primary_seed_3407,2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,净负载,0月
primary_seed_3407,2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363017,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,净负载,0月
primary_seed_3407,2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261977,375.1748780379844,7.7914208813010575,0.7610180167451466,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,光伏,0月
primary_seed_3407,2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,Q2独立·费用校准 · 3407,exp003,primary,3407,6.0,primary_seed_3407,0.0,0.0,光伏,0月
primary_seed_42,2,0,0,annual,load,all,kW,48096,8503166.984880272,2870174500.6181593,93761.67155566398,222048476.9355,176.79572074351864,244.28661485193987,3.829419189103579,1.9494692189717229,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,负载,0月
primary_seed_42,2,0,0,annual,load,pv_generating,kW,26880,4692123.875587891,1543190217.3653305,9959.602783203154,142806829.5625,174.55817989538284,239.60457080033467,3.2856438938967996,0.3705209368751173,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,负载,0月
primary_seed_42,2,0,0,annual,net_load,all,kW,48096,14612966.872370996,9662178233.786337,57159.74902228953,144333055.96420002,303.82915153798643,448.21154903145714,10.124476873818535,1.1884512022265787,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,净负载,0月
primary_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,10801924.167173602,8335200602.494985,-26534.856650363017,65091408.59120001,401.85729788592266,556.8566315745317,16.595007545487288,-0.987159845623624,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,净负载,0月
primary_seed_42,2,0,0,annual,pv,all,kW,48096,8914424.861081518,6769809671.473829,36601.92253337457,114413339.9657,185.34649162261977,375.1748780379844,7.7914208813010575,0.7610180167451466,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,光伏,0月
primary_seed_42,2,0,0,annual,pv,pv_generating,kW,26880,8914317.397981707,6769809120.193029,36494.459433566146,114413339.9657,331.63383177015277,501.849596855795,7.791326955977452,1.3576807824987405,Q2独立·费用校准,exp003,primary,42,6.0,primary_seed_42,0.0,0.0,光伏,0月
