date,repeat,grid_kwh,off_grid_check,risk_seconds,planning_seconds,grid_states,max_actions_per_state,objective_surrogate_yuan,terminal_value_yuan_per_soc_kwh,exact_for_discrete_surrogate_only,projected_seconds,greedy_seconds,full_day_seconds,greedy_simultaneous_slots,total_cost,planned_cost,emergency_cost,simultaneous_slots,throughput_kwh,direction_reversals,equivalent_full_cycles,initial_soc,final_soc,final_mode,max_balance_error,max_state_error
2025-06-21,0,100.0,True,0.006614624988287687,0.015811834018677473,98,18,24619.257074933685,0.39138456507350644,True,0.00042295793537050486,0.00034029106609523296,0.022849416942335665,0,22246.911258478147,22110.385984461904,136.5252740162439,0,23632.076600912544,6,0.9899863108656785,6042.75,2996.1196359723453,-1,0.0,7.958078640513122e-13
2025-06-21,0,50.0,False,0.006614624988287687,0.039965624921023846,193,33,24446.672234228507,0.39138456507350644,True,0.00040424999315291643,0.0003280419623479247,0.04698449990246445,0,22237.158858727456,22117.90576513647,119.25309359098262,0,23156.67395271727,6,0.9703290724497798,6000.0,2896.9393097853163,-1,0.0,9.094947017729282e-13
2025-06-21,0,50.0,True,0.006614624988287687,0.04253724997397512,194,34,24428.997837478193,0.39138456507350644,True,0.0003857499687001109,0.00032283307518810034,0.04953762493096292,0,22219.403349555156,22100.150255964174,119.25309359098262,0,23197.23016370965,6,0.9721103224498099,6042.75,2896.9393097853163,-1,0.0,7.958078640513122e-13
2025-06-21,0,25.0,False,0.006614624988287687,0.1428767079487443,385,67,24369.4199309082,0.39138456507350644,True,0.0003530000103637576,0.0002917499514296651,0.14984433294739574,0,22243.135350692988,22163.845342151377,79.2900085416064,0,22866.11323940116,6,0.9582391559676513,6000.0,2896.939309783206,-1,0.0,8.029132914089132e-13
2025-06-21,0,25.0,True,0.006614624988287687,0.13872154103592038,386,68,24351.719445367627,0.39138456507350644,True,0.00039662502240389585,0.00033379101660102606,0.14573279104661196,0,22225.35375273043,22146.063744188825,79.2900085416064,0,22871.120179029203,6,0.9585412393009615,6042.75,2896.939309783206,-1,0.0,8.029132914089132e-13
2025-08-01,0,100.0,False,0.00675004196818918,0.01246962498407811,97,16,28052.44924300803,0.39138456507350644,True,0.00034570798743516207,0.0002885420108214021,0.01956537493970245,0,26453.875202231822,26413.24756205212,40.62764017969549,0,19966.830342421254,6,0.8383160171192867,6000.0,2571.865410870559,-1,0.0,9.094947017729282e-13
2025-08-01,0,50.0,False,0.00675004196818918,0.03478212491609156,193,33,27998.69619535608,0.39138456507350644,True,0.00034154101740568876,0.00028791697695851326,0.04187370790168643,0,26403.605621520437,26362.977981340744,40.62764017969549,0,20208.267361232087,6,0.8486141115826195,6000.0,2456.879681129684,-1,0.0,6.821210263296962e-13
2025-08-01,0,25.0,False,0.00675004196818918,0.12803258292842656,385,67,27976.174203656505,0.39138456507350644,True,0.00035629107151180506,0.0002900830004364252,0.13513891596812755,0,26487.56483202938,26446.937191849687,40.62764017969549,0,19844.187651633118,6,0.8334651493170313,6000.0,2456.8796811254674,-1,0.0,6.821210263296962e-13
2025-09-23,0,100.0,False,0.005678500048816204,0.012180250021629035,97,16,43264.20939793945,0.39138456507350644,True,0.0003276659408584237,0.00034666701685637236,0.018186416011303663,0,42591.06334279639,41302.11901326998,1288.9443295264114,0,32478.053065778284,7,1.3607836223789251,6000.0,1710.3981292530711,-1,0.0,9.094947017729282e-13
2025-09-23,0,50.0,False,0.005678500048816204,0.03527291596401483,193,33,43055.92354737929,0.39138456507350644,True,0.00035195890814065933,0.0002914590295404196,0.04130337492097169,0,42435.85136560154,41075.756024392715,1360.095341208836,0,32953.90467866191,9,1.3806205365358655,6000.0,1693.4148235499188,-1,0.0,8.526512829121202e-13
