window,beta,success,nodes,overlap_nodes,max_overlap_kwh,expected_overlap_kwh,current_overlap_kwh,expected_throughput_kwh,wall_seconds
2025-02-23-120,0.0,True,25,0,0.0,0.0,0.0,3157.863573529653,0.0038392500719055533
2025-02-23-120,0.001,True,25,0,0.0,0.0,0.0,3157.863573529653,0.003506917040795088
2025-02-23-120,0.01,True,25,0,0.0,0.0,0.0,3157.863573529653,0.003346499986946583
2025-02-23-120,0.1,True,25,0,0.0,0.0,0.0,3157.863573529653,0.0035100419772788882
2025-02-23-120,1.0,True,25,0,0.0,0.0,0.0,3146.113885779573,0.0031233340268954635
2025-02-25-083,0.0,True,98,0,0.0,0.0,0.0,10122.97340745843,0.010718834004364908
2025-02-25-083,0.001,True,98,0,0.0,0.0,0.0,10122.97340745843,0.009470875025726855
2025-02-25-083,0.01,True,98,0,0.0,0.0,0.0,10122.97340745843,0.009941915981471539
2025-02-25-083,0.1,True,98,0,0.0,0.0,0.0,10122.97340745843,0.008957625017501414
2025-02-25-083,1.0,True,98,0,0.0,0.0,0.0,10078.75195131089,0.008164333994500339
2025-02-12-001,0.0,True,396,0,0.0,-2.2220609191043134e-13,0.0,40321.69413918987,0.05659804097376764
2025-02-12-001,0.001,True,396,0,0.0,-2.2220609191043134e-13,0.0,40321.69413918987,0.050373625010252
2025-02-12-001,0.01,True,396,0,0.0,-2.2220609191043134e-13,0.0,40321.69413918987,0.04341933398973197
2025-02-12-001,0.1,True,396,0,0.0,-2.2220609191043134e-13,0.0,40321.69413918987,0.03799791703931987
2025-02-12-001,1.0,True,396,0,0.0,-2.2220609191043134e-13,0.0,40256.297042959864,0.03805029089562595
2025-03-26-037,0.0,True,252,0,0.0,0.0,0.0,27867.311151532238,0.031180541962385178
2025-03-26-037,0.001,True,252,0,0.0,0.0,0.0,27867.311151532238,0.028377125039696693
2025-03-26-037,0.01,True,252,0,0.0,0.0,0.0,27867.311151532238,0.028678542003035545
2025-03-26-037,0.1,True,252,0,0.0,0.0,0.0,27866.6434386387,0.02486445801332593
2025-03-26-037,1.0,True,252,0,0.0,0.0,0.0,27527.30908409124,0.023480249918065965
2025-02-24-029,0.0,True,368,0,0.0,-1.7763568394002505e-14,0.0,30379.75807331063,0.06596924993209541
2025-02-24-029,0.001,True,368,0,0.0,-1.7763568394002505e-14,0.0,30379.75807331063,0.05557108297944069
2025-02-24-029,0.01,True,368,0,0.0,-6.513308411134251e-14,0.0,30379.758073310637,0.05700466700363904
2025-02-24-029,0.1,True,368,0,0.0,-1.7763568394002505e-14,0.0,30368.296000428618,0.047140416922047734
2025-02-24-029,1.0,True,368,0,0.0,-1.7763568394002505e-14,0.0,30152.370121785105,0.04400858306325972
2025-02-24-024,0.0,True,445,0,0.0,-1.7763568394002505e-14,0.0,31266.00535580289,0.07756004098337144
2025-02-24-024,0.001,True,445,0,0.0,-1.7763568394002505e-14,0.0,31266.005355802892,0.06743041600566357
2025-02-24-024,0.01,True,445,0,0.0,-1.7763568394002505e-14,0.0,31266.005355802896,0.0677015830297023
2025-02-24-024,0.1,True,445,0,0.0,-1.7763568394002505e-14,0.0,31240.297087584928,0.055211624945513904
2025-02-24-024,1.0,True,445,0,0.0,-1.7763568394002505e-14,0.0,31025.80449954778,0.0534525829134509
2025-03-03-039,0.0,True,250,0,0.0,0.0,0.0,30253.463426650404,0.028435916057787836
2025-03-03-039,0.001,True,250,0,0.0,0.0,0.0,30253.46341879334,0.02788037504069507
2025-03-03-039,0.01,True,250,0,0.0,0.0,0.0,30253.463418793348,0.028026291984133422
2025-03-03-039,0.1,True,250,0,0.0,0.0,0.0,30215.89250246399,0.025172249996103346
2025-03-03-039,1.0,True,250,0,0.0,0.0,0.0,30043.02080629013,0.02394525008276105
2025-03-12-026,0.0,True,479,0,0.0,0.0,0.0,29259.241376668237,0.0817404999397695
2025-03-12-026,0.001,True,479,0,0.0,0.0,0.0,29259.148468192558,0.0761764170601964
2025-03-12-026,0.01,True,479,0,0.0,0.0,0.0,29259.241376668237,0.07681249990127981
2025-03-12-026,0.1,True,479,0,0.0,0.0,0.0,29244.670572446164,0.06199354201089591
2025-03-12-026,1.0,True,479,0,0.0,0.0,0.0,29196.53904023496,0.05867445794865489
2025-03-01-002,0.0,True,431,0,0.0,0.0,0.0,29873.775198918644,0.0717415000544861
