model,model_id,role,seed,issue_hour,evaluation_start,evaluation_end,forecast_source,target,population,lead_slot,lead_start_exclusive_minutes,lead_end_inclusive_minutes,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,67,660,670,334,471.9615377689762,603.7433360410531,24.183375204222013,-11.802145157273914,157635.15361483805,121745009.2818693,-3941.9164825294874,651832.7251,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,68,670,680,334,482.21863797966694,612.3312651512292,24.01564453363084,-1.7354889806162528,161061.02508520876,125233159.14608946,-579.6533195258285,670650.4373,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,69,680,690,334,487.6814228236638,630.1913090615401,23.62671827838965,6.403273563303574,162885.5952231037,132645122.72957699,2138.6933701433936,689412.6950000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,70,690,700,334,506.6386057412007,634.1770583440043,24.36281371509844,11.958176120948783,169217.29431756103,134328300.80417144,3994.0308243968934,694572.0486000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,71,700,710,334,515.788985419785,640.5798143177633,23.723365955872662,34.21497111413459,172273.52113020822,137054394.50280094,11427.800352120954,726176.5529,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,72,710,720,334,518.1522657316331,648.7238851422815,22.29671402278607,53.994370396640676,173062.85675436544,140561454.8374681,18034.119712477986,776180.995,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,73,720,730,334,518.1298698360843,648.3084134193621,21.946815587473065,70.33333403271735,173055.37652525213,140381468.8360504,23491.333566927595,788521.5777,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,74,730,740,334,518.9821200903732,648.9066437861615,22.177963500574847,61.68048772398266,173340.02811018465,140640664.00483996,20601.28289981021,781586.7679,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,75,740,750,334,505.03775938651694,648.1616531981119,21.770029039894947,52.71859479164716,168682.61163509666,140317918.5779542,17608.010660410153,774838.7075,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,76,750,760,334,515.7832065136129,657.9676382469245,22.801450679081626,38.64122453579111,172271.59097554671,144595751.9353987,12906.16899495423,755529.0819,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,77,760,770,334,501.3248465920662,649.4622559092322,23.676457232808087,22.048688486568032,167442.49876175012,140881608.09813684,7364.261954513723,707210.9527,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,78,770,780,334,501.063781196007,636.2386888082957,25.75173523661371,-7.542841324819599,167355.30291946634,135203089.4915908,-2519.309002489746,649879.7124999999,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,79,780,790,334,483.59882369425526,617.0851578595983,26.263809087856444,-24.482428520359257,161522.00711388126,127185226.7449022,-8177.131125799991,614998.4055000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,80,790,800,334,471.109908353854,599.3433181447722,26.88561218195235,-13.70729870051039,157350.70939018723,119976945.94359837,-4578.237765970471,585259.909,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,81,800,810,334,449.48935140703304,577.964160397657,27.077948440900407,-15.00437696940679,150129.44336994903,111570218.61519232,-5011.461907781868,554434.335,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,82,810,820,334,438.68565279901696,565.4373908628345,27.732082144426364,-8.27013221904799,146521.00803487166,106786293.95724714,-2762.224161162029,528344.7786999999,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,83,820,830,334,423.17006425532725,540.3960298801363,28.153730969977982,-14.726897851218121,141338.8014612793,97537308.28281122,-4918.783882306852,502025.1192000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,84,830,840,334,389.5622394346653,505.68455228621076,27.704307377225135,-14.270932795426797,130113.7879711782,85409433.38458242,-4766.49155367255,469651.83499999996,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,85,840,850,334,382.8634729866217,496.9838898688678,28.96810750882281,-28.515714019576947,127876.39997753165,82495657.58758976,-9524.2484825387,441438.5715,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,86,850,860,334,381.52387311448706,500.86081139884516,29.889166895958045,-30.818245865140216,127428.97362023867,83787758.49996658,-10293.294118956832,426338.3254,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,87,860,870,334,389.52138033508743,507.70330585304487,31.06638387896627,-27.095383695146634,130100.14103191921,86092724.0225529,-9049.858154178975,418781.08999999997,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,88,870,880,334,389.6354475891666,499.6926781196506,31.285602036253778,-22.83531859932837,130138.23949478164,83397386.03717385,-7626.996412175676,415968.468,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,89,880,890,334,374.0965152903664,482.54813635829026,29.102192543574958,-24.835918509699994,124948.23610698238,77772803.10355493,-8295.196782239798,429343.0329,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,90,890,900,334,362.841173713337,469.85258642100376,26.419797950074866,-28.47384943039739,121188.95202025455,73734325.29081327,-9510.265709752728,458705.06750000006,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,91,900,910,334,339.5624431027145,457.2724913555236,22.973680705957605,-25.622731105904187,113413.85599630664,69838775.87106279,-8557.992189371998,493668.6352,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,92,910,920,334,338.6194578574862,447.0409009249004,21.064838603286855,-25.42880819260362,113098.89892440039,66748419.41131538,-8493.221936329608,536908.4523,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,93,920,930,334,324.9312468710858,426.64190230444416,18.35297799995572,-30.169857274194708,108527.03645494266,60795786.47585292,-10076.732329581033,591332.025,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,94,930,940,334,292.3892596130552,390.9637789920271,15.062730945846909,-26.321340765240034,97658.01271076043,51052793.94556468,-8791.327815590172,648342.0109,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,95,940,950,334,279.51373121576154,364.7663717873035,13.099355153548414,-20.435411021944493,93357.58622606436,44440204.9996157,-6825.42728132946,712688.412,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,96,950,960,334,275.84343925197936,361.7051566512001,11.70831906869809,-32.07289570602895,92131.70871016111,43697427.19625512,-10712.34716581367,786890.9975,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,97,960,970,334,259.01904586786316,343.10847814384294,9.928320461713932,-31.442432766830024,86512.3613198663,39319624.876577444,-10501.772544121228,871369.5499,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,98,970,980,334,240.72567521102178,318.0228498356552,8.357658040467731,-23.825155822003833,80402.37552048128,33780270.02787563,-7957.60204454928,962020.4025000001,
final_blend,hgb_extra_trees_half_ridge28_memory,Q2 accepted final midnight forecast,42,0,2025-02-01,2025-12-31,data/results/exp008/forecast_hgb_extra_trees_half/hgb_extra_trees_half_ridge28_memory.npz,net_load,pv_generating,99,980,990,334,235.48334472808304,315.87116473386783,7.432827042553729,-20.18965232012767,78651.43713917973,33324713.96525031,-6743.3438749226425,1058163.155,
