model,stage,model_id,target,population,n,mae_kw,rmse_kw,wape_pct,bias_kw,absolute_error_sum_kw,squared_error_sum_kw2,signed_error_sum_kw,actual_absolute_sum_kw,missing_reason
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,pv,all,48096,153.25935231883813,307.0503899088877,6.44257200369873,6.179810385627388,7371161.809126838,4534488087.700146,297224.16030713485,114413339.9657,
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,pv,pv_generating,26880,272.3276284410447,410.62933761117824,6.398001015169905,9.160305196264035,7320166.652495281,4532410254.140026,246229.0036755773,114413339.9657,
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,net_load,all,48096,242.02055095275423,357.1618393483832,8.064833340403238,-9.760434657475153,11640220.418623667,6135346014.993298,-469437.865285925,144333055.96420002,
final_blend,memory_half,hgb_extra_trees_half_ridge28_memory,net_load,pv_generating,26880,324.25239467231944,448.4726784710108,13.390253118551023,-13.779532027034605,8715904.368791947,5406313740.843795,-370393.82088669017,65091408.59120001,
single_hgb,raw,direct_hgb_raw,load,all,48096,158.47382159300312,218.7909625929173,3.4325643789716613,13.033998280141159,7621956.923337079,2302330765.582081,626883.1812816692,222048476.9355,
single_hgb,raw,direct_hgb_raw,load,pv_generating,26880,154.87783204847568,211.68698881767747,2.915208003858822,4.974871298525266,4163116.125463026,1204529927.5886152,133724.54050435915,142806829.5625,
single_hgb,raw,direct_hgb_raw,pv,all,48096,181.89541260829287,368.79051937601713,7.646347678890548,-38.49998362282397,8748441.764808454,6541366083.647795,-1851695.2123233415,114413339.9657,
single_hgb,raw,direct_hgb_raw,pv,pv_generating,26880,320.21419683515677,493.1461245752037,7.52303674860765,-74.13613713552013,8607357.610929014,6537030532.933619,-1992779.366202781,114413339.9657,
single_hgb,raw,direct_hgb_raw,net_load,all,48096,286.8808471105204,433.74011596820435,9.559709749407622,51.53398190296513,13797821.222627588,9048323960.472557,2478578.393605011,144333055.96420002,
single_hgb,raw,direct_hgb_raw,net_load,pv_generating,26880,385.05037885044544,544.0259002151828,15.90095284080126,79.11100843404537,10350154.183499973,7955517161.220787,2126503.9067071397,65091408.59120001,
single_hgb,ridge28,direct_hgb_ridge28,load,all,48096,152.66269103482603,205.27446398355366,3.3066945062378474,-6.558306277789421,7342464.788010992,2026650277.1934116,-315428.29873656,222048476.9355,
single_hgb,ridge28,direct_hgb_ridge28,load,pv_generating,26880,149.63011522121977,200.45499485664445,2.816432175875817,-6.665182228545869,4022057.4971463876,1080097669.4048312,-179160.09830331296,142806829.5625,
single_hgb,ridge28,direct_hgb_ridge28,pv,all,48096,153.66067269402419,307.5828489793913,6.459442330857028,7.559976711400568,7390463.713891787,4550228323.404078,363604.6399115217,114413339.9657,
single_hgb,ridge28,direct_hgb_ridge28,pv,pv_generating,26880,272.6908609491009,411.32466867941724,6.406534713967159,11.274972780192202,7329930.342311832,4547772984.766566,303071.2683315664,114413339.9657,
single_hgb,ridge28,direct_hgb_ridge28,net_load,all,48096,254.6508228774463,368.61342651450985,8.48571097957736,-14.118282989189982,12247685.977113657,6535085276.312712,-679032.9386480814,144333055.96420002,
single_hgb,ridge28,direct_hgb_ridge28,net_load,pv_generating,26880,332.0773487772401,455.9324219503314,13.713390642984166,-17.940155008738067,8926239.135132214,5587663156.602107,-482231.3666348792,65091408.59120001,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,load,all,48096,144.7735784301409,192.85525876759698,3.135815261727131,-3.22756038304155,6963030.028176057,1788841782.5273004,-155232.7441827664,222048476.9355,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,load,pv_generating,26880,143.13842355455887,190.1016581877014,2.69424147075728,-3.987823019939333,3847560.8251465424,971406655.180783,-107192.68277596927,142806829.5625,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,pv,all,48096,153.66067269402419,307.5828489793913,6.459442330857028,7.559976711400568,7390463.713891787,4550228323.404078,363604.6399115217,114413339.9657,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,pv,pv_generating,26880,272.6908609491009,411.32466867941724,6.406534713967159,11.274972780192202,7329930.342311832,4547772984.766566,303071.2683315664,114413339.9657,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,net_load,all,48096,247.98163997237435,362.89918485267737,8.26347427928751,-10.787537094442119,11926924.956111318,6334042080.1666155,-518837.3840942881,144333055.96420002,
single_hgb,memory_half,direct_hgb_ridge28_memory_half,net_load,pv_generating,26880,327.75067897831053,452.98852237365014,13.534717471343892,-15.262795800131531,8809938.250936987,5515738405.692828,-410263.95110753557,65091408.59120001,
