previous_policy_id,previous_experiment,previous_label,current_policy_id,current_experiment,current_label,metric,population,unit,absolute_change_unit,previous,current,absolute_change,relative_change_pct,comparable,comparability_reason,previous_source,current_source,forecast_seed,rl_seed,period
exp006/seed_2026,exp006,exp006 树DP·种子2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21695177.6812199,21363488.8941576,-331688.787062343,-1.52885950940823,True,同物理口径；新规划及执行,data/results/exp006/seed_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_2026,exp006,exp006 树DP·种子2026,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,197686.737021083,488218.146266992,290531.409245909,146.965554505017,True,同物理口径；新规划及执行,data/results/exp006/seed_2026/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_3407,exp006,exp006 树DP·种子3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14075605.24983,17925755.5844111,3850150.33458114,27.3533554418745,True,同物理口径；新规划及执行,data/results/exp006/seed_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_3407,exp006,exp006 树DP·种子3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13197952.1186864,15770026.2459973,2572074.12731094,19.4884335401494,True,同物理口径；新规划及执行,data/results/exp006/seed_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_3407,exp006,exp006 树DP·种子3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,877653.131143669,2155729.33841381,1278076.20727014,145.624297563285,True,同物理口径；新规划及执行,data/results/exp006/seed_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_3407,exp006,exp006 树DP·种子3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_kwh,,kWh,kWh,21681500.5861463,21363488.8941576,-318011.691988744,-1.46674207684657,True,同物理口径；新规划及执行,data/results/exp006/seed_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/seed_3407,exp006,exp006 树DP·种子3407,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_kwh,,kWh,kWh,202731.904737208,488218.146266992,285486.241529784,140.819592209646,True,同物理口径；新规划及执行,data/results/exp006/seed_3407/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_42,exp006,exp006 历史季节·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,total_cost,,元,元,14094289.9315069,17925755.5844111,3831465.65290424,27.1845241691761,True,同物理口径；新规划及执行,data/results/exp006/causal_42/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_42,exp006,exp006 历史季节·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,planned_cost,,元,元,13224871.8941921,15770026.2459973,2545154.35180524,19.2452098755148,True,同物理口径；新规划及执行,data/results/exp006/causal_42/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
exp006/causal_42,exp006,exp006 历史季节·树DP,exp007/regularized_42,exp007,exp007 正式·轻惩罚·42,emergency_cost,,元,元,869418.037314804,2155729.33841381,1286311.30109901,147.950841354957,True,同物理口径；新规划及执行,data/results/exp006/causal_42/dispatch_2.npz,data/results/exp007/regularized_42/dispatch_2.npz,42,42,2025-02-01/2025-12-31
