date,total_cost_current,total_cost_baseline,difference_yuan,relative_change_pct
2025-07-19,38501.7405629477,25128.3515651346,13373.3889978131,53.2203195388616
2025-10-16,56801.8586814638,43449.3993296196,13352.4593518442,30.7310562582203
2025-11-04,59337.0307967159,46020.8382721609,13316.192524555,28.9351368304177
2025-04-18,26871.3636637035,13618.3590657265,13253.004597977,97.3171916969868
2025-08-01,37054.8779336774,23803.928362588,13250.9495710895,55.667070448404
2025-11-01,30115.3904634449,16897.3601656234,13218.0302978215,78.2254160902168
2025-11-07,31356.4033818269,18175.223894968,13181.1794868588,72.5227901622062
2025-05-22,49283.5878705693,36112.728949105,13170.8589214642,36.4715137978811
2025-11-25,65847.0611003671,52679.9950594399,13167.0660409272,24.9944329456952
2025-02-24,61619.4509478796,48473.8799966996,13145.57095118,27.1188750561644
2025-02-10,67661.0241223334,54526.0578309735,13134.9662913599,24.0893378576482
2025-11-28,32453.5743237449,19405.0074697394,13048.5668540056,67.2432972486808
2025-02-12,64497.9751274134,51497.0028534553,13000.972273958,25.2460756035741
2025-12-07,81295.5281205217,68343.4443898689,12952.0837306529,18.9514646887959
2025-06-11,69247.4219093353,56524.526435969,12722.8954733662,22.5086281576878
2025-06-18,64182.0110996578,51462.5500284513,12719.4610712066,24.7159557079363
2025-06-26,60687.5713687213,48006.1726686357,12681.3987000857,26.4161835762652
2025-11-22,31843.0118060536,19224.4302060893,12618.5815999644,65.6382606126214
2025-12-12,36821.4349607545,24269.321020396,12552.1139403584,51.7200869765148
2025-09-13,30410.7596634635,17867.5613532298,12543.1983102338,70.2009527896006
2025-06-23,59684.3304154076,47159.5416640646,12524.788751343,26.5583343463384
2025-04-25,24901.0671177889,12462.8876324676,12438.1794853213,99.8017462094261
2025-11-14,30388.645964779,17955.4601300361,12433.1858347429,69.2445960432086
2025-02-17,63523.4614877891,51124.4333926159,12399.0280951732,24.2526464791375
2025-09-20,30350.4340255748,17969.6837695358,12380.750256039,68.8979862685634
2025-05-05,58702.0021366062,46336.8382710331,12365.1638655731,26.6853853800875
2025-06-20,31483.8346254433,19321.7831389124,12162.0514865309,62.9447675667035
2025-12-19,36659.8359622767,24647.1230278011,12012.7129344756,48.7388037984215
2025-07-26,36947.7355388079,25020.9957168393,11926.7398219686,47.6669272356011
2025-09-29,57536.2751220626,45635.3170602604,11900.9580618022,26.0783946040898
2025-09-10,62901.9523203989,51053.5050730137,11848.4472473852,23.2079016522769
2025-07-18,37245.472191937,25529.5337390645,11715.9384528725,45.8917055541252
2025-10-03,28263.4483328511,16638.2019511137,11625.2463817374,69.8708094534171
2025-11-12,59217.9865072437,47608.0942222907,11609.892284953,24.3863831867421
2025-09-09,54165.4683511053,42568.5151971042,11596.9531540011,27.2430295026827
2025-11-08,28786.0195073494,17209.2824681825,11576.737039167,67.2703063626895
2025-10-14,52170.2850100939,40600.0994955029,11570.185514591,28.4979240404881
2025-08-21,62007.0095494781,50438.7081258374,11568.3014236407,22.9353642341105
2025-07-11,37026.561954694,25642.2523533566,11384.3096013375,44.3966834288145
2025-08-19,59174.7002986445,47833.6984565918,11341.0018420527,23.7092305382669
2025-05-28,45944.2008211001,34643.9541642195,11300.2466568806,32.618235791778
2025-05-25,47236.9738860849,35953.0244851569,11283.949400928,31.3852577426039
2025-12-26,35988.1399270615,24758.3790582232,11229.7608688384,45.3574155336658
2025-06-02,81265.2380575909,70119.4443405597,11145.7937170313,15.895439306247
2025-10-25,28711.6719483661,17641.3779736758,11070.2939746903,62.7518666127395
2025-05-30,24618.1592575083,13551.1906796222,11066.9685778862,81.6678684517983
2025-02-13,62286.5567365938,51334.1169394008,10952.439797193,21.3355959938343
2025-08-14,58991.2625775277,48146.4609160714,10844.8016614562,22.5246081541919
2025-06-09,60378.0801673813,49536.2798212766,10841.8003461048,21.8865857210538
2025-10-31,29409.2622091939,18577.4367343901,10831.8254748037,58.3063510303986
2025-05-03,30589.9494717563,19773.8385792387,10816.1108925176,54.6990957227388
2025-11-26,62089.656849722,51317.3765102476,10772.2803394744,20.9914868452467
2025-03-21,26071.9674146395,15441.8790719026,10630.088342737,68.8393445722486
2025-12-27,34981.1999925759,24380.3229353315,10600.8770572444,43.4812823659602
2025-11-15,30209.7509273709,19629.4853714064,10580.2655559645,53.8998621501123
2025-08-15,33772.826953692,23282.2612242738,10490.5657294182,45.0581909908343
2025-04-12,24114.3148152077,13653.1317399006,10461.1830753071,76.6211245492846
2025-10-17,28104.040618577,17650.5016922822,10453.5389262948,59.2251659955117
2025-09-11,53327.8406310846,42884.3675860925,10443.4730449921,24.3526339149721
2025-03-28,25542.4494885035,15185.8152081647,10356.6342803388,68.1993962021252
2025-12-20,35619.9993708307,25381.9831321765,10238.0162386542,40.3357617304363
2025-12-13,35036.6856700983,24871.7907429332,10164.8949271651,40.8691719555947
2025-12-10,68663.5929428735,58702.6483371638,9960.94460570974,16.9684756784706
2025-09-12,27549.4609955309,17599.0129986285,9950.44799690237,56.5398070771231
2025-09-21,53169.5427605761,43285.4775294307,9884.06523114538,22.8345990278725
2025-10-02,47787.4897643758,37984.467621367,9803.02214300875,25.8079756197356
2025-10-18,26869.9017881016,17117.3993731239,9752.50241497767,56.9742062003303
2025-12-25,68905.5543381941,59161.2218258664,9744.33251232773,16.4708101212124
2025-10-11,26473.673854292,16844.5768285069,9629.09702578512,57.1643747647571
2025-11-27,59963.8789181958,50393.8930139616,9569.98590423424,18.9903683400346
2025-10-08,49319.8482073577,39775.4672149093,9544.38099244841,23.9956477214448
2025-06-14,29694.6441451921,20157.5049572818,9537.13918791023,47.3130936002323
2025-12-17,68988.8691635052,59484.3765702919,9504.49259321325,15.9781326479599
2025-08-06,58847.2165465154,49372.2523959429,9474.96415057251,19.190868738553
2025-10-20,54843.1262336256,45373.403187244,9469.72304638156,20.8706475185529
2025-10-04,27229.3467334997,17825.2867337086,9404.05999979111,52.7568512096218
2025-02-06,66470.6399462452,57069.2302986982,9401.40964754703,16.4736927383468
2025-12-31,67946.5879516977,58577.4314165907,9369.15653510699,15.9944816775517
2025-11-21,30286.1495938498,20949.8352062448,9336.31438760497,44.5650970315125
