run_id,name,policy_id,label,month,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh
,,exp006/greedy_execution,exp006 旧执行·重新规划,4,939810.285552827,936243.048815251,3567.23673757654,1610320.82239511,734.049141368199
,,exp006/greedy_execution,exp006 旧执行·重新规划,5,992438.835827738,935322.496504087,57116.339323651,1583321.69569615,10409.1527853684
,,exp006/greedy_execution,exp006 旧执行·重新规划,6,1390800.30978344,1252684.06394139,138116.245842046,2021997.68476414,24499.2076180472
,,exp006/greedy_execution,exp006 旧执行·重新规划,7,1589603.25697761,1465757.95439578,123845.302581828,2337333.06672721,23205.9430235001
,,exp006/greedy_execution,exp006 旧执行·重新规划,8,1273636.18470071,1266001.67011806,7634.51458265579,2034175.50799054,1347.90961477165
,,exp006/greedy_execution,exp006 旧执行·重新规划,9,1112771.47936383,1105256.51081932,7514.96854451256,1782351.51776742,1231.48056893441
,,exp006/greedy_execution,exp006 旧执行·重新规划,10,1100470.35798538,1099815.22049179,655.137493593119,1817819.4589431,93.9130581412154
,,exp006/greedy_execution,exp006 旧执行·重新规划,11,1205103.14049307,1187825.93854489,17277.2019481865,1947042.1332831,3489.76035384133
,,exp006/greedy_execution,exp006 旧执行·重新规划,12,1632489.28581592,1602500.07156521,29989.214250706,2571533.64704273,6156.83723118878
,,exp006/primary,exp006 正式·树DP,2,1243519.02879389,1186789.03754675,56729.9912471405,1957833.43507572,13543.2934302181
,,exp006/primary,exp006 正式·树DP,3,1162130.43267895,1098775.05238909,63355.3802898641,1855813.59312822,14732.7748440337
,,exp006/primary,exp006 正式·树DP,4,977869.51323673,942115.882761373,35753.6304753575,1624015.40823023,8753.61125213239
,,exp006/primary,exp006 正式·树DP,5,1033541.68700552,943396.687167485,90144.9998380326,1601984.21979915,19686.9592387917
,,exp006/primary,exp006 正式·树DP,6,1434185.51800298,1263562.84584437,170622.672158605,2047121.27814009,38071.6108159362
,,exp006/primary,exp006 正式·树DP,7,1620008.12109356,1476861.67059379,143146.45049977,2363271.75165495,35347.599495747
,,exp006/primary,exp006 正式·树DP,8,1332531.11385531,1272784.30751246,59746.8063428485,2049918.62509339,13963.1764581322
,,exp006/primary,exp006 正式·树DP,9,1168821.48436684,1118504.84873909,50316.6356277514,1813107.04098652,11214.7974244407
,,exp006/primary,exp006 正式·树DP,10,1142625.70331291,1109201.45508812,33424.2482247895,1839680.7026099,7631.52453770687
,,exp006/primary,exp006 正式·树DP,11,1274520.33475428,1193423.96011726,81096.3746370187,1960010.93674424,18258.8191466193
,,exp006/primary,exp006 正式·树DP,12,1676504.54015583,1610375.70149893,66128.8386568986,2589487.44363361,16355.6159598258
