scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory,forecast_reused
2,0,3,monthly,net_load,all,kW,4464,1500530.37506578,1130250061.45724,1070602.35227647,12562015.0946,336.140316995022,503.182092356612,11.9449814680672,239.830276047596,no_season,42,no_season_seed_42,False,True
2,0,3,monthly,net_load,pv_generating,kW,2426,1185241.17799028,1053119636.28344,848393.604782494,5565472.3302,488.55778152938,658.860478058895,21.2963268464886,349.708823076049,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,load,all,kW,4320,614987.518100552,135692909.202499,374424.327731963,18977659.7719,142.358221782535,177.22978205913,3.24058669768733,86.6722980861026,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,load,pv_generating,kW,2526,355579.741848697,78129547.4891168,206767.570841601,12832349.4944,140.767910470585,175.869683239117,2.77096366494593,81.8557287575619,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,pv,all,kW,4320,1132718.26480585,1074885891.08248,-770461.59207848,11671282.1779,262.203302038391,498.814773730003,9.70517418343885,-178.347590758907,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,pv,pv_generating,kW,2526,1130272.76758433,1074836045.55515,-772907.089299996,11671282.1779,447.455569114938,652.310603423959,9.68422106805494,-305.980637094218,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,net_load,all,kW,4320,1566822.03553274,1345839862.83833,1144885.91981044,12041832.4582,362.690286002949,558.155001130198,13.0114917390816,265.01988884501,no_season,42,no_season_seed_42,False,True
2,0,4,monthly,net_load,pv_generating,kW,2526,1308271.08537161,1288705918.37231,979674.660141597,5896522.1807,517.922044881871,714.266428878001,22.1871646587497,387.83636585178,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,load,all,kW,4464,742450.447000015,197786652.100489,246895.384532755,19649089.488,166.319544578856,210.492388749417,3.77854886076752,55.3081058541118,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,load,pv_generating,kW,2747,425175.871424305,104613187.007917,174519.160473187,13593091.3839,154.778256798072,195.147902063077,3.12788209404591,63.5308192476109,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,pv,all,kW,4464,1129849.06992056,1007816767.361,-681546.063857021,12528226.6982,253.102390215179,475.147771619289,9.01842772435535,-152.676089573705,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,pv,pv_generating,kW,2747,1126851.430721,1007726203.16957,-684543.703056575,12528226.6982,410.211660255189,605.678204819853,8.99450064136296,-249.196834021323,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,net_load,all,kW,4464,1655783.2977193,1317665055.64459,928441.448389775,12329827.1922,370.919197517765,543.30089611528,13.429087625549,207.984195427817,no_season,42,no_season_seed_42,False,True
2,0,5,monthly,net_load,pv_generating,kW,2747,1339080.96446085,1224600913.58435,859062.863529762,6273829.0881,487.470318333036,667.679373467021,21.3439184532581,312.727653268934,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,load,all,kW,4320,905407.421044179,317058275.907131,150640.6134486,20737609.7592,209.585051167634,270.911645048615,4.36601629386196,34.870512372361,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,load,pv_generating,kW,2765,535679.455965826,175382676.182652,132025.741575758,14541332.1321,193.735788776067,251.852217196047,3.68384031875122,47.7489119622996,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,pv,all,kW,4320,1037793.01844779,917597523.461254,-437559.333191027,10237650.7621,240.229865381434,460.876159216931,10.1370230589397,-101.286882683108,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,pv,pv_generating,kW,2765,1036843.19897553,917574369.652807,-438509.152663294,10237650.7621,374.988498725326,576.067095264906,10.1277453496845,-158.592821939709,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,net_load,all,kW,4320,1665671.7464665,1313522458.17452,588199.946639627,12512603.2655,385.572163533913,551.412844044674,13.3119520464549,136.157395055469,no_season,42,no_season_seed_42,False,True
2,0,6,monthly,net_load,pv_generating,kW,2765,1295876.95555585,1171771316.74903,570534.894239053,6316325.6384,468.671593329421,650.98931993168,20.5163101103842,206.341733902008,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,load,all,kW,4464,1297201.54075522,578509197.97095,108638.871842782,23825522.6407,290.591743000722,359.992158781512,5.44458797533061,24.3366648393328,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,load,pv_generating,kW,2784,787094.351219646,345767395.788682,49184.46397692,16157122.5309,282.720672133494,352.417449670333,4.87150078681617,17.6668333250431,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,pv,all,kW,4464,1219993.41887516,1152131030.11798,-866377.334584336,12156607.0836,273.296016773109,508.029397529344,10.0356407876422,-194.080944127315,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,pv,pv_generating,kW,2784,1219013.59039193,1152117339.58949,-867357.163067563,12156607.0836,437.864077008595,643.300280809303,10.0275807386787,-311.550705124843,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,net_load,all,kW,4464,2040929.14531764,1691290145.11056,975016.206427118,14558102.5933,457.197389184059,615.526799085263,14.0191974348149,218.417608966648,no_season,42,no_season_seed_42,False,True
2,0,7,monthly,net_load,pv_generating,kW,2784,1531169.94207537,1458696460.89423,916541.627044483,6889702.4835,549.989203331669,723.848784003131,22.2240357365551,329.217538449886,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,load,all,kW,4464,910571.179461634,290249898.313071,506034.918390065,22521670.3527,203.980998983341,254.990467490439,4.04308901250067,113.359076700283,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,load,pv_generating,kW,2668,546683.438322602,173498067.932596,325889.413158431,14745514.2869,204.90383745225,255.008354459812,3.70745589259155,122.147456206308,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,pv,all,kW,4464,1238300.46465402,1129342487.69574,-927272.374100794,13016993.1671,277.39705749418,502.980027967307,9.51295317403853,-207.722306026163,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,pv,pv_generating,kW,2668,1238300.46465402,1129342487.69574,-927272.374100794,13016993.1671,464.130608940786,650.608781828533,9.51295317403853,-347.553363605995,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,net_load,all,kW,4464,1908393.10657393,1642151070.84908,1433307.29249086,14763437.7052,427.507416347207,606.51907080876,12.9264819256951,321.081382726447,no_season,42,no_season_seed_42,False,True
2,0,8,monthly,net_load,pv_generating,kW,2668,1544505.3654349,1525399240.4686,1253161.78725922,6987281.6394,578.900062007084,756.134145342511,22.1045242648545,469.700819812303,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,load,all,kW,4320,1241856.51168106,679747911.730912,1053299.23072932,19595133.0698,287.466785111356,396.672476536266,6.33757631171695,243.819266372529,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,load,pv_generating,kW,2415,632078.592010298,318312537.065741,540069.842701584,12617957.8663,261.730265842774,363.05155772644,5.00935728830139,223.631404845376,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,pv,all,kW,4320,1047030.33321406,953584411.77551,-699395.909061466,11264829.8663,242.368132688439,469.826704600156,9.29468394677104,-161.897201171636,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,pv,pv_generating,kW,2415,1047030.33321406,953584411.77551,-699395.909061466,11264829.8663,433.55293300789,628.378046783384,9.29468394677104,-289.604931288392,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,net_load,all,kW,4320,2113523.81033685,1973577342.07501,1752695.13979079,12992757.2159,489.241622763159,675.90428831441,16.2669383812576,405.716467544164,no_season,42,no_season_seed_42,False,True
2,0,9,monthly,net_load,pv_generating,kW,2415,1503745.89066609,1612141967.40984,1239465.75176305,6015582.0124,622.669105865875,817.039539859313,24.9975129183909,513.236336133768,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,load,all,kW,4464,876822.533870769,275195036.016128,774754.641418176,19405095.0093,196.420818519438,248.289414829061,4.51851708765428,173.556147271097,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,load,pv_generating,kW,2321,426005.819657873,119020967.525842,367370.515545057,11964408.5436,183.544084298954,226.450960939453,3.56060910245122,158.281135521351,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,pv,all,kW,4464,883359.326081255,746994253.202692,-718677.411773019,10554293.4631,197.885153692038,409.068970116814,8.3696680329163,-160.994043855963,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,pv,pv_generating,kW,2321,883359.326081255,746994253.202693,-718677.411773019,10554293.4631,380.594280948408,567.31081141112,8.3696680329163,-309.641280384756,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,net_load,all,kW,4464,1648064.34477019,1244139827.70429,1493432.0531912,13205688.9884,369.190041391172,527.925334243307,12.479957283697,334.55019112706,no_season,42,no_season_seed_42,False,True
2,0,10,monthly,net_load,pv_generating,kW,2321,1197247.6305573,1087965759.214,1086047.92731808,5765002.5227,515.832671502498,684.652255837608,20.7675126913314,467.922415906108,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,load,all,kW,4320,584620.110982846,123132573.283752,312453.210062704,18738740.2177,135.328729394177,168.828050046045,3.11984746141383,72.3271319589593,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,load,pv_generating,kW,2095,276647.584391779,56829423.6178194,125178.00181885,10922633.6449,132.051352931637,164.700384104042,2.53279193815084,59.7508361903818,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,pv,all,kW,4320,493302.272543956,231937227.280361,-190686.224903151,8010905.7698,114.190340866656,231.709242330911,6.15788384883563,-44.1403298386924,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,pv,pv_generating,kW,2095,487296.046706765,231691065.983458,-196692.450740342,8010905.7698,232.59954496743,332.554347835328,6.08290823421995,-93.8866113319055,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,net_load,all,kW,4320,912284.195777121,378189266.795522,503139.434965855,12694137.6827,211.17689717063,295.878035275048,7.18665748379595,116.467461797652,no_season,42,no_season_seed_42,False,True
2,0,11,monthly,net_load,pv_generating,kW,2095,605449.722849662,312284383.291031,321870.452559192,4878031.1099,288.997481073824,386.08516953406,12.411764279668,153.637447522287,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,load,all,kW,4464,709253.764794559,181394363.389804,162688.748762333,20941989.5206,158.883011826738,201.581095431467,3.38675446330869,36.4446121779419,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,load,pv_generating,kW,2097,348663.748564139,93546533.2126388,34804.3172985478,11943412.0743,166.267882004835,211.210076308198,2.91929765459904,16.5971947060314,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,pv,all,kW,4464,436231.33428423,187495326.975823,-211436.03398374,6757767.9032,97.7220730923455,204.94301975825,6.45525772019578,-47.3647029533468,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,pv,pv_generating,kW,2097,435696.280201831,187488047.722812,-211971.088066139,6757767.9032,207.771235194006,299.011284201028,6.44734010464486,-101.083017675793,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,net_load,all,kW,4464,967270.81549911,380867467.302113,374124.782746073,14723218.5464,216.682530353743,292.095486341632,6.56969678505261,83.8093151312887,no_season,42,no_season_seed_42,False,True
2,0,12,monthly,net_load,pv_generating,kW,2097,606780.992725023,293078185.057447,246775.405364687,5724641.1001,289.356696578456,373.845822023554,10.5994591121952,117.680212381825,no_season,42,no_season_seed_42,False,True
