scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,hold_midnight_issued,load,next_6h,all,annual,all,kW,48096,144.7735784301409,192.85525876759698,3.135815261727131,-3.22756038304155
3,hold_midnight_issued,pv,next_6h,all,annual,all,kW,48096,198.885683959325,379.47244570886824,8.360568670205215,-8.265290878681117
3,hold_midnight_issued,pv,next_6h,pv_generating,annual,all,kW,26880,351.1164537108822,506.6912584906537,8.249047076659012,-19.535826267121635
3,hold_midnight_issued,net_load,next_6h,all,annual,all,kW,48096,288.1253873671698,428.9431962141498,9.60118147449786,5.037730495639569
3,hold_midnight_issued,load,next_6h,all,monthly,2,kW,4032,133.30898078900623,170.08837490783202,2.9513401522849914,-12.877463484352008
3,hold_midnight_issued,pv,next_6h,all,monthly,2,kW,4032,172.72187032254092,321.3026590453301,8.783300103488175,-39.78863477348139
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,2,kW,2036,332.3039659165727,449.7934136856015,8.533027874306454,-88.54198523625735
3,hold_midnight_issued,net_load,next_6h,all,monthly,2,kW,4032,246.70106323688708,361.3624543383524,8.324231802658307,26.911171289129378
3,hold_midnight_issued,load,next_6h,all,monthly,3,kW,4464,118.36715500029023,152.0253066061865,2.717523757382843,-15.597594246222572
3,hold_midnight_issued,pv,next_6h,all,monthly,3,kW,4464,202.58733995169675,386.25723928954767,8.792102474114511,-36.39534537578933
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,3,kW,2426,369.81997789188006,523.5486901825182,8.722428500336186,-69.92392454088908
3,hold_midnight_issued,net_load,next_6h,all,monthly,3,kW,4464,269.4603416333622,413.0470873893241,9.5754618665313,20.79775112956676
3,hold_midnight_issued,load,next_6h,all,monthly,4,kW,4320,101.95501872672806,129.5225362157285,2.3208640379970773,-3.0681928811838612
3,hold_midnight_issued,pv,next_6h,all,monthly,4,kW,4320,226.52492740695976,398.7694652873831,8.384577388172977,31.210669412104068
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,4,kW,2526,379.19408327731435,519.9187503545637,8.206846855028568,45.164948464259425
3,hold_midnight_issued,net_load,next_6h,all,monthly,4,kW,4320,276.13390376217995,418.17317626104847,9.906286841254813,-34.278862293287936
3,hold_midnight_issued,load,next_6h,all,monthly,5,kW,4464,131.32758454094997,172.22341640312843,2.9835801691922184,-3.1481028447384727
3,hold_midnight_issued,pv,next_6h,all,monthly,5,kW,4464,201.21131332949875,357.42990598077614,7.169468787086466,2.7842688320911186
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,5,kW,2747,324.6934893997595,455.2842975466392,7.119387578684926,2.2405128302554465
3,hold_midnight_issued,net_load,next_6h,all,monthly,5,kW,4464,277.16397056254,395.9531704588299,10.034690229672353,-5.932371676829589
3,hold_midnight_issued,load,next_6h,all,monthly,6,kW,4320,175.70750369976696,229.0570882508528,3.660288841370673,3.500594807944846
3,hold_midnight_issued,pv,next_6h,all,monthly,6,kW,4320,205.189670105104,376.3067716899481,8.65842560419811,-7.384860700911796
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,6,kW,2765,320.02937574102623,470.3368758941834,8.643401152145046,-12.094303492965881
3,hold_midnight_issued,net_load,next_6h,all,monthly,6,kW,4320,316.99686431845004,439.66038803235887,10.944376839882025,10.885455508856646
3,hold_midnight_issued,load,next_6h,all,monthly,7,kW,4464,228.68398673049902,294.9325183411794,4.284671241675456,15.56117857521073
3,hold_midnight_issued,pv,next_6h,all,monthly,7,kW,4464,215.86473195405918,390.34913341803605,7.926719658011339,2.371575025330616
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,7,kW,2784,344.814573510079,494.12894996219177,7.896642262520021,2.4893391243590695
3,hold_midnight_issued,net_load,next_6h,all,monthly,7,kW,4464,371.0881670187848,508.61691040514467,11.378801371644649,13.18960354988012
3,hold_midnight_issued,load,next_6h,all,monthly,8,kW,4464,167.52875846035033,210.52345995336444,3.3205724355935633,12.138500183275024
3,hold_midnight_issued,pv,next_6h,all,monthly,8,kW,4464,243.84402537765638,472.15426384954816,8.362297769634342,-48.492616907490564
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,8,kW,2668,401.0292294687889,609.4964888155591,8.219609325193318,-88.0977462286984
3,hold_midnight_issued,net_load,next_6h,all,monthly,8,kW,4464,342.4574308704029,526.0355443218002,10.354837416132607,60.631117090765606
3,hold_midnight_issued,load,next_6h,all,monthly,9,kW,4320,178.17360254320627,235.50355206478,3.928067037079362,-23.274170722965568
3,hold_midnight_issued,pv,next_6h,all,monthly,9,kW,4320,210.5250473192425,403.1025181335804,8.073519220560122,25.759436710064257
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,9,kW,2415,372.8699817659606,538.7101573576924,7.993738180269234,42.35758514830007
3,hold_midnight_issued,net_load,next_6h,all,monthly,9,kW,4320,335.8029258824362,480.9569801502558,11.165210091333469,-49.03360743302983
3,hold_midnight_issued,load,next_6h,all,monthly,10,kW,4464,113.30454355597875,145.15553801805873,2.6064880496152467,-2.2618417116723495
3,hold_midnight_issued,pv,next_6h,all,monthly,10,kW,4464,236.97241694634306,459.0623483449611,10.02288663800112,-43.11559133870164
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,10,kW,2321,446.79536034154114,634.7372243213917,9.825499309625283,-91.9004039774763
3,hold_midnight_issued,net_load,next_6h,all,monthly,10,kW,4464,302.6393250960881,476.7705330872662,10.23030262499482,40.85374962702928
3,hold_midnight_issued,load,next_6h,all,monthly,11,kW,4320,104.41519173789511,131.059142586782,2.407171576462956,-3.9017664247345953
3,hold_midnight_issued,pv,next_6h,all,monthly,11,kW,4320,145.84613940695925,282.50904028655435,7.864969834163883,15.259261775008277
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,11,kW,2095,292.7623228802948,404.0763476868723,7.656276132299708,23.48532461297826
3,hold_midnight_issued,net_load,next_6h,all,monthly,11,kW,4320,211.16742792742983,312.33974517928306,7.186335231653685,-19.161028199742873
3,hold_midnight_issued,load,next_6h,all,monthly,12,kW,4464,138.01972114247988,179.2845649125169,2.942032009776204,-3.95440233475063
3,hold_midnight_issued,pv,next_6h,all,monthly,12,kW,4464,123.68251264188935,264.2491704558316,8.170134641231904,6.981238935206303
3,hold_midnight_issued,pv,next_6h,pv_generating,monthly,12,kW,2097,261.7347546430998,385.3428435895665,8.121879714553087,13.306292160203645
3,hold_midnight_issued,net_load,next_6h,all,monthly,12,kW,4464,215.35902137646724,315.8489376659311,6.5295687107735985,-10.935641269956934
3,hold_midnight_issued,load,next_6h,all,issue_hour,0,kW,12024,139.31686652675376,184.9515884768246,3.947205011556216,-4.679567969672142
3,hold_midnight_issued,pv,next_6h,all,issue_hour,0,kW,12024,7.795716993452749,33.8659925355153,24.859049693366387,5.717891035775322
3,hold_midnight_issued,pv,next_6h,pv_generating,issue_hour,0,kW,1867,37.92076776176657,73.72749377528416,18.775907193533474,24.53898987472138
3,hold_midnight_issued,net_load,next_6h,all,issue_hour,0,kW,12024,141.98120138850607,188.17000895256737,4.058754509941731,-10.397459005447464
3,hold_midnight_issued,load,next_6h,all,issue_hour,6,kW,12024,135.61422261051473,176.20954727442577,2.516867606140443,-7.803498049877437
3,hold_midnight_issued,pv,next_6h,all,issue_hour,6,kW,12024,336.894125308203,475.5376754894572,6.968078456288928,-63.45554619880071
3,hold_midnight_issued,pv,next_6h,pv_generating,issue_hour,6,kW,11735,343.0462463180687,480.95060122297514,6.924786560979372,-67.16291006882629
3,hold_midnight_issued,net_load,next_6h,all,issue_hour,6,kW,12024,375.86852249705976,509.22017403094804,17.907924113738318,55.65204814892328
3,hold_midnight_issued,load,next_6h,all,issue_hour,12,kW,12024,144.72595535695706,194.8688394352404,2.5969901805168747,-3.978518474733477
3,hold_midnight_issued,pv,next_6h,all,issue_hour,12,kW,12024,437.7964883564864,588.1141087684165,9.4561201156204,12.416211908718452
3,hold_midnight_issued,pv,next_6h,pv_generating,issue_hour,12,kW,11582,450.8855065477187,598.5499689884348,9.38083667780955,9.271584599181258
3,hold_midnight_issued,net_load,next_6h,all,issue_hour,12,kW,12024,472.0472595847869,627.4912023285754,19.270227198470597,-16.39473038345193
3,hold_midnight_issued,load,next_6h,all,issue_hour,18,kW,12024,159.43726922633806,213.40535167532906,4.009436781299506,3.5513429621168555
