scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,month
3,6,net_load,3348,kW,241.82721013092652,327.9663446341084,51.89830886554134,809637.499518342,360117318.91598153,3
3,6,net_load,3240,kW,235.17477092545207,317.1024454373267,65.84402406397997,761966.2577984647,325794833.32355815,4
3,6,net_load,3348,kW,280.75885778902784,364.2810492528737,76.0760831447462,939980.6558776652,444281886.1643053,5
3,6,net_load,3240,kW,300.02035811083806,401.70306607349636,-3.8355078998972325,972065.9602791154,522823744.6688268,6
3,6,net_load,3348,kW,342.39997870873106,445.8735595957427,30.375199454635595,1146355.1287168316,665593217.8787441,7
3,6,net_load,3348,kW,294.6454255708247,390.1223472401228,94.8269386595376,986472.8848111213,509550352.5924466,8
3,6,net_load,3240,kW,363.9230368206217,490.8327118780003,219.21734079964227,1179110.6392988143,780570273.4004191,9
3,6,net_load,3348,kW,272.80287490072806,368.57190003716573,110.36984595058668,913344.0251676375,454809881.92397773,10
3,6,net_load,3240,kW,218.64125138465403,294.00140551976244,85.31656789413228,708397.654486279,280055317.6902104,11
3,6,net_load,3348,kW,200.7117997628678,265.70448681760456,43.32174869947704,671983.1056060814,236365031.20664212,12
3,12,load,2016,kW,152.28963269950407,190.20122486244125,99.18234861977298,307015.8995222002,72931835.97337264,2
3,12,load,2232,kW,131.08364915089848,163.4169126523535,55.38697467851922,292578.7049048054,59605754.94472571,3
3,12,load,2160,kW,134.5751935719696,168.94917370595306,67.43434217885192,290682.4181154544,61654658.31919648,4
3,12,load,2232,kW,186.4634605073187,236.45579067796,10.394352915624408,416186.44385233533,124794112.9895508,5
3,12,load,2160,kW,245.18308617133536,310.9972433627153,-13.902320028938723,529595.4661300844,208913656.41908926,6
3,12,load,2232,kW,270.86838333736637,334.1175657973176,40.79573085925538,604578.2316090018,249168310.63229302,7
3,12,load,2232,kW,197.02698709203503,246.82817472952752,78.66553069639336,439764.2351894222,135982697.9795723,8
3,12,load,2160,kW,308.3745140570427,418.91216151973646,239.24788041571716,666088.9503632123,379052781.98933756,9
