scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,lead_hour_end,target_hour_end
3,0,net_load,2004,kW,210.97094021426503,286.11697647873115,97.46730119989697,422785.7641893871,164053300.15557888,22,22
3,0,net_load,2004,kW,220.3953645146848,289.3487233486796,120.70540149229335,441672.31048742833,167780258.14183545,23,23
3,0,net_load,2004,kW,211.3140754063781,278.19498297680616,112.74207218444336,423473.4071143817,155094466.9011448,24,24
3,6,load,2004,kW,143.0816021784343,181.36861924657666,32.13074585693636,286735.53076558234,65920730.39900903,1,7
3,6,load,2004,kW,151.94926052719214,191.94351408285942,41.13111145069786,304506.318096493,73831994.44734763,2,8
3,6,load,2004,kW,154.25067299301395,196.61911938261366,49.57842931667595,309118.348678,77472792.52601615,3,9
3,6,load,2004,kW,152.3378914544846,191.41635119419075,53.9462894802102,305285.13447478716,73426999.88701354,4,10
3,6,load,2004,kW,154.46965716498528,196.5191995417426,63.19941312001281,309557.1929586305,77394070.7602086,5,11
3,6,load,2004,kW,169.8106507393828,216.09594660332294,72.05940668464562,340300.54408172314,93581706.10932595,6,12
3,6,load,2004,kW,176.38230025273504,230.58794605932263,78.55917817524501,353470.129706481,106554284.93918559,7,13
3,6,load,2004,kW,179.30659514863956,236.01464849861202,83.89552684038429,359330.4166778737,111628640.26907046,8,14
3,6,load,2004,kW,186.86425571850125,252.66415481304665,85.81184319206048,374475.9684598765,127933706.95529199,9,15
3,6,load,2004,kW,190.29764888533498,257.0877231004797,85.7877807220667,381356.4883662113,132452571.12745383,10,16
3,6,load,2004,kW,197.90241615852446,269.9980358716348,84.74270665363812,396596.441981683,146089474.5065793,11,17
3,6,load,2004,kW,212.2624237518927,282.9214029883507,96.27570819805335,425373.89719879295,160409218.618869,12,18
3,6,load,2004,kW,210.4794156560468,282.20342723632444,110.80086729935627,421800.7489747178,159596103.78523064,13,19
3,6,load,2004,kW,202.43984140568625,273.04696129645254,102.35779659565877,405689.4421769953,149407504.71874583,14,20
3,6,load,2004,kW,205.19474329386458,280.49881316828237,92.49228605363247,411210.26556090463,157673886.7143852,15,21
3,6,load,2004,kW,207.9736838196996,282.30209567248716,92.70897069850548,416779.262374678,159707724.3350405,16,22
3,6,load,2004,kW,217.7682216111031,285.78578002741494,116.67756168187587,436407.5161086506,163673718.1800195,17,23
3,6,load,2004,kW,208.90462530218943,275.091699023617,109.33257939413811,418644.8691055876,151653587.5148874,18,24
3,6,pv,2004,kW,86.32415917340714,115.01562614725577,4.674324523943721,172993.6149835079,26510102.893122796,1,7
3,6,pv,2004,kW,92.72358208829633,117.18291504937733,-61.458791038004165,185818.05850494583,27518598.501257047,2,8
3,6,pv,2004,kW,137.97089240293292,177.72206181382472,-75.13964098664937,276493.66837547754,63296603.035735294,3,9
3,6,pv,2004,kW,203.41523181501276,261.81918785948636,-77.63527092135476,407644.12455728557,137372771.4113276,4,10
3,6,pv,2004,kW,271.59039677852127,339.0514903395214,-44.59302029922974,544267.1551441567,230371649.85530695,5,11
3,6,pv,2004,kW,336.0972299133956,436.0748944882689,-23.00003349333364,673538.8487464448,381083272.46032155,6,12
3,6,pv,2004,kW,398.2752180492296,501.2756167561659,-27.606429494099224,798143.5369706561,503559596.88436615,7,13
3,6,pv,2004,kW,383.75023602321045,485.68961337882337,5.605083123234061,769035.4729905138,472732378.6903181,8,14
3,6,pv,2004,kW,359.7234443368745,450.10667911462747,17.917969027246553,720885.7824510965,406002429.2575308,9,15
3,6,pv,2004,kW,285.3513281520032,356.79520964261405,46.199562773655465,571844.0616166143,255114854.53432953,10,16
3,6,pv,2004,kW,184.7576133538383,238.23137911130323,70.85078574701093,370254.25716109195,113735396.74652007,11,17
3,6,pv,2004,kW,138.12116204359157,183.20763845667935,106.49436247986743,276794.8087353575,67264337.73290217,12,18
3,6,pv,2004,kW,74.67666980370929,123.3331958242686,73.266364276101,149652.0462866334,30482998.693223685,13,19
3,6,pv,2004,kW,0.16207470059880238,0.6976709973790169,-0.16207470059880238,324.79769999999996,975.43662045,14,20
3,6,pv,2004,kW,0.0008088822355289421,0.003593990326512562,-0.0008088822355289421,1.621,0.025885200000000004,15,21
3,6,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,16,22
3,6,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,17,23
3,6,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,18,24
3,6,net_load,2004,kW,165.62375415140707,208.862913482796,27.456421332992623,331910.00331941975,87421928.12355794,1,7
3,6,net_load,2004,kW,188.5962234054012,237.45105362702134,102.58990248870204,377946.831704424,112991537.74863946,2,8
3,6,net_load,2004,kW,222.24614757492128,278.46573294756257,124.71807030332532,445381.2797401422,155396501.50975055,3,9
3,6,net_load,2004,kW,261.250123007327,332.5597788463059,131.58156040156496,523545.24650668324,221634397.03863296,4,10
3,6,net_load,2004,kW,322.01959743307816,404.21364621812023,107.79243341924254,645327.2732558886,327430898.2650511,5,11
3,6,net_load,2004,kW,380.67566079689544,488.61155423575,95.05944017797927,762874.0242369785,478437466.86908126,6,12
3,6,net_load,2004,kW,430.94011274348196,548.1285418983558,106.16560766934424,863603.9859379379,602091576.4810097,7,13
3,6,net_load,2004,kW,430.1720969874098,551.4627692285379,78.29044371715021,862064.8823627692,609438816.4337962,8,14
3,6,net_load,2004,kW,405.91623140369336,517.413850938872,67.89387416481394,813456.1277330015,536505054.65936,9,15
3,6,net_load,2004,kW,341.95314743806273,438.1777963384132,39.58821794841123,685274.1074658777,384767561.5327918,10,16
3,6,net_load,2004,kW,253.6389223069101,336.20708457999257,13.891920906627195,508292.40030304785,226522548.25844365,11,17
3,6,net_load,2004,kW,225.69663377704723,297.1507629330149,-10.218654281814086,452296.05408920266,176950346.12699234,12,18
3,6,net_load,2004,kW,214.93545953221505,289.96672247399886,37.53450302325527,430730.66090255894,168497723.0851954,13,19
3,6,net_load,2004,kW,202.44990486546584,273.05501490439167,102.51987129625756,405709.6093503935,149416318.4935329,14,20
3,6,net_load,2004,kW,205.1948505792937,280.4987890542885,92.49309493586797,411210.4805609046,157673859.6044882,15,21
3,6,net_load,2004,kW,207.9736838196996,282.30209567248716,92.70897069850548,416779.262374678,159707724.3350405,16,22
3,6,net_load,2004,kW,217.7682216111031,285.78578002741494,116.67756168187587,436407.5161086506,163673718.1800195,17,23
3,6,net_load,2004,kW,208.90462530218943,275.091699023617,109.33257939413811,418644.8691055876,151653587.5148874,18,24
3,12,load,2004,kW,157.49939823452763,203.67103666772908,46.64242967030203,315628.79406199337,83129709.91932411,1,13
3,12,load,2004,kW,166.02628978716388,214.7991919110186,56.87858251302019,332716.68473347643,92461940.4626357,2,14
3,12,load,2004,kW,173.26872980038792,232.6613919667093,62.942493556559654,347230.5345199774,108479171.91702102,3,15
3,12,load,2004,kW,178.7320589966128,240.70997214101376,66.4292941954814,358179.0462292121,116114346.53900775,4,16
3,12,load,2004,kW,188.84269743782014,256.46660409519245,68.35610158734251,378440.7656653916,131813338.50830483,5,17
3,12,load,2004,kW,203.8628481075323,271.2011555194228,82.40474647643414,408541.1476074947,147394333.77716058,6,18
3,12,load,2004,kW,203.04550610594177,272.6680386174281,99.05935169534835,406903.1942363073,148993110.00408444,7,19
3,12,load,2004,kW,196.52628964896,264.7901543073511,92.41881821434811,393838.6844565158,140508106.93949404,8,20
3,12,load,2004,kW,200.18952311858877,273.38556629329736,84.07912248977007,401179.8043296519,149778294.3864438,9,21
3,12,load,2004,kW,203.71984092622225,276.4547875740937,85.58738149318039,408254.56121614936,153160208.14356506,10,22
3,12,load,2004,kW,214.1486746578516,280.3724165793427,110.64926656738993,429153.9440143346,157531818.72499514,11,23
3,12,load,2004,kW,205.54074454543164,270.5397760611587,104.22973774747835,411903.652069045,146676307.9441687,12,24
3,12,pv,2004,kW,178.98977167846823,238.7638889317216,-39.6234933807716,358695.50244365033,114244422.09423018,1,13
3,12,pv,2004,kW,177.84147437249024,232.04102548806742,20.740722745647194,356394.31464247045,107901447.16914614,2,14
