run,scenario,days,passed,full_comparable_q2,eligible_for_selection,total_cost,planned_cost,up_cost,down_cost,emergency_cost,direction_reversals,active_slots,throughput_kwh,equivalent_full_cycles,power_ramp_total_kw,simultaneous_slots,realized_physics_only,known_initializer_emergency_charging_relaxation,goal_passed,archive,archive_sha256,cost_reduction_vs_exp006_pct
risk_window/tree7_30days,2,30,True,False,True,1253072.598147327,1211031.992431336,0.0,0.0,42040.60571599041,684,3758,1186156.4529259854,49.35467205639834,3240417.3827158003,0,True,False,False,data/results/exp008/risk_window/tree7_30days/dispatch_2.npz,2a46682e7d75e58811c3a27509a8b94301daa07d665c9e3435c8e5eb1046fc6b,
simultaneous_prefix_envelope,2,334,True,True,True,13337947.996067079,12654525.130614797,0.0,0.0,683422.8654523536,7745,40041,12146846.65741025,505.41758250991387,33791576.67114414,0,True,False,False,data/results/exp008/simultaneous_prefix_envelope/dispatch_2.npz,6dd7dd85d767e51b082faef34614fa29ad181ea5a198ac9bda20b2a55013721e,5.177706169301144
update_value_diagnostic/future1.5_d30/3,3,30,True,False,True,1230439.43375812,1157510.8133436963,63413.790490172934,0.0,9514.829924251031,449,3609,1140056.4631376138,47.437188883536535,2248635.619539881,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d30/3/dispatch_3.npz,7d6d7cf08e328c5bf4befb1f391e21aaf1aa3d7474f9058fa328c425d190062f,
update_value_diagnostic/future1.5_d30/4-3,4-3,30,True,False,True,1293960.8529462698,1221239.8478243197,64218.82258800054,0.0,8502.1825339495,511,3521,1223992.3806648818,50.92955934290058,3266161.579064663,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d30/4-3/dispatch_4-3.npz,343733f1ff342fe3bd4bf8d7cf544f7fcdcaf61a70293c538a2e36dd3053f683,
update_value_diagnostic/future1.5_d30_issued/3,3,30,True,False,True,1218879.9772927442,1156746.4739004292,59033.049861103456,0.0,3100.4535312108937,461,3637,1149235.8311519735,47.818384786019045,2252608.249076904,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d30_issued/3/dispatch_3.npz,82e8974d399417a9ecea53aeea210a7c9c94d764eb9db7165ddbaaa09b41b08d,
update_value_diagnostic/future1.5_d30_issued/4-3,4-3,30,True,False,True,1283877.465117038,1220147.0484269888,61428.545279516344,0.0,2301.871410532878,511,3539,1235358.4415347017,51.40174482673384,3256985.944487999,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d30_issued/4-3/dispatch_4-3.npz,2ffd3ce41dacd067bb961e7dd67ad4fc17786ccd6d0e107a9a21f32ade70c226,
update_value_diagnostic/future1.5_d334/3,3,334,True,False,True,13094579.597930351,11609680.804028096,1177019.0700382704,0.0,307879.72386394977,5707,39837,11525492.381874736,479.5639256852822,24715770.886704415,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d334/3/dispatch_3.npz,f2034329e8a5f1224e9eec0585509fb16566ca46442447aa0f0216417d5f8758,
update_value_diagnostic/future1.5_d334/4-3,4-3,334,True,False,True,13848187.985747274,12243331.611589724,1281829.3493674204,0.0,323027.0247901479,6471,39979,12358999.071197998,514.2452691405173,36702907.5028824,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d334/4-3/dispatch_4-3.npz,3a1d7daa6837173cc15a8a0a4d34f176461f3d1a863d5bc0936a46c7ba0aac7a,
update_value_diagnostic/future1.5_d334_issued/3,3,334,True,False,True,12891731.004964996,11612927.492124615,1069719.245715431,0.0,209084.2671249059,5841,39938,11691796.965022389,486.483679212538,24670531.625410587,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d334_issued/3/dispatch_3.npz,0d1c4d9a034785cd9acc17cd3cc4ca22802c2eb198fab13fa80b949cf65af94d,
update_value_diagnostic/future1.5_d334_issued/4-3,4-3,334,True,False,True,13654758.449540608,12250879.306093693,1168933.863311485,0.0,234945.28013546992,6595,39973,12511467.285455488,520.5893063488361,36511715.582334965,0,True,False,False,data/results/exp008/update_value_diagnostic/future1.5_d334_issued/4-3/dispatch_4-3.npz,ee5faaa9dd3d511a096e39ef1687bde2ca5ac75a561cb3f0725391991eb6a337,
update_value_diagnostic/future5_d30/3,3,30,True,False,True,1263196.2734187827,1247635.0894336693,14915.558830825545,0.0,645.6251542874892,477,3444,1107016.3074190808,46.06242380041546,2248537.660234901,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d30/3/dispatch_3.npz,1ae87c7a4f872f912f1eae86575c66de6babd70d967c27e400859b4c664684a0,
update_value_diagnostic/future5_d30/4-3,4-3,30,True,False,True,1332954.1274276446,1316654.2950845265,15463.278556317366,0.0,836.5537868004014,531,3369,1182563.6763386687,49.20585153844052,3227799.9189026006,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d30/4-3/dispatch_4-3.npz,d5c9b8c48c5715b7adeb6fd0f13e5fa480010c7cbaccc0dde6da4096bed3ed29,
update_value_diagnostic/future5_d30_issued/3,3,30,True,False,True,1261615.769790852,1247084.9429656023,14178.999056319031,0.0,351.82776893055234,481,3433,1109506.2468386267,46.1652489935388,2250512.24816403,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d30_issued/3/dispatch_3.npz,98410de63ca6a7c10ff7053bf7ff131cb9d6dc3f02f88ae5f4cac48b648d056f,
update_value_diagnostic/future5_d30_issued/4-3,4-3,30,True,False,True,1330950.2781959411,1316254.2674369041,14494.759180056048,0.0,201.2515789804719,539,3369,1185352.1103198873,49.32107474101991,3224565.998652662,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d30_issued/4-3/dispatch_4-3.npz,712be7ef151fdda5aa4f22c428dfb179349ff889fb92f88e1ffe72f516309f50,
update_value_diagnostic/future5_d334_issued/3,3,334,True,False,True,13047371.95072068,12606134.61823157,343603.7895014795,0.0,97633.54298763482,5847,38258,11399716.737243704,474.33053737988774,24592648.997985367,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d334_issued/3/dispatch_3.npz,2696976bb6d3432e7070ad81e928c6bc8ba9812830379af7acc5f02cf60b27ad,
update_value_diagnostic/future5_d334_issued/4-3,4-3,334,True,False,True,13815016.448692366,13323348.378821705,358035.45841342094,0.0,133632.61145725823,6575,38379,12260888.656147625,510.16300106494316,36559241.786509104,0,True,False,False,data/results/exp008/update_value_diagnostic/future5_d334_issued/4-3/dispatch_4-3.npz,9d351191aaa688b053825e03876e7f6ca0bb55ee378b6e97d84d56713a07869a,
weighted_mode_planning/ward3_joint_ridge28_30days,2,30,True,False,False,1266514.4610486731,1206009.4693280852,0.0,0.0,60504.9917205872,159,3238,1089976.9116837685,45.35324479520162,2334715.8996034926,0,True,False,False,data/results/exp008/weighted_mode_planning/ward3_joint_ridge28_30days/dispatch.npz,7a25c776517cdaa8d55b62737f1eb0af9ca65fd477db43abf6ebcfad70f2325a,
weighted_mode_planning/ward3_joint_ridge28_deadband0_30days,2,30,True,False,True,1267259.9795840716,1206260.747870623,0.0,0.0,60999.231713447225,159,3278,1087383.8667564567,45.24535100512988,2239202.2221617904,0,True,False,False,data/results/exp008/weighted_mode_planning/ward3_joint_ridge28_deadband0_30days/dispatch.npz,848c3265f219ad4071f50fb59aa0159223c5f2d8447c412b65f458aa97325065,
