name,channel,month,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
original_HGB_raw,pv,2,458.24444934130076,208.84189413064817,-181.18493467008577,430.5587672935602,264.9534790765427,-79.09902047222596,4972.213981448368,4469.235167420999,3394.752033825251,42921.72200921983,167066.25334289213,17283.838164432997
original_HGB_raw,pv,3,465.80989496866914,215.55855189898617,-115.8719056486978,430.98046462192735,286.34561244857485,-6.2367880223500025,4383.11502785808,3734.826562080518,3045.777281439784,33353.64122818633,183625.2170225362,13945.886870483002
original_HGB_raw,pv,4,371.2503161889252,188.281308800109,-78.0817353037309,364.9039885126417,327.3945372349874,-54.19950464652332,3369.438866005339,2856.0896356966778,2352.21433424353,19710.274777339142,118116.52249303774,20279.20122763025
original_HGB_raw,pv,5,334.9925609899882,182.70652009893678,19.473083469145656,336.86308821028337,308.6586859641142,31.3869019291768,2595.1558662179027,2051.0969528417745,1813.3057808115075,11692.420086745127,100527.59583188582,12984.943827509918
original_HGB_raw,pv,6,430.16839202603853,224.5460799354435,104.97525011015007,430.55572755114036,388.036380266934,85.36378384438932,4935.0540210440495,3731.745100177424,3299.138587879527,42282.566303165004,142762.27919510257,11756.274619088197
original_HGB_raw,pv,7,433.3430162957668,239.60951803915782,-158.37397451897778,431.58565044361086,380.9027338834005,-129.22948372983183,4802.9505383096875,3976.981889492612,3266.0849412343723,40049.190752516166,147736.97901979706,32494.86826183177
original_HGB_raw,pv,8,439.894160435681,240.7762013563836,-133.6983105978188,427.2130108253272,359.0553541170454,-66.83439301743758,4207.518083944306,3627.599140490955,2941.804122505548,30734.73685194161,162772.13553347104,25725.155279300427
original_HGB_raw,pv,9,307.6152357227673,160.52611701919912,-3.621924510202984,308.4894394954999,294.9543626253843,28.51238386463229,2103.711494425728,1799.9510483614072,1500.2774038368568,7683.336895449532,86943.79635332419,11714.91020458465
original_HGB_raw,pv,10,303.30124495020306,152.1330979143808,32.91410032474248,302.36477599792397,280.51689559737986,50.75904647733239,3359.439137988233,2582.4062999465305,2284.189063052881,19593.457155984583,72398.1880323585,9318.715351991761
original_HGB_raw,pv,11,208.23544295992664,105.79600529304335,58.04170106643569,206.61227238435117,188.02379010592838,64.29771035919048,1863.863516266336,1546.1588910270627,1274.177850594244,6031.227790397065,37330.77191431979,3763.394303825005
original_HGB_raw,pv,12,164.97080583995017,83.11964114627801,25.711358579981663,163.23186629439343,139.65112018869863,21.646641829094897,1127.432431767727,909.7153325629803,772.6217869898669,2206.7775836834903,25008.589195799046,5457.3447540748375
original_HGB_raw,net,2,528.9329154696736,330.95408358149314,291.23717228199286,500.14848763602953,342.2751149899655,157.52905005897998,7321.0987726641415,6989.69213476783,4690.7430597557595,93052.92923455627,186717.0998326926,5477.124059266003
original_HGB_raw,net,3,495.39399926223064,289.0541941697029,137.39329306015068,459.2237759412208,311.8172122733602,7.119699362562552,4476.545565356014,3871.1315147313494,3132.822906428318,34790.72951164685,210624.4849933801,18303.756088110782
original_HGB_raw,net,4,394.0019620012208,249.76387907138883,69.53909772872501,388.0301348912214,349.42766736593654,42.814065366744884,3375.927132800771,2794.8306438075974,2356.14923596733,19786.256954827135,135451.28910598432,16768.161829839995
original_HGB_raw,net,5,385.77952104758435,274.2647594997228,-60.84647119715192,394.7929172194147,388.21676101474435,-124.51727845856905,3262.1175768904045,2625.0667568297063,2007.0346253221953,18474.67202336341,130351.16683634018,39557.72619460317
original_HGB_raw,net,6,523.5271389213924,362.0419299690608,-179.11783939889844,530.6372987016705,504.4316053843651,-166.02371553507567,7810.280077689938,5473.852842906977,4489.219484556688,105903.60224298669,168177.0629442323,48715.179831048146
original_HGB_raw,net,7,496.94551255243056,375.19783141136236,85.01911121923816,494.7463792751144,461.3301604705791,92.19565267554339,5498.52108474769,4586.245892532939,3273.1639719868335,52489.12173509533,194465.72071090253,24297.217336302565
original_HGB_raw,net,8,526.9775918121816,367.22508302313696,254.7930237344315,513.5093376734787,453.3987333657671,205.65498831258228,7058.0720474949485,6115.032569626356,4505.326374432808,86486.77261741237,191218.6096547539,11677.520782064581
original_HGB_raw,net,9,443.75709813720755,316.1688139498915,121.18188699912905,447.7206412651543,452.4489028543194,101.47745176570025,6539.941366732942,4255.625858962802,3579.2475833077924,74254.91854219572,122665.44360495955,21117.68010965732
original_HGB_raw,net,10,340.4114989157703,225.02007773977888,-3.435354535106257,344.18003114663736,335.73205985213457,2.0545073230608666,3870.1905952965953,2621.8076707984824,2410.2821611371614,26004.123687364954,89875.86490671652,21614.6795904092
original_HGB_raw,net,11,246.30431502372824,174.09358049529354,-52.87941080376456,244.21188589565926,227.1577868591982,-56.519292523665186,1869.3934948533417,1573.7636588127664,1329.1531717564947,6067.06951145832,54598.746087849635,19876.561708814446
original_HGB_raw,net,12,273.37032121359573,194.70394093252062,-80.79466370289069,268.5966750277368,239.10509043781755,-60.39095220951512,3371.4552478658006,2228.5628564374047,2464.831451711896,19733.872375628216,54997.4601447963,21452.262534331345
original_HGB_full,load,2,170.08837490783202,133.30898078900623,-12.877463484352008,169.098479229122,164.3312885193494,-26.98843418867699,1903.0147483745372,1145.9518478479347,1189.0354668225634,6287.265855088547,22642.789423698672,12873.272470758415
original_HGB_full,load,3,152.0253066061865,118.36715500029023,-15.597594246222572,152.77343166412842,145.23411337161895,-20.19245937591256,1023.5817319326873,812.526511853326,760.2409394801668,1818.9575728234713,21292.73627588154,12404.630352114167
original_HGB_full,load,4,129.5225362157285,101.95501872672806,-3.0681928811838612,128.6172907211268,124.57127664020345,-2.8209432450781726,457.3997644570394,359.064963701362,329.0057023546492,363.21969535651925,16412.867692398184,9184.571858019726
original_HGB_full,load,5,172.22341640312843,131.32758454094997,-3.1481028447384727,183.59437545193103,210.74042751003938,-17.958411985122286,1010.6031370658233,783.5960946521335,531.360343705658,1773.1227441793112,27887.78241338605,16643.850885759366
original_HGB_full,load,6,229.0570882508528,175.70750369976696,3.500594807944846,235.98987106406136,255.05238247268323,23.930695208772875,2460.0645600298126,1690.791060541841,1237.4144892223137,10506.80145749075,41960.348220468215,15647.808274774594
original_HGB_full,load,7,294.9325183411794,228.68398673049902,15.56117857521073,296.0771572360268,299.8537564254599,42.359272983376584,4203.916422129703,2758.9410485584854,2391.7066241888933,30682.14111849273,56303.04925657738,17694.005743067886
original_HGB_full,load,8,210.52345995336444,167.52875846035033,12.138500183275024,207.56997998690917,202.45041456900924,17.954179465680948,1439.3329218266767,1092.574536573594,950.5646224215885,3596.665381691178,40723.46180904466,13247.429097614491
original_HGB_full,load,9,235.50355206478,178.17360254320627,-23.274170722965568,241.29547924878852,253.90988939521236,-20.64709017799901,3299.3951046199372,2348.467569142694,1665.2940993768175,18899.31954234376,36562.60349278478,18971.24592962823
original_HGB_full,load,10,145.15553801805873,113.30454355597875,-2.2618417116723495,152.16769643516395,170.09345940910762,-2.8079281042289153,931.9534040844306,728.6045392595958,512.9299129676185,1507.8769919870804,19562.253225325017,12436.94440630442
original_HGB_full,load,11,131.059142586782,104.41519173789511,-3.9017664247345953,130.65426357781743,126.72884713161493,-5.215668176532767,596.3381287253983,517.9069280965494,376.0684749171363,617.394381548107,16559.104474034342,9567.801562516286
original_HGB_full,load,12,179.2845649125169,138.01972114247988,-3.95440233475063,175.15098596589075,163.4681910083115,-10.311812345314404,1850.3871881821535,1166.6812769687633,1399.5572349477404,5944.327684355306,26198.627531515187,12507.821869076224
