name,month,total_cost,charge_kwh,discharge_kwh,throughput_kwh,equivalent_full_cycles,direction_reversals,direction_reversals_including_warmup_boundary,charging_slots,discharging_slots,active_slots,simultaneous_slots,max_overlap_kwh,charge_starts,discharge_starts,power_changes_count,power_ramp_total_kw,power_ramp_total_kw_including_warmup_boundary,power_ramp_max_kw_per_10min,power_ramp_p95_kw_per_10min,mean_absolute_power_kw,max_charge_kw,max_discharge_kw,initial_soc,final_soc,minimum_soc,maximum_soc,initial_mode,final_mode,initial_power_kw,final_power_kw,degradation_interpretation,planned_mode_segments,planned_mode_segments_1slots,planned_mode_segments_2slots,planned_mode_segments_3slots,planned_mode_segments_under3slots,planned_mode_median_slots,planned_mode_minimum_slots,actual_contiguous_active_segments,actual_contiguous_active_segments_1slots,actual_contiguous_active_segments_2slots,actual_contiguous_active_segments_3slots,actual_contiguous_active_segments_under3slots,actual_contiguous_active_median_slots,actual_contiguous_active_minimum_slots
direct_hgb_memory_hourly,7,1453146.5503097596,506938.7253242994,458323.6026759898,965262.3280002892,40.16832493639876,171,171,1483,1654,3137,0,0.0,128,209,3341,2231027.834919166,2234338.9829089963,5070.473408376814,3288.5160980558167,1297.3956021509262,5000.0,5000.0,4622.072816240697,2430.8780430302477,1200.0,10800.0,1,-1,0.0,-311.31278611891526,operating intensity proxies; not calibrated battery ageing or lifetime,172.0,0.0,0.0,0.0,0.0,24.0,6.0,337,66,41,32,107,5.0,1
direct_hgb_memory_hourly,8,1237116.544785126,504687.8742834551,452889.0990155479,957576.9732990032,39.84066599353675,138,139,1588,1638,3226,0,0.0,85,223,3449,2036203.1285660218,2037462.1442838444,5077.482964782566,2916.5299516448354,1287.0658243266173,5000.0,5000.0,2430.8780430302477,3832.8083208107078,1200.0,10800.0,-1,1,-311.31278611891526,1386.897125965989,operating intensity proxies; not calibrated battery ageing or lifetime,141.0,0.0,0.0,0.0,0.0,30.0,6.0,308,50,43,27,93,6.0,1
direct_hgb_memory_hourly,9,1117193.7047211356,489840.6676516895,440575.60662763147,930416.2742793211,38.71296359409586,138,138,1564,1430,2994,0,0.0,101,186,3178,2008259.8091397237,2011872.9120137577,5270.77530744927,2981.896279967634,1292.2448253879456,5000.0,5000.0,3832.8083208107078,4129.002276650827,1200.0,10800.0,1,1,1386.897125965989,1094.7811820350767,operating intensity proxies; not calibrated battery ageing or lifetime,141.0,0.0,0.0,0.0,0.0,30.0,6.0,287,48,31,24,79,8.0,1
direct_hgb_memory_hourly,10,1087227.678523784,532520.596098352,480078.3668600982,1012598.96295845,42.13501778904221,150,150,1621,1537,3158,0,0.0,88,195,3357,2048278.5346500482,2051953.9377399138,5010.217952071406,3282.856193715858,1361.0201115032933,5000.0,4922.688003238202,4129.002276650827,3275.366112458155,1200.0,10800.0,1,1,1094.7811820350767,479.28312978590907,operating intensity proxies; not calibrated battery ageing or lifetime,153.0,0.0,0.0,0.0,0.0,30.0,6.0,283,54,40,14,94,8.0,1
direct_hgb_memory_hourly,11,1218584.4016261294,557533.3957639298,502985.1306838355,1060518.5264477653,44.129812557753446,164,164,1593,1788,3381,0,0.0,110,242,3587,2348604.3577491585,2353080.852622177,5312.991208801831,4041.7892412371475,1472.9423978441184,5000.0,5000.0,3275.366112458155,2005.1060596302775,1200.0,10800.0,1,1,479.28312978590907,241.2646726934422,operating intensity proxies; not calibrated battery ageing or lifetime,165.0,0.0,0.0,0.0,0.0,24.0,6.0,352,51,50,29,101,6.0,1
direct_hgb_memory_hourly,12,1632796.3331553864,640400.0575895164,577123.8425024952,1217523.9000920116,50.6616159779647,169,169,1628,1701,3329,0,0.0,134,217,3486,2629430.2221936285,2633272.7764147655,5423.55284230029,4257.531785492835,1636.456854962381,5000.0,5000.0,2005.1060596302775,1200.0,1200.0,10800.0,1,-1,241.2646726934422,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,170.0,0.0,0.0,0.0,0.0,24.0,6.0,351,60,39,32,99,7.0,1
direct_hgb_memory_hold3_cap8_kappa0,2,1163612.107449517,556699.0221293245,500875.0105027548,1057574.0326320794,44.00415346187353,215,215,1590,1660,3250,0,0.0,150,178,3356,2545525.440277115,2549960.316131237,8107.43790336461,4175.594949727847,1573.7708818929752,5000.0,5000.0,1421.7991105135516,1584.2446958357248,1200.0,10800.0,1,-1,172.76,-73.2226377339565,operating intensity proxies; not calibrated battery ageing or lifetime,218.0,0.0,0.0,22.0,0.0,17.0,3.0,328,27,39,47,66,6.0,1
direct_hgb_memory_hold3_cap8_kappa0,3,1113714.9256088969,556588.7985511846,500161.3959451738,1056750.1944963583,43.96845416775815,235,236,1832,1662,3494,0,0.0,143,197,3586,2513195.230249729,2517605.681621181,7802.522123981557,3906.618858122801,1420.363164645643,5000.0,5000.0,1584.2446958357248,2394.3388046616597,1200.0,10800.0,-1,-1,-73.2226377339565,0.0,operating intensity proxies; not calibrated battery ageing or lifetime,238.0,0.0,0.0,30.0,0.0,16.0,3.0,340,39,32,49,71,7.0,1
direct_hgb_memory_hold3_cap8_kappa0,4,929453.9886307897,503111.5906281409,453082.3265269142,956193.9171550551,39.786844564539024,224,225,1669,1590,3259,0,0.0,141,190,3415,2319004.634698518,2323258.065558643,8321.43255102255,3956.864679446955,1328.0471071597985,5000.0,4730.4775,2394.3388046616597,2097.1954248143325,1200.0,10800.0,-1,1,0.0,325.22746754123864,operating intensity proxies; not calibrated battery ageing or lifetime,231.0,0.0,0.0,41.0,0.0,18.0,3.0,331,50,33,52,83,5.0,1
direct_hgb_memory_hold3_cap8_kappa0,5,924890.3289779915,480540.3293060497,431609.8622889945,912150.1915950441,37.95155526085927,227,227,1652,1668,3320,0,0.0,142,208,3528,2299096.5284516485,2303364.1164671853,8244.8276,3754.06603546617,1226.0083220363497,5000.0,5000.0,2097.1954248143325,3021.038068878241,1200.0,10800.0,1,-1,325.22746754123864,-1091.1656647487596,operating intensity proxies; not calibrated battery ageing or lifetime,246.0,0.0,0.0,45.0,0.0,16.0,3.0,350,44,49,56,93,5.0,1
