day,month,method,rmse_yuan_per_kwh,mae_yuan_per_kwh,bias_yuan_per_kwh,high_realized_price_ge1_rmse,high_realized_price_ge1_mae,high_realized_price_slots,realized_price_weighted_mae,fixed_purchase_absolute_price_exposure_proxy_yuan,fixed_purchase_signed_price_exposure_proxy_yuan
243,9,baseline,0.14517069277192063,0.10484087616779653,0.10162260441408193,0.22436589728662915,0.18105548962571819,27,0.12502059445127842,5793.695251090302,5466.135387020592
243,9,linked_hgb,0.14516591395868472,0.10924307158827612,0.10705511510662134,0.2201597417262898,0.18644263261690952,27,0.1301734650472945,6182.750132056342,5875.449749501317
244,9,baseline,0.10569790475736035,0.07741758414030507,0.06611788541636901,0.1602794074434857,0.1301137753134514,29,0.09277267528853742,3769.1061074608515,3430.990661409822
244,9,linked_hgb,0.09641739677683946,0.07163072488464563,0.06079985535931019,0.14023898672817633,0.11400845122875601,29,0.0849576228243467,3602.227459047247,3181.1048185732343
245,9,baseline,0.10529869956259533,0.07369751907604122,0.05860989528227583,0.157724115252245,0.12165800083561519,31,0.08667250365775976,2681.4737081909375,1747.574912606997
245,9,linked_hgb,0.09473883355083658,0.06808468394937607,0.0522670956106351,0.13963849261671246,0.11074647907546986,31,0.07998808317153544,2579.1225339080347,1446.6335682081494
246,9,baseline,0.10646364402793818,0.07413186338128588,0.06372698844404814,0.11873128854675943,0.08671617592813971,31,0.08034136842568955,3011.428565338085,2500.957764822972
246,9,linked_hgb,0.0940127891065816,0.066356150486861,0.05526753257222872,0.09640197089084343,0.07308139638689767,31,0.0715142606666294,2832.2582457417666,2098.4365801993763
247,9,baseline,0.14918191800386682,0.128383880737569,0.128383880737569,0.20491404278389963,0.19630994072407595,18,0.14489237518284243,2250.32971717205,2250.32971717205
247,9,linked_hgb,0.10577280340080814,0.08541048239769612,0.08322053203081266,0.14426102252739578,0.13289949331373194,18,0.09878298349687159,1399.0793219452185,1255.0602271421153
248,9,baseline,0.10080272555615741,0.0771712709973788,0.05365577838473286,0.1641609710463041,0.13702364825441782,18,0.08673694719700702,1445.123019004458,1238.1705218698648
248,9,linked_hgb,0.07183373830465563,0.05583305086559657,-0.002750186995011379,0.10607635413841995,0.09567503181649083,18,0.06625186290362922,1015.4509073633001,-23.242460875693112
249,9,baseline,0.08117723009236906,0.06539691838156994,-0.021700033839266452,0.1089777524678075,0.09859995605027509,34,0.07463351857140545,2540.1249733691893,-1044.7605041673564
249,9,linked_hgb,0.0708106963348002,0.05535782143988452,-0.034787695348915314,0.07548471745684221,0.06554816286624758,34,0.05894803036543727,2386.8635264741397,-1641.8077790572886
250,9,baseline,0.07134421902049039,0.05613850436758997,-0.04362572147348628,0.08346635377261453,0.06827171791905078,36,0.06087087142764283,2663.191209361081,-2016.500554796254
