experiment,model,label,target,population,issue_hour,n,mae_kw,rmse_kw,wape_pct,absolute_error_sum_kw,squared_error_sum_kw2,actual_absolute_sum_kw,available,value_basis,source,source_sha256,source_row_label,forecast_reused,missing_reason,model_id,role,seed,evaluation_start,evaluation_end,forecast_source,month,days,bias_kw,signed_error_sum_kw
exp004,exp004,exp004 无季节,net_load,pv_generating,0,26880.0,485.229957331545,661.166989870076,20.0379459215379,13042981.2530719,11750371274.7149,65091408.5912,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
exp004,exp004,exp004 无季节,pv,all,0,48096.0,212.419785933555,423.999134245203,8.929502475256,10216542.0242602,8646471185.87342,114413339.9657,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
exp004,exp004,exp004 无季节,pv,pv_generating,0,26880.0,379.332560437719,567.140999457829,8.91194962722239,10196459.2245659,8645922788.59077,114413339.9657,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp004 无季节,False,,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,load,all,0,48096.0,195.4575632617,258.3117746935,4.2336372185,,,,True,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,load,pv_generating,0,,,,,,,,False,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,This target/population is absent from the exp005 original registry; no value inferred from reuse.,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,net_load,all,0,48096.0,359.311172747,524.8382547956,11.9733002596,,,,True,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,net_load,pv_generating,0,,,,,,,,False,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,This target/population is absent from the exp005 original registry; no value inferred from reuse.,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,pv,all,0,48096.0,212.4197859336,423.9991342452,8.9295024753,,,,True,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,,,,,,,,,,,
exp005,exp005,exp005 原登记·复用exp004预测,pv,pv_generating,0,26880.0,379.3325604377,567.1409994578,8.9119496272,,,,True,original registry rounded values; forecast reuse explicitly documented,git show 8108d0475ae4f2ea25565a806dfec5e836f62c0a:reports/registry/exp005.json,5af3de5bdf08706696eea4ceb4a57d072b9a957bad61eef16d46bb0b6b52c43f,protocol.forecast=exp004/no_season/seed42,True,,,,,,,,,,,
exp006,exp006,exp006 正式·树DP,load,all,0,48096.0,195.457563261662,258.311774693521,4.23363721849061,9400726.96263287,3209204298.77794,222048476.9355,True,existing midnight formal score,data/results/exp004/forecast_annual.csv,835e4b3ebe940a329fb7e72af637d9440926e2ee57e094c91b3a9ef02e08e8f5,exp006 正式·树DP,True,,,,,,,,,,,
