experiment,scenario,month,planned_cost_yuan,up_adjustment_cost_yuan,down_adjustment_cost_yuan,emergency_cost_yuan,adjustment_cost_yuan,total_cost_yuan,original_purchase_kwh,final_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh
exp009,3,2025-02,1059381.306964283,74420.98180499487,0.0,20562.387315713855,74420.98180499487,1154364.6760849918,1767959.2828307408,1831200.1603935205,4096.996584870097,592209.5979389172,532864.5830301959
exp009,3,2025-03,973808.1085948629,75716.03520201908,0.0,4211.19584149478,75716.03520201908,1053735.3396383766,1651073.3662609672,1725988.99739193,887.4678417731797,598752.4960157612,538681.57002517
exp009,3,2025-04,810097.513159986,55828.44114199239,0.0,10272.594062019665,55828.44114199239,876198.5483639981,1396181.589753591,1449835.0794527638,2016.448457715917,531660.0913670291,479016.1324032448
exp009,3,2025-05,816533.768275645,55630.72051627537,0.0,30535.165508221085,55630.72051627537,902699.6543001414,1380264.782825068,1430549.4809047913,5850.787047169893,498922.0190914337,448291.51714580413
exp009,3,2025-06,1095314.7471579176,116509.35850272466,0.0,25023.635322408558,116509.35850272466,1236847.7409830508,1784977.9304759374,1891591.3139836877,5228.666407187939,552783.3704222927,497413.30498664506
exp009,3,2025-07,1256591.4335089882,149270.2382773351,0.0,16552.44872515799,149270.2382773351,1422414.1205114813,2019503.6905376327,2140145.6760746134,3297.852678697343,547454.4260770287,492745.2129118254
exp009,3,2025-08,1104265.5911323319,85202.04208379467,0.0,26889.787120903893,85202.04208379467,1216357.4203370304,1771540.6521151338,1846656.42363018,4788.528885760834,530292.1544356507,477318.8798981243
exp009,3,2025-09,949626.6328434848,86463.3293248526,0.0,21411.79196784564,86463.3293248526,1057501.754136183,1557470.9509478663,1626364.8540368057,4543.862130537039,537640.2010108916,483796.5107657184
exp009,3,2025-10,966013.4723430257,95599.69376516987,0.0,7530.000389694755,95599.69376516987,1069143.1664978904,1613185.283399511,1703159.063318635,1202.8876168217419,588567.7851089722,529656.2078917661
exp009,3,2025-11,1115325.1144562203,92737.07375321518,0.0,3261.805674696766,92737.07375321518,1211323.9938841322,1840974.4195571516,1927375.876077238,661.0753790889199,632341.5451581122,569888.3448458085
exp009,3,2025-12,1473365.2676489924,87063.80918842099,0.0,26804.533331966482,87063.80918842099,1587233.6101693797,2390362.411483895,2471044.8844751283,5421.489664291872,740881.9158017454,666974.6147307482
exp008,4-2,2025-02,1205372.2677219242,0.0,0.0,24392.590334701465,0.0,1229764.8580566256,1864260.966874712,1864260.966874712,4823.942722597646,535741.4859811334,481904.936162027
exp008,4-2,2025-03,1052295.2688697618,0.0,0.0,72478.62371824951,0.0,1124773.8925880112,1764688.9859064827,1764688.9859064827,13289.28035380354,558532.3144366613,501795.6173666311
