current_series,previous_series,metric,previous,current,absolute_change,relative_change_pct
q3_final,exp002_q3,episodes,8460.0,6984.0,-1476.0,-17.4468085106383
q3_final,exp002_q3,throughput_kwh,12025736.9514736,11726491.269743094,-299245.6817305051,-2.488377077746045
q3_final,exp002_q3,equivalent_full_cycles,500.3785602519011,487.9272716435032,-12.451288608397874,-2.488373722912835
q3_final,exp002_q3,active_slots,41994.0,39548.0,-2446.0,-5.8246416154688765
q3_final,exp002_q3,direction_reversals_nonidle,8459.0,5693.0,-2766.0,-32.69890057926469
q3_final,exp002_q3,initial_soc,1507.622628752613,1507.622628752613,0.0,0.0
q3_final,exp002_q3,final_soc,1200.0,1200.0,0.0,0.0
q3_final,exp002_q3,mean_absolute_delta_kw,703.1199269265271,503.78620545305944,-199.33372147346768,-28.349889377306347
q3_final,exp002_q3,rms_delta_kw,1634.1188372297818,1218.941948157345,-415.1768890724368,-25.40677456336406
q3_final,exp002_q3,p95_absolute_delta_kw,4769.836029662212,3400.0768587086445,-1369.7591709535677,-28.717112337519296
q3_final,exp002_q3,max_absolute_delta_kw,9610.990243652725,9233.8628,-377.12744365272374,-3.9239187023604116
q3_final,exp002_q3,total_variation_kw,33816552.88553132,24229597.551264893,-9586955.334266428,-28.34988937730635
q3_final,exp002_q3,direct_reversals,7397.0,3505.0,-3892.0,-52.61592537515209
q3_final,exp002_q3,power_limit_share,0.0572812707917498,0.029441117764471,-0.0278401530272788,-48.60254083484581
q3_final,exp002_q3,large_jump_share,0.1394531656097307,0.0987836573448383,-0.04066950826489241,-29.163560459221724
q3_final,exp002_q3,warmup_boundary_delta_kw,4827.24,4679.188566276498,-148.05143372350176,-3.0669996462471674
q4_2_final,exp002_q4_2,cost_yuan,15901397.201112418,13994531.257936869,-1906865.9431755487,-11.99181379509311
q4_2_final,exp002_q4_2,charge_starts,4739.0,1146.0,-3593.0,-75.81768305549694
q4_2_final,exp002_q4_2,discharge_starts,4739.0,2306.0,-2433.0,-51.33994513610466
q4_2_final,exp002_q4_2,episodes,9478.0,3452.0,-6026.0,-63.5788140958008
q4_2_final,exp002_q4_2,throughput_kwh,13396129.147683628,11179601.98345794,-2216527.164225688,-16.546027138062907
q4_2_final,exp002_q4_2,equivalent_full_cycles,557.3988377224755,465.1715438463272,-92.22729387614828,-16.546014744664312
q4_2_final,exp002_q4_2,active_slots,41886.0,35187.0,-6699.0,-15.993410686148117
q4_2_final,exp002_q4_2,direction_reversals_nonidle,9477.0,1763.0,-7714.0,-81.39706658225177
q4_2_final,exp002_q4_2,initial_soc,1390.382746315672,1390.382746315672,0.0,0.0
q4_2_final,exp002_q4_2,final_soc,1200.0,1200.0,0.0,0.0
q4_2_final,exp002_q4_2,mean_absolute_delta_kw,1018.5431904786408,600.0547895583978,-418.48840092024295,-41.08695682542279
q4_2_final,exp002_q4_2,rms_delta_kw,2024.7349126275003,1314.0530826608424,-710.6818299666579,-35.09999385768508
q4_2_final,exp002_q4_2,p95_absolute_delta_kw,4916.076320602215,3988.8649054866864,-927.2114151155283,-18.860801880348877
q4_2_final,exp002_q4_2,max_absolute_delta_kw,9672.754123731222,8241.307510779177,-1431.4466129520442,-14.798749090914244
q4_2_final,exp002_q4_2,total_variation_kw,48986834.74607022,28859635.103811145,-20127199.642259076,-41.086956825422774
q4_2_final,exp002_q4_2,direct_reversals,8443.0,594.0,-7849.0,-92.96458604761341
q4_2_final,exp002_q4_2,power_limit_share,0.0630405854956753,0.0330796739853626,-0.0299609115103127,-47.52638522427441
q4_2_final,exp002_q4_2,large_jump_share,0.222829815989188,0.1484353882940014,-0.07439442769518659,-33.386208827097136
q4_2_final,exp002_q4_2,warmup_boundary_delta_kw,4827.24,4741.357904305596,-85.88209569440369,-1.7791138558348807
q4_3_final,exp002_q4_3,cost_yuan,14734925.124925217,13579870.464961823,-1155054.6599633936,-7.838890596122087
q4_3_final,exp002_q4_3,charge_starts,4490.0,3896.0,-594.0,-13.229398663697104
q4_3_final,exp002_q4_3,discharge_starts,4490.0,3968.0,-522.0,-11.625835189309576
q4_3_final,exp002_q4_3,episodes,8980.0,7864.0,-1116.0,-12.42761692650334
q4_3_final,exp002_q4_3,throughput_kwh,13398514.447501613,12593476.88442285,-805037.563078763,-6.0084091130631
q4_3_final,exp002_q4_3,equivalent_full_cycles,557.4983777179705,524.0016369111237,-33.49674080684679,-6.008401485213335
q4_3_final,exp002_q4_3,active_slots,42306.0,39696.0,-2610.0,-6.169337682598213
q4_3_final,exp002_q4_3,direction_reversals_nonidle,8979.0,6625.0,-2354.0,-26.216727920703864
q4_3_final,exp002_q4_3,initial_soc,1522.7387288211346,1522.7387288211346,0.0,0.0
q4_3_final,exp002_q4_3,final_soc,1200.0,1200.0,0.0,0.0
q4_3_final,exp002_q4_3,mean_absolute_delta_kw,1012.0262240231732,764.1792588839377,-247.84696513923552,-24.490172216482044
q4_3_final,exp002_q4_3,rms_delta_kw,2008.0480032504324,1629.9479298332762,-378.1000734171562,-18.82923479942335
q4_3_final,exp002_q4_3,p95_absolute_delta_kw,4906.914806425066,4563.271956260194,-343.64285016487156,-7.00323652888591
q4_3_final,exp002_q4_3,max_absolute_delta_kw,9581.8468,9025.669783068515,-556.1770169314841,-5.804486635410244
q4_3_final,exp002_q4_3,total_variation_kw,48673401.24439451,36753201.456022985,-11920199.788371526,-24.490172216482033
q4_3_final,exp002_q4_3,direct_reversals,7964.0,4377.0,-3587.0,-45.04018081366148
q4_3_final,exp002_q4_3,power_limit_share,0.0575307717897538,0.0340153027278775,-0.0235154690618763,-40.874593422479336
q4_3_final,exp002_q4_3,large_jump_share,0.219440690300447,0.1646948747271026,-0.0547458155733444,-24.94788705703998
q4_3_final,exp002_q4_3,warmup_boundary_delta_kw,4827.24,4679.188566276498,-148.05143372350176,-3.0669996462471674
