name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
no_season,42,no_season_seed_42,False,load,20.0,24.0,8016,1706296.708340574,649891308.1148965,859772.841888746,30697741.134099998,212.86136581094985,284.73542980176046,5.55837871225374,107.25709105398528
no_season,42,no_season_seed_42,False,pv,20.0,24.0,8016,1529.7645115783384,21791.702588372627,1527.2087115783386,1.621,0.1908388861749424,1.6487952486596307,94371.65401470318,0.19052004884959314
no_season,2026,no_season_seed_2026,False,load,0.0,4.0,8016,1605999.526976267,564404126.2586222,949824.8804429505,27935677.339499995,200.34924238725887,265.3482549208656,5.748919231342367,118.49112779976927
no_season,2026,no_season_seed_2026,False,pv,0.0,4.0,8016,3423.8687432442875,66253.54603208625,3421.4725432442874,1.6239000000000001,0.42712933423706184,2.874919638555915,210842.33901375005,0.4268304070913532
no_season,2026,no_season_seed_2026,False,load,4.0,8.0,8016,1453613.136648203,429515576.5586294,784253.8351972485,32783673.431,181.33896415271994,231.4784709315729,4.433954418523695,97.83605728508589
no_season,2026,no_season_seed_2026,False,pv,4.0,8.0,8016,758483.4672031424,270114445.2255523,-327316.1335333515,7868652.727799999,94.62119101835609,183.56718614593123,9.639305398793564,-40.832850989689554
no_season,2026,no_season_seed_2026,False,load,8.0,12.0,8016,1445883.042199655,429241218.69240975,785807.153074,46507328.0133,180.37463101293102,231.40452939409593,3.1089359547514026,98.02983446531937
no_season,2026,no_season_seed_2026,False,pv,8.0,12.0,8016,4286161.577314116,3934891642.376278,-2617242.9510944407,50642302.90439999,534.7007955731183,700.6280724501584,8.463599266813196,-326.5023641584881
no_season,2026,no_season_seed_2026,False,load,12.0,16.0,8016,1598948.4103163246,568112219.4540746,901682.7959305267,45186244.1546,199.46961206540976,266.21848708537743,3.538573387169976,112.48537873384814
no_season,2026,no_season_seed_2026,False,pv,12.0,16.0,8016,4077816.604095638,3526345015.8428903,-2505104.281062226,49192026.388000004,508.70965619955564,663.2596025536321,8.28958858480851,-312.5130091145491
no_season,2026,no_season_seed_2026,False,load,16.0,20.0,8016,1773989.5083249365,707525559.2157202,1034748.4060034668,38937812.863000005,221.3060763878414,297.0928584951637,4.555955709599293,129.08537999045245
no_season,2026,no_season_seed_2026,False,pv,16.0,20.0,8016,607111.6401257378,195915762.4500925,-291278.4338161173,6710354.7006,75.73748005560601,156.33486216453946,9.047385230939483,-36.3371299670805
no_season,2026,no_season_seed_2026,False,load,20.0,24.0,8016,1800932.044369573,717372661.8555758,1072672.6414332099,30697741.134099998,224.66717120378905,299.15313392453913,5.866659818722108,133.81644728458207
no_season,2026,no_season_seed_2026,False,pv,20.0,24.0,8016,1578.318981834891,17431.96611493025,1575.669981834891,1.621,0.19689608056822494,1.4746682580917765,97366.99456106669,0.19656561649636864
no_season,3407,no_season_seed_3407,False,load,0.0,4.0,8016,1566777.4851004938,543714409.8156536,836163.7883749823,27935677.339499995,195.45627309137896,260.43932871031313,5.608517975274325,104.31184984717844
no_season,3407,no_season_seed_3407,False,pv,0.0,4.0,8016,1407.59010865174,16980.245483922907,1404.5697086517398,1.6239000000000001,0.17559756844457833,1.4554360505689599,86679.60518823449,0.1752207720373927
no_season,3407,no_season_seed_3407,False,load,4.0,8.0,8016,1447319.595121401,426836716.73374814,747298.6996105275,32783673.431,180.5538417067616,230.75548401914244,4.4147572363041725,93.22588567995602
no_season,3407,no_season_seed_3407,False,pv,4.0,8.0,8016,709367.8309082682,245489313.48246306,-290739.54165936937,7868652.727799999,88.49399088176999,174.9997553043852,9.015111677276941,-36.26990290161793
no_season,3407,no_season_seed_3407,False,load,8.0,12.0,8016,1419725.1403158535,419842970.95385504,673371.5521466736,46507328.0133,177.11141970008154,228.85720466914285,3.052691266008328,84.0034371440461
no_season,3407,no_season_seed_3407,False,pv,8.0,12.0,8016,4231472.249410667,3836308739.826707,-2554482.424112867,50642302.90439999,527.8782746270792,691.7958005214401,8.35560787470236,-318.67295709990856
no_season,3407,no_season_seed_3407,False,load,12.0,16.0,8016,1594501.6585281582,570338434.2018569,865762.6985525866,45186244.1546,198.914877560898,266.7395813648561,3.5287324458141236,108.00432866174982
no_season,3407,no_season_seed_3407,False,pv,12.0,16.0,8016,4110301.9027021043,3587955879.66554,-2676851.0620709327,49192026.388000004,512.7622134109412,669.0286140259037,8.355626316920295,-333.93850574737183
no_season,3407,no_season_seed_3407,False,load,16.0,20.0,8016,1757512.9886428812,702333508.0422701,986107.808676555,38937812.863000005,219.25062233568877,296.00076958362047,4.513640750256233,123.01744120216505
no_season,3407,no_season_seed_3407,False,pv,16.0,20.0,8016,611801.568969213,188802138.3267147,-284255.48687862477,6710354.7006,76.3225510191134,153.47039117986745,9.117276154038615,-35.46101383216377
no_season,3407,no_season_seed_3407,False,load,20.0,24.0,8016,1771536.753265182,706005303.2378467,1005244.346544482,30697741.134099998,221.00009397020733,296.7735060226517,5.7709026391433875,125.40473385035953
no_season,3407,no_season_seed_3407,False,pv,20.0,24.0,8016,373.55839859651667,9194.010719383086,370.31979859651665,1.621,0.04660159663130198,1.070960982049645,23044.935138588316,0.04619757966523411
causal_season,42,causal_season_seed_42,False,load,0.0,4.0,8016,1589253.805941958,536188713.50168437,860092.6423212236,27935677.339499995,198.26020533208057,258.63064313528935,5.6889753795044475,107.29698631751792
causal_season,42,causal_season_seed_42,False,pv,0.0,4.0,8016,712.7620916168875,8476.863825058836,709.6252916168876,1.6239000000000001,0.08891742659891311,1.0283447827202987,43891.9940647138,0.08852610923364367
causal_season,42,causal_season_seed_42,False,load,4.0,8.0,8016,1509811.2617299561,451794486.5784235,849471.3415026695,32783673.431,188.34970829964521,237.405955373931,4.605375492492216,105.97197374035298
causal_season,42,causal_season_seed_42,False,pv,4.0,8.0,8016,776198.0035983846,284128547.2444823,-372739.5819897071,7868652.727799999,96.83108827325157,188.26889825316704,9.864433346461869,-46.49944885101136
causal_season,42,causal_season_seed_42,False,load,8.0,12.0,8016,1480626.4471020848,442133478.8772785,805970.7466663477,46507328.0133,184.70888811153753,234.85393783249398,3.183641181619078,100.5452528276382
causal_season,42,causal_season_seed_42,False,pv,8.0,12.0,8016,4503129.434294035,4305854124.525821,-2953731.4139417373,50642302.90439999,561.7676439987569,732.9102609899788,8.892031317759814,-368.47946780710294
causal_season,42,causal_season_seed_42,False,load,12.0,16.0,8016,1593883.1953177056,548083455.463943,837026.7651023059,45186244.1546,198.83772396677963,261.48362198016366,3.5273637478352953,104.41950662453917
causal_season,42,causal_season_seed_42,False,pv,12.0,16.0,8016,4251235.8307567015,3829965245.7974453,-2804161.178763405,49192026.388000004,530.3437912620635,691.2236075059457,8.642123821501599,-349.8205063327601
causal_season,42,causal_season_seed_42,False,load,16.0,20.0,8016,1688492.3164307233,630482072.3735011,843427.2642613094,38937812.863000005,210.64025903576888,280.45133827530015,4.336382021177117,105.2179720884867
causal_season,42,causal_season_seed_42,False,pv,16.0,20.0,8016,645356.4173971231,209948464.25870252,-311690.4602132709,6710354.7006,80.50853510443152,161.83687985430225,9.61732197762093,-38.88354044576733
causal_season,42,causal_season_seed_42,False,load,20.0,24.0,8016,1701566.6427356568,634020630.6619482,851053.667992109,30697741.134099998,212.27128776642425,281.2372486934088,5.542970198694861,106.16936975949463
causal_season,42,causal_season_seed_42,False,pv,20.0,24.0,8016,2579.3030082758196,39406.13806737042,2577.1224082758195,1.621,0.32176933735975793,2.2171908775849705,159118.01408240714,0.32149730642163415
causal_season,2026,causal_season_seed_2026,False,load,0.0,4.0,8016,1604139.6652226453,543537186.7829132,961676.3063888224,27935677.339499995,200.11722370541983,260.39688031408815,5.742261573713312,119.969599100402
causal_season,2026,causal_season_seed_2026,False,pv,0.0,4.0,8016,5048.739624923679,103089.52446553523,5046.313824923679,1.6239000000000001,0.6298327875403791,3.5861496927699483,310902.12604986015,0.6295301677799001
causal_season,2026,causal_season_seed_2026,False,load,4.0,8.0,8016,1477969.615634966,435454709.9654978,831557.2207581627,32783673.431,184.37744706025023,233.0733626156479,4.5082489573526825,103.73717823829375
causal_season,2026,causal_season_seed_2026,False,pv,4.0,8.0,8016,742193.2106968664,264848556.91380638,-337658.5415823435,7868652.727799999,92.58897339032764,181.7690557684555,9.43227813415495,-42.12307155468357
