scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,name,seed,case_id,exploratory
2,0,0,annual,load,pv_generating,kW,26880,5287894.298439087,1748050985.3974056,2909558.5983807365,142806829.5625,196.72225812645414,255.0130559068284,3.7028301199872367,108.24250738023574,causal_season,2026,causal_season_seed_2026,False
2,0,0,annual,pv,all,kW,48096,9755076.027465077,8014998792.962941,-5857248.516528559,114413339.9657,202.8251003714462,408.22279434203625,8.526170139242115,-121.7824458692731,causal_season,2026,causal_season_seed_2026,False
2,0,0,annual,pv,pv_generating,kW,26880,9722819.284869479,8014173667.702578,-5889505.259124157,114413339.9657,361.7120269668705,546.0277848282186,8.497976973475545,-219.103618270988,causal_season,2026,causal_season_seed_2026,False
2,0,0,annual,net_load,all,kW,48096,17048399.08554755,12580925117.321487,11414188.230126414,144333055.96420002,354.4660488512049,511.44838225908336,11.811846545933449,237.32094623516332,causal_season,2026,causal_season_seed_2026,False
2,0,0,annual,net_load,pv_generating,kW,26880,12657674.83853162,11037292318.574099,8799063.857504893,65091408.59120001,470.8956413144204,640.7913494409719,19.44599926854689,327.3461256512237,causal_season,2026,causal_season_seed_2026,False
2,0,0,annual,load,all,kW,48096,9749847.67661564,3326856151.4637847,5492890.973778363,222048476.9355,202.71639380854208,263.0041080170191,4.390864468504213,114.20681499040177,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,load,pv_generating,kW,26880,5333521.82157116,1772981350.3073921,2907886.3420149432,142806829.5625,198.41971062392707,256.8250914836835,3.7347806389308027,108.18029546186546,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,pv,all,kW,48096,9639807.520162433,7775628064.855423,-5679816.964710697,114413339.9657,200.42846640390954,402.0807301079056,8.425422702503356,-118.09333343127696,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,pv,pv_generating,kW,26880,9590406.973162817,7773492827.432763,-5729217.511710315,114413339.9657,356.78597370397387,537.7661587500227,8.382245440993094,-213.14053242969922,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,net_load,all,kW,48096,16907464.297388542,12340970353.557898,11172707.93848906,144333055.96420002,351.53576799294206,506.54749855849104,11.714201008521723,232.30014842167876,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,net_load,pv_generating,kW,26880,12516843.822891843,10802378185.036043,8637103.853725256,65091408.59120001,465.65639222067864,633.9354765521491,19.229640429972275,321.3208278915646,causal_season,3407,causal_season_seed_3407,False
2,0,0,annual,load,all,kW,48096,9703457.089910066,3226701787.772354,5602943.387533587,222048476.9355,201.75185233512278,259.0150118414097,4.36997236992024,116.49499724579148,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,load,pv_generating,kW,26880,5355846.219010664,1745741876.735944,3015764.760878181,142806829.5625,199.2502313620039,254.84456898834446,3.7504132228260527,112.19362949695613,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,pv,all,kW,48096,10129362.797872048,8633194586.00444,-6469334.861580165,114413339.9657,210.60717726779873,423.6734852425439,8.853305742939355,-134.50879203218906,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,pv,pv_generating,kW,26880,10109119.848645069,8632648992.313637,-6489577.810807145,114413339.9657,376.08332770256953,566.7054759222285,8.835612920377715,-241.42774593776582,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,net_load,all,kW,48096,17461192.083089765,13363439796.839016,12072278.249113752,144333055.96420002,363.0487375891917,527.1141215838684,12.097846862897985,251.00378927798053,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,net_load,pv_generating,kW,26880,13122993.140911113,11886982440.662642,9505342.571685325,65091408.59120001,488.2065900636575,664.9992850611155,20.160868269618717,353.6213754347219,oracle_season,42,oracle_season_seed_42,True
2,0,0,annual,load,all,kW,48096,9709353.082533741,3205821050.763931,5813774.257023253,222048476.9355,201.8744403387754,258.1755784325542,4.372627642635931,120.8785399414349,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,load,pv_generating,kW,26880,5321506.293446618,1716096943.472619,3062342.0724718226,142806829.5625,197.97270436929384,252.67151054736055,3.726366805950019,113.92641638660055,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,pv,all,kW,48096,9780472.318613928,8053468869.028232,-6041762.714299864,114413339.9657,203.35313370371605,409.20130744909903,8.54836710609621,-125.61881891009365,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,pv,pv_generating,kW,26880,9746172.037781589,8052614862.307176,-6076062.995132202,114413339.9657,362.58080497699365,547.335770592747,8.518387838956013,-226.044010235573,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,net_load,all,kW,48096,17128478.50172773,12684305273.12169,11855536.971323116,144333055.96420002,356.1310400392492,513.5454235533568,11.867328927045119,246.49735885152853,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,net_load,pv_generating,kW,26880,12754882.327056909,11201700095.606552,9138405.067604026,65091408.59120001,474.5119913339624,645.5462138926051,19.595339236184998,339.9704266221736,oracle_season,2026,oracle_season_seed_2026,True
2,0,0,annual,load,all,kW,48096,9717095.459104553,3203283987.373776,5663418.492697675,222048476.9355,202.03541789555373,258.0733990779826,4.376114438257168,117.75238050352783,oracle_season,3407,oracle_season_seed_3407,True
2,0,0,annual,load,pv_generating,kW,26880,5341151.691236535,1728387416.0545228,2958312.7311255084,142806829.5625,198.70355994183538,253.574697249867,3.7401234293903,110.0562771996097,oracle_season,3407,oracle_season_seed_3407,True
2,0,0,annual,pv,all,kW,48096,9848409.8851125,8101194832.8164835,-6290699.7435766,114413339.9657,204.76567459066243,410.41200800866926,8.607746166718808,-130.79465534715155,oracle_season,3407,oracle_season_seed_3407,True
2,0,0,annual,pv,pv_generating,kW,26880,9784753.387500385,8098645891.113231,-6354356.241188716,114413339.9657,364.01612304688933,548.8979045684445,8.552108862859662,-236.39718159184213,oracle_season,3407,oracle_season_seed_3407,True
2,0,0,annual,net_load,all,kW,48096,17093414.271730658,12703276187.923174,11954118.236274274,144333055.96420002,355.40199334103994,513.9293147576474,11.84303495657326,248.54703585067935,oracle_season,3407,oracle_season_seed_3407,True
2,0,0,annual,net_load,pv_generating,kW,26880,12746762.694719976,11245349481.785349,9312668.972314224,65091408.59120001,474.20992167857054,646.8027329596238,19.5828650364209,346.4534587914518,oracle_season,3407,oracle_season_seed_3407,True
