run_id,rl_seed,cutoff_day,iteration_at_cutoff,global_iteration,transitions,training_start_day,training_end_day,history_days,max_observed_index,rollout_seconds,update_seconds,mean_episode_reward,mean_episode_cost_yuan,mean_episode_throughput_kwh,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,gradient_norm
cost_only_3407,3407,171,4,618,4608,81,170,90,24623,0.04688145802356303,0.03242529195267707,-46.57992935180664,46549.47598808486,25254.322230674567,0.3592598881158564,-0.0032217584343420137,0.7685210754474004,2.17788925435808,0.0016030023733340688,0.004448784722222222,2.382685936159558
cost_only_3407,3407,171,5,619,4608,81,170,90,24623,0.04799820901826024,0.03256750002037734,-42.95330047607422,42933.36002350249,25527.272218604245,0.2720961976382468,-0.004867640673182905,0.5977094976438416,2.189091059896681,0.003158713084808874,0.023708767361111112,1.9612000220351749
cost_only_3407,3407,171,6,620,4608,81,170,90,24623,0.04680612497031689,0.030497125000692904,-47.27440643310547,47036.61200339331,27627.95508607485,0.18697318848636416,-0.003735605756648713,0.42351584798759884,2.1049130294058056,0.002096475925100094,0.023383246527777776,1.5262605763143964
cost_only_3407,3407,171,7,621,4608,81,170,90,24623,0.04638591699767858,0.03062058298382908,-46.14632797241211,46195.48662602606,26825.072783083175,0.17225890772210228,-0.002682979761933287,0.39286182820796967,2.148902648025089,0.0017137101141568361,0.009168836805555556,2.40360597272714
cost_only_3407,3407,171,8,622,4608,81,170,90,24623,0.044647542061284184,0.03042650001589209,-44.31836700439453,44258.38173009394,25780.430883989495,0.6638564823402299,-0.0025617055491440827,1.3765731337997649,2.1868387394481235,0.001696297670782264,0.00732421875,3.0444384614626565
cost_only_3407,3407,171,9,623,4608,81,170,90,24623,0.04473416693508625,0.030676707974635065,-45.65370559692383,45867.14675350351,26762.42312767966,0.20194353266722626,-0.0022174081144233546,0.45207352605130935,2.18758217493693,0.0011329808716658994,0.003472222222222222,2.163505024380154
cost_only_3407,3407,171,10,624,4608,81,170,90,24623,0.04467679199296981,0.030599707970395684,-45.688697814941406,45583.44031042044,27176.547421540312,0.2234487146553066,-0.001908733089092291,0.49443119764328003,2.1858151025242276,0.0008497718675168168,0.001736111111111111,2.2720725503232746
cost_only_3407,3407,171,11,625,4608,81,170,90,24623,0.04458500002510846,0.030628041946329176,-44.38314437866211,44097.855162502674,25204.067857186106,0.28315091505646706,-0.002994063866531683,0.6172443826993307,2.247721513112386,0.0015939974984272947,0.00537109375,2.091938634713491
cost_only_3407,3407,171,12,626,4608,81,170,90,24623,0.044649916933849454,0.030470083002001047,-43.51009750366211,43628.555778928276,25842.085286785637,0.14893296526538002,-0.0029290597756496733,0.34822096178929013,2.2248456478118896,0.0017860342748766318,0.012478298611111112,1.397038037578265
cost_only_3407,3407,171,13,627,4608,81,170,90,24623,0.045163791975937784,0.03093399992212653,-48.476356506347656,48514.721584835424,26597.37382831002,0.4535767858227094,-0.001686250312357313,0.9550055712461472,2.223975247806973,0.0016896482970373149,0.001953125,2.188433900475502
cost_only_3407,3407,171,14,628,4608,81,170,90,24623,0.04475562507286668,0.030764167080633342,-45.5011100769043,45385.069960410896,25368.871489872643,0.25598888471722603,-0.002000958477664325,0.5614953289429346,2.2757823136117725,0.0016401357846057686,0.00634765625,1.548462336262067
